t              csa.fdtd_Point probe A1_Ex_45_20_25.dat
   0.67499999589770709E-007   0.298204493E-021
   0.68749999582173871E-007   0.476027094E-020
   0.69999999574577032E-007   0.620582626E-019
   0.71249999566980193E-007   0.686934828E-018
   0.72499999559383355E-007   0.662476462E-017
   0.73749999551786516E-007   0.566775818E-016
   0.74999999544189677E-007   0.435931859E-015
   0.76249999536592838E-007   0.304541125E-014
   0.77499999528996000E-007   0.194832486E-013
   0.78749999521399161E-007   0.114925241E-012
   0.79999999513802322E-007   0.628647091E-012
   0.81249999506205484E-007   0.320470278E-011
   0.82499999498608645E-007   0.152908554E-010
   0.83749999491011806E-007   0.685461826E-010
   0.84999999483414967E-007   0.289662516E-009
   0.86249999475818129E-007   0.115729226E-008
   0.87499999468221290E-007   0.438305037E-008
   0.88749999460624451E-007   0.157727982E-007
   0.89999999453027613E-007   0.540440119E-007
   0.91249999445430774E-007   0.176646580E-006
   0.92499999437833935E-007   0.551708808E-006
   0.93749999430237096E-007   0.164897926E-005
   0.94999999422640258E-007   0.472288684E-005
   0.96249999415043419E-007   0.129781620E-004
   0.97499999407446580E-007   0.342533895E-004
   0.98749999399849742E-007   0.869159994E-004
   0.99999999392252903E-007   0.212215236E-003
   0.10124999938465606E-006   0.498959911E-003
   0.10249999937705923E-006   0.113046740E-002
   0.10374999936946239E-006   0.246948772E-002
   0.10499999936186555E-006   0.520390086E-002
   0.10624999935426871E-006   0.105829481E-001
   0.10749999934667187E-006   0.207772925E-001
   0.10874999933907503E-006   0.393906534E-001
   0.10999999933147819E-006   0.721283779E-001
   0.11124999932388135E-006   0.127580941E+000
   0.11249999931628452E-006   0.218003407E+000
   0.11374999930868768E-006   0.359870017E+000
   0.11499999930109084E-006   0.573879063E+000
   0.11624999929349400E-006   0.884019315E+000
   0.11749999928589716E-006   0.131534982E+001
   0.11874999927830032E-006   0.189035320E+001
   0.11999999927070348E-006   0.262414026E+001
   0.12124999926310664E-006   0.351937819E+001
   0.12249999925550981E-006   0.456244230E+001
   0.12374999924791297E-006   0.572270298E+001
   0.12499999924031613E-006   0.695672941E+001
   0.12624999923271929E-006   0.821826553E+001
   0.12749999922512245E-006   0.947303772E+001
   0.12874999921752561E-006   0.107151995E+002
   0.12999999920992877E-006   0.119801807E+002
   0.13124999920233194E-006   0.133480854E+002
   0.13249999919473510E-006   0.149333382E+002
   0.13374999918713826E-006   0.168603897E+002
   0.13499999917954142E-006   0.192309990E+002
   0.13624999917194458E-006   0.220939026E+002
   0.13749999916434774E-006   0.254297714E+002
   0.13874999915675090E-006   0.291612606E+002
   0.13999999914915406E-006   0.331891823E+002
   0.14124999914155723E-006   0.374442825E+002
   0.14249999913396039E-006   0.419343643E+002
   0.14374999912636355E-006   0.467643814E+002
   0.14499999911876671E-006   0.521155205E+002
   0.14624999911116987E-006   0.581867599E+002
   0.14749999910357303E-006   0.651216965E+002
   0.14874999909597619E-006   0.729549103E+002
   0.14999999908837935E-006   0.816076355E+002
   0.15124999908078252E-006   0.909415283E+002
   0.15249999907318568E-006   0.100849327E+003
   0.15374999906558884E-006   0.111338600E+003
   0.15499999905799200E-006   0.122561897E+003
   0.15624999905039516E-006   0.134770493E+003
   0.15749999904279832E-006   0.148208755E+003
   0.15874999903520148E-006   0.163002579E+003
   0.15999999902760464E-006   0.179105225E+003
   0.16124999902000781E-006   0.196337509E+003
   0.16249999901241097E-006   0.214507141E+003
   0.16374999900481413E-006   0.233542816E+003
   0.16499999899721729E-006   0.253563065E+003
   0.16624999898962045E-006   0.274833099E+003
   0.16749999898202361E-006   0.297628296E+003
   0.16874999897442677E-006   0.322081421E+003
   0.16999999896682993E-006   0.348106140E+003
   0.17124999895923310E-006   0.375445953E+003
   0.17249999895163626E-006   0.403823395E+003
   0.17374999894403942E-006   0.433103180E+003
   0.17499999893644258E-006   0.463370361E+003
   0.17624999892884574E-006   0.494873291E+003
   0.17749999892124890E-006   0.527857727E+003
   0.17874999891365206E-006   0.562386108E+003
   0.17999999890605523E-006   0.598253723E+003
   0.18124999889845839E-006   0.635065247E+003
   0.18249999889086155E-006   0.672438232E+003
   0.18374999888326471E-006   0.710208069E+003
   0.18499999887566787E-006   0.748488892E+003
   0.18624999886807103E-006   0.787530701E+003
   0.18749999886047419E-006   0.827461975E+003
   0.18874999885287735E-006   0.868108582E+003
   0.18999999884528052E-006   0.909034790E+003
   0.19124999883768368E-006   0.949776978E+003
   0.19249999883008684E-006   0.990077820E+003
   0.19374999882249000E-006   0.102993005E+004
   0.19499999881489316E-006   0.106941357E+004
   0.19624999880729632E-006   0.110849585E+004
   0.19749999879969948E-006   0.114697681E+004
   0.19874999879210264E-006   0.118459033E+004
   0.19999999878450581E-006   0.122111316E+004
   0.20124999877690897E-006   0.125635425E+004
   0.20249999876931213E-006   0.129007471E+004
   0.20374999876171529E-006   0.132199304E+004
   0.20499999875411845E-006   0.135192200E+004
   0.20624999874652161E-006   0.137988098E+004
   0.20749999873892477E-006   0.140599988E+004
   0.20874999873132793E-006   0.143025635E+004
   0.20999999872373110E-006   0.145231921E+004
   0.21124999871613426E-006   0.147170947E+004
   0.21249999870853742E-006   0.148815344E+004
   0.21374999870094058E-006   0.150176160E+004
   0.21499999869334374E-006   0.151282434E+004
   0.21624999868574690E-006   0.152143787E+004
   0.21749999867815006E-006   0.152736914E+004
   0.21874999867055323E-006   0.153030396E+004
   0.21999999866295639E-006   0.153018396E+004
   0.22124999865535955E-006   0.152723926E+004
   0.22249999864776271E-006   0.152168994E+004
   0.22374999864016587E-006   0.151348743E+004
   0.22499999863256903E-006   0.150241479E+004
   0.22624999862497219E-006   0.148842517E+004
   0.22749999861737535E-006   0.147180688E+004
   0.22874999860977852E-006   0.145297083E+004
   0.22999999860218168E-006   0.143210522E+004
   0.23124999859458484E-006   0.140909595E+004
   0.23249999858698800E-006   0.138378748E+004
   0.23374999857939116E-006   0.135627039E+004
   0.23499999857179432E-006   0.132688696E+004
   0.23624999856419748E-006   0.129599707E+004
   0.23749999855660064E-006   0.126379663E+004
   0.23874999854900381E-006   0.123036035E+004
   0.23999999854140697E-006   0.119578491E+004
   0.24124999853381013E-006   0.116023486E+004
   0.24249999852621329E-006   0.112387646E+004
   0.24374999851861645E-006   0.108683948E+004
   0.24499999851101961E-006   0.104927026E+004
   0.24624999850342277E-006   0.101138220E+004
   0.24749999849582593E-006   0.973411560E+003
   0.24874999848822910E-006   0.935532898E+003
   0.24999999848063226E-006   0.897850342E+003
   0.25124999847303542E-006   0.860463135E+003
   0.25249999846543858E-006   0.823495728E+003
   0.25374999845784174E-006   0.787048035E+003
   0.25499999845024490E-006   0.751165222E+003
   0.25624999844264806E-006   0.715909668E+003
   0.25749999843505122E-006   0.681452026E+003
   0.25874999842745439E-006   0.648028076E+003
   0.25999999841985755E-006   0.615772949E+003
   0.26124999841226071E-006   0.584628967E+003
   0.26249999840466387E-006   0.554458740E+003
   0.26374999839706703E-006   0.525240295E+003
   0.26499999838947019E-006   0.497111511E+003
   0.26624999838187335E-006   0.470225677E+003
   0.26749999837427652E-006   0.444615051E+003
   0.26874999836667968E-006   0.420225403E+003
   0.26999999835908284E-006   0.397037781E+003
   0.27124999835148600E-006   0.375087036E+003
   0.27249999834388916E-006   0.354358582E+003
   0.27374999833629232E-006   0.334737549E+003
   0.27499999832869548E-006   0.316112183E+003
   0.27624999832109864E-006   0.298501343E+003
   0.27749999831350181E-006   0.282022583E+003
   0.27874999830590497E-006   0.266727905E+003
   0.27999999829830813E-006   0.252514313E+003
   0.28124999829071129E-006   0.239216202E+003
   0.28249999828311445E-006   0.226747437E+003
   0.28374999827551761E-006   0.215115631E+003
   0.28499999826792077E-006   0.204322128E+003
   0.28624999826032393E-006   0.194307098E+003
   0.28749999825272710E-006   0.185005920E+003
   0.28874999824513026E-006   0.176410110E+003
   0.28999999823753342E-006   0.168531097E+003
   0.29124999822993658E-006   0.161322433E+003
   0.29249999822233974E-006   0.154678955E+003
   0.29374999821474290E-006   0.148512146E+003
   0.29499999820714606E-006   0.142791534E+003
   0.29624999819954922E-006   0.137506790E+003
   0.29749999819195239E-006   0.132630188E+003
   0.29874999818435555E-006   0.128143463E+003
   0.29999999817675871E-006   0.124067276E+003
   0.30124999816916187E-006   0.120411072E+003
   0.30249999816156503E-006   0.117095634E+003
   0.30374999815396819E-006   0.113977715E+003
   0.30499999814637135E-006   0.110979309E+003
   0.30624999813877452E-006   0.108160690E+003
   0.30749999813117768E-006   0.105628372E+003
   0.30874999812358084E-006   0.103387604E+003
   0.30999999811598400E-006   0.101329414E+003
   0.31124999810838716E-006   0.993620682E+002
   0.31249999810079032E-006   0.975032959E+002
   0.31374999809319348E-006   0.958138046E+002
   0.31499999808559664E-006   0.942777481E+002
   0.31624999807799981E-006   0.928026199E+002
   0.31749999807040297E-006   0.913342590E+002
   0.31874999806280613E-006   0.899229355E+002
   0.31999999805520929E-006   0.886535797E+002
   0.32124999804761245E-006   0.875405502E+002
   0.32249999804001561E-006   0.865184631E+002
   0.32374999803241877E-006   0.855162888E+002
   0.32499999802482193E-006   0.845066757E+002
   0.32624999801722510E-006   0.834931030E+002
   0.32749999800962826E-006   0.824928207E+002
   0.32874999800203142E-006   0.815450592E+002
   0.32999999799443458E-006   0.806977081E+002
   0.33124999798683774E-006   0.799525070E+002
   0.33249999797924090E-006   0.792404175E+002
   0.33374999797164406E-006   0.784858932E+002
   0.33499999796404722E-006   0.776915207E+002
   0.33624999795645039E-006   0.769262390E+002
   0.33749999794885355E-006   0.762270508E+002
   0.33874999794125671E-006   0.755517883E+002
   0.33999999793365987E-006   0.748517990E+002
   0.34124999792606303E-006   0.741571503E+002
   0.34249999791846619E-006   0.735427399E+002
   0.34374999791086935E-006   0.730157623E+002
   0.34499999790327252E-006   0.724855194E+002
   0.34624999789567568E-006   0.718664246E+002
   0.34749999788807884E-006   0.711801376E+002
   0.34874999788048200E-006   0.705255737E+002
   0.34999999787288516E-006   0.699650269E+002
   0.35124999786528832E-006   0.694736099E+002
   0.35249999785769148E-006   0.689936829E+002
   0.35374999785009464E-006   0.684978790E+002
   0.35499999784249781E-006   0.679854507E+002
   0.35624999783490097E-006   0.674528046E+002
   0.35749999782730413E-006   0.669013519E+002
   0.35874999781970729E-006   0.663601532E+002
   0.35999999781211045E-006   0.658659897E+002
   0.36124999780451361E-006   0.654188843E+002
   0.36249999779691677E-006   0.649834824E+002
   0.36374999778931993E-006   0.645387344E+002
   0.36499999778172310E-006   0.640984344E+002
   0.36624999777412626E-006   0.636697235E+002
   0.36749999776652942E-006   0.632216873E+002
   0.36874999775893258E-006   0.627279358E+002
   0.36999999775133574E-006   0.622261314E+002
   0.37124999774373890E-006   0.617933083E+002
   0.37249999773614206E-006   0.614522362E+002
   0.37374999772854522E-006   0.611341934E+002
   0.37499999772094839E-006   0.607556648E+002
   0.37624999771335155E-006   0.603104172E+002
   0.37749999770575471E-006   0.598600235E+002
   0.37874999769815787E-006   0.594493065E+002
   0.37999999769056103E-006   0.590675049E+002
   0.38124999768296419E-006   0.586928101E+002
   0.38249999767536735E-006   0.583347931E+002
   0.38374999766777051E-006   0.580089073E+002
   0.38499999766017368E-006   0.576935425E+002
   0.38624999765257684E-006   0.573460274E+002
   0.38749999764498000E-006   0.569567223E+002
   0.38874999763738316E-006   0.565603294E+002
   0.38999999762978632E-006   0.561917229E+002
   0.39124999762218948E-006   0.558550148E+002
   0.39249999761459264E-006   0.555419540E+002
   0.39374999760699581E-006   0.552524643E+002
   0.39499999759939897E-006   0.549766693E+002
   0.39624999759180213E-006   0.546776924E+002
   0.39749999758420529E-006   0.543251686E+002
   0.39874999757660845E-006   0.539431152E+002
   0.39999999756901161E-006   0.535945778E+002
   0.40124999756141477E-006   0.533104477E+002
   0.40249999755381793E-006   0.530570908E+002
   0.40374999754622110E-006   0.527869339E+002
   0.40499999753862426E-006   0.524970131E+002
   0.40624999753102742E-006   0.522133598E+002
   0.40749999752343058E-006   0.519349327E+002
   0.40874999751583374E-006   0.516308899E+002
   0.40999999750823690E-006   0.512972984E+002
   0.41124999750064006E-006   0.509817009E+002
   0.41249999749304322E-006   0.507292175E+002
   0.41374999748544639E-006   0.505232239E+002
   0.41499999747784955E-006   0.503042526E+002
   0.41624999747025271E-006   0.500387230E+002
   0.41749999746265587E-006   0.497444992E+002
   0.41874999745505903E-006   0.494525452E+002
   0.41999999744746219E-006   0.491728516E+002
   0.42124999743986535E-006   0.489069633E+002
   0.42249999743226851E-006   0.486666336E+002
   0.42374999742467168E-006   0.484565697E+002
   0.42499999741707484E-006   0.482521820E+002
   0.42624999740947800E-006   0.480200500E+002
   0.42749999740188116E-006   0.477581596E+002
   0.42874999739428432E-006   0.474944458E+002
   0.42999999738668748E-006   0.472455521E+002
   0.43124999737909064E-006   0.470014763E+002
   0.43249999737149381E-006   0.467586098E+002
   0.43374999736389697E-006   0.465407867E+002
   0.43499999735630013E-006   0.463635979E+002
   0.43624999734870329E-006   0.461935501E+002
   0.43749999734110645E-006   0.459750938E+002
   0.43874999733350961E-006   0.457002754E+002
   0.43999999732591277E-006   0.454244194E+002
   0.44124999731831593E-006   0.452016220E+002
   0.44249999731071910E-006   0.450258484E+002
   0.44374999730312226E-006   0.448520775E+002
   0.44499999729552542E-006   0.446573792E+002
   0.44624999728792858E-006   0.444550247E+002
   0.44749999728033174E-006   0.442558975E+002
   0.44874999727273490E-006   0.440474815E+002
   0.44999999726513806E-006   0.438206482E+002
   0.45124999725754122E-006   0.435939789E+002
   0.45249999724994439E-006   0.433936501E+002
   0.45374999724234755E-006   0.432212677E+002
   0.45499999723475071E-006   0.430579605E+002
   0.45624999722715387E-006   0.428907623E+002
   0.45749999721955703E-006   0.427159500E+002
   0.45874999721196019E-006   0.425230255E+002
   0.45999999720436335E-006   0.423017426E+002
   0.46124999719676651E-006   0.420707970E+002
   0.46249999718916968E-006   0.418747025E+002
   0.46374999718157284E-006   0.417339821E+002
   0.46499999717397600E-006   0.416128426E+002
   0.46624999716637916E-006   0.414572372E+002
   0.46749999715878232E-006   0.412579575E+002
   0.46874999715118548E-006   0.410538635E+002
   0.46999999714358864E-006   0.408745155E+002
   0.47124999713599180E-006   0.407064934E+002
   0.47249999712839497E-006   0.405270805E+002
   0.47374999712079813E-006   0.403470078E+002
   0.47499999711320129E-006   0.401952477E+002
   0.47624999710560445E-006   0.400710335E+002
   0.47749999709800761E-006   0.399373817E+002
   0.47874999709041077E-006   0.397657547E+002
   0.47999999708281393E-006   0.395676994E+002
   0.48124999707521710E-006   0.393752518E+002
   0.48249999706762026E-006   0.392067070E+002
   0.48374999706002342E-006   0.390620422E+002
   0.48499999705242658E-006   0.389360428E+002
   0.48624999704482974E-006   0.388171730E+002
   0.48749999703723290E-006   0.386818962E+002
   0.48874999702963606E-006   0.385126495E+002
   0.48999999702203922E-006   0.383238907E+002
   0.49124999701444239E-006   0.381520424E+002
   0.49249999700684555E-006   0.380129585E+002
   0.49374999699924871E-006   0.378852005E+002
   0.49499999699165187E-006   0.377449951E+002
   0.49624999698405503E-006   0.376008835E+002
   0.49749999697645819E-006   0.374747353E+002
   0.49874999696886135E-006   0.373584976E+002
   0.49999999696126451E-006   0.372166481E+002
   0.50124999695366768E-006   0.370365639E+002
   0.50249999694607084E-006   0.368541107E+002
   0.50374999693847400E-006   0.367141876E+002
   0.50499999693087716E-006   0.366181526E+002
   0.50624999692328032E-006   0.365262985E+002
   0.50749999691568348E-006   0.364053688E+002
   0.50874999690808664E-006   0.362566223E+002
   0.50999999690048980E-006   0.360997047E+002
   0.51124999689289297E-006   0.359485016E+002
   0.51249999688529613E-006   0.358092117E+002
   0.51374999687769929E-006   0.356860237E+002
   0.51499999687010245E-006   0.355757370E+002
   0.51624999686250561E-006   0.354648743E+002
   0.51749999685490877E-006   0.353438530E+002
   0.51874999684731193E-006   0.352186546E+002
   0.51999999683971510E-006   0.350972748E+002
   0.52124999683211826E-006   0.349708633E+002
   0.52249999682452142E-006   0.348254929E+002
   0.52374999681692458E-006   0.346727371E+002
   0.52499999680932774E-006   0.345480766E+002
   0.52624999680173090E-006   0.344672585E+002
   0.52749999679413406E-006   0.343978691E+002
   0.52874999678653722E-006   0.342915154E+002
   0.52999999677894039E-006   0.341393890E+002
   0.53124999677134355E-006   0.339797325E+002
   0.53249999676374671E-006   0.338506508E+002
   0.53374999675614987E-006   0.337520256E+002
   0.53499999674855303E-006   0.336589355E+002
   0.53624999674095619E-006   0.335565147E+002
   0.53749999673335935E-006   0.334484062E+002
   0.53874999672576251E-006   0.333398666E+002
   0.53999999671816568E-006   0.332286110E+002
   0.54124999671056884E-006   0.331119308E+002
   0.54249999670297200E-006   0.329913940E+002
   0.54374999669537516E-006   0.328694916E+002
   0.54499999668777832E-006   0.327513161E+002
   0.54624999668018148E-006   0.326491814E+002
   0.54749999667258464E-006   0.325716286E+002
   0.54874999666498780E-006   0.325026360E+002
   0.54999999665739097E-006   0.324064178E+002
   0.55124999664979413E-006   0.322668037E+002
   0.55249999664219729E-006   0.321141281E+002
   0.55374999663460045E-006   0.319964275E+002
   0.55499999662700361E-006   0.319248447E+002
   0.55624999661940677E-006   0.318630867E+002
   0.55749999661180993E-006   0.317739143E+002
   0.55874999660421309E-006   0.316598225E+002
   0.55999999659661626E-006   0.315481186E+002
   0.56124999658901942E-006   0.314498959E+002
   0.56249999658142258E-006   0.313516273E+002
   0.56374999657382574E-006   0.312428570E+002
   0.56499999656622890E-006   0.311335068E+002
   0.56624999655863206E-006   0.310390377E+002
   0.56749999655103522E-006   0.309610023E+002
   0.56874999654343839E-006   0.308884201E+002
   0.56999999653584155E-006   0.308086548E+002
   0.57124999652824471E-006   0.307109699E+002
   0.57249999652064787E-006   0.305908566E+002
   0.57374999651305103E-006   0.304623165E+002
   0.57499999650545419E-006   0.303568840E+002
   0.57624999649785735E-006   0.302932529E+002
   0.57749999649026051E-006   0.302488899E+002
   0.57874999648266368E-006   0.301786804E+002
   0.57999999647506684E-006   0.300665302E+002
   0.58124999646747000E-006   0.299435787E+002
   0.58249999645987316E-006   0.298465309E+002
   0.58374999645227632E-006   0.297724590E+002
   0.58499999644467948E-006   0.296910782E+002
   0.58624999643708264E-006   0.295926189E+002
   0.58749999642948580E-006   0.295005627E+002
   0.58874999642188897E-006   0.294337177E+002
   0.58999999641429213E-006   0.293760185E+002
   0.59124999640669529E-006   0.292966843E+002
   0.59249999639909845E-006   0.291888218E+002
   0.59374999639150161E-006   0.290741291E+002
   0.59499999638390477E-006   0.289757786E+002
   0.59624999637630793E-006   0.289003773E+002
   0.59749999636871109E-006   0.288424034E+002
   0.59874999636111426E-006   0.287896862E+002
   0.59999999635351742E-006   0.287228813E+002
   0.60124999634592058E-006   0.286268120E+002
   0.60249999633832374E-006   0.285115204E+002
   0.60374999633072690E-006   0.284096546E+002
   0.60499999632313006E-006   0.283407307E+002
   0.60624999631553322E-006   0.282865639E+002
   0.60749999630793639E-006   0.282160645E+002
   0.60874999630033955E-006   0.281277275E+002
   0.60999999629274271E-006   0.280483303E+002
   0.61124999628514587E-006   0.279889660E+002
   0.61249999627754903E-006   0.279244061E+002
   0.61374999626995219E-006   0.278287411E+002
   0.61499999626235535E-006   0.277161465E+002
   0.61624999625475851E-006   0.276266193E+002
   0.61749999624716168E-006   0.275759544E+002
   0.61874999623956484E-006   0.275384254E+002
   0.61999999623196800E-006   0.274807224E+002
   0.62124999622437116E-006   0.273965511E+002
   0.62249999621677432E-006   0.273016357E+002
   0.62374999620917748E-006   0.272100163E+002
   0.62499999620158064E-006   0.271277771E+002
   0.62624999619398380E-006   0.270597839E+002
   0.62749999618638697E-006   0.270058613E+002
   0.62874999617879013E-006   0.269526997E+002
   0.62999999617119329E-006   0.268845634E+002
   0.63124999616359645E-006   0.268037376E+002
   0.63249999615599961E-006   0.267273102E+002
   0.63374999614840277E-006   0.266604671E+002
   0.63499999614080593E-006   0.265878563E+002
   0.63624999613320909E-006   0.265005894E+002
   0.63749999612561226E-006   0.264180679E+002
   0.63874999611801542E-006   0.263654594E+002
   0.63999999611041858E-006   0.263346825E+002
   0.64124999610282174E-006   0.262874393E+002
   0.64249999609522490E-006   0.262013378E+002
   0.64374999608762806E-006   0.260972767E+002
   0.64499999608003122E-006   0.260120449E+002
   0.64624999607243439E-006   0.259558086E+002
   0.64749999606483755E-006   0.259093609E+002
   0.64874999605724071E-006   0.258550701E+002
   0.64999999604964387E-006   0.257935562E+002
   0.65124999604204703E-006   0.257303982E+002
   0.65249999603445019E-006   0.256631870E+002
   0.65374999602685335E-006   0.255890827E+002
   0.65499999601925651E-006   0.255142212E+002
   0.65624999601165968E-006   0.254463730E+002
   0.65749999600406284E-006   0.253848457E+002
   0.65874999599646600E-006   0.253260880E+002
   0.65999999598886916E-006   0.252729588E+002
   0.66124999598127232E-006   0.252270908E+002
   0.66249999597367548E-006   0.251759071E+002
   0.66374999596607864E-006   0.251022453E+002
   0.66499999595848180E-006   0.250102959E+002
   0.66624999595088497E-006   0.249286690E+002
   0.66749999594328813E-006   0.248786507E+002
   0.66874999593569129E-006   0.248478355E+002
   0.66999999592809445E-006   0.248058434E+002
   0.67124999592049761E-006   0.247408257E+002
   0.67249999591290077E-006   0.246678619E+002
   0.67374999590530393E-006   0.246028175E+002
   0.67499999589770709E-006   0.245427608E+002
   0.67624999589011026E-006   0.244780407E+002
   0.67749999588251342E-006   0.244118881E+002
   0.67874999587491658E-006   0.243564606E+002
   0.67999999586731974E-006   0.243138714E+002
   0.68124999585972290E-006   0.242719021E+002
   0.68249999585212606E-006   0.242185020E+002
   0.68374999584452922E-006   0.241525898E+002
   0.68499999583693238E-006   0.240802650E+002
   0.68624999582933555E-006   0.240088711E+002
   0.68749999582173871E-006   0.239471092E+002
   0.68874999581414187E-006   0.239019241E+002
   0.68999999580654503E-006   0.238684826E+002
   0.69124999579894819E-006   0.238288937E+002
   0.69249999579135135E-006   0.237692566E+002
   0.69374999578375451E-006   0.236960068E+002
   0.69499999577615768E-006   0.236280251E+002
   0.69624999576856084E-006   0.235736732E+002
   0.69749999576096400E-006   0.235241776E+002
   0.69874999575336716E-006   0.234708195E+002
   0.69999999574577032E-006   0.234185619E+002
   0.70124999573817348E-006   0.233757305E+002
   0.70249999573057664E-006   0.233367748E+002
   0.70374999572297980E-006   0.232857265E+002
   0.70499999571538297E-006   0.232166939E+002
   0.70624999570778613E-006   0.231428623E+002
   0.70749999570018929E-006   0.230824223E+002
   0.70874999569259245E-006   0.230405827E+002
   0.70999999568499561E-006   0.230078449E+002
   0.71124999567739877E-006   0.229710636E+002
   0.71249999566980193E-006   0.229224091E+002
   0.71374999566220509E-006   0.228616772E+002
   0.71499999565460826E-006   0.227957764E+002
   0.71624999564701142E-006   0.227351017E+002
   0.71749999563941458E-006   0.226855030E+002
   0.71874999563181774E-006   0.226431046E+002
   0.71999999562422090E-006   0.226000423E+002
   0.72124999561662406E-006   0.225545025E+002
   0.72249999560902722E-006   0.225103989E+002
   0.72374999560143038E-006   0.224669437E+002
   0.72499999559383355E-006   0.224154243E+002
   0.72624999558623671E-006   0.223511963E+002
   0.72749999557863987E-006   0.222846889E+002
   0.72874999557104303E-006   0.222333469E+002
   0.72999999556344619E-006   0.222021046E+002
   0.73124999555584935E-006   0.221768494E+002
   0.73249999554825251E-006   0.221389599E+002
   0.73374999554065568E-006   0.220830154E+002
   0.73499999553305884E-006   0.220187035E+002
   0.73624999552546200E-006   0.219590950E+002
   0.73749999551786516E-006   0.219102669E+002
   0.73874999551026832E-006   0.218700294E+002
   0.73999999550267148E-006   0.218323708E+002
   0.74124999549507464E-006   0.217925243E+002
   0.74249999548747780E-006   0.217497692E+002
   0.74374999547988097E-006   0.217057991E+002
   0.74499999547228413E-006   0.216598778E+002
   0.74624999546468729E-006   0.216078587E+002
   0.74749999545709045E-006   0.215491142E+002
   0.74874999544949361E-006   0.214928722E+002
   0.74999999544189677E-006   0.214518375E+002
   0.75124999543429993E-006   0.214269924E+002
   0.75249999542670309E-006   0.214027138E+002
   0.75374999541910626E-006   0.213613377E+002
   0.75499999541150942E-006   0.213013268E+002
   0.75624999540391258E-006   0.212377357E+002
   0.75749999539631574E-006   0.211857586E+002
   0.75874999538871890E-006   0.211476460E+002
   0.75999999538112206E-006   0.211153965E+002
   0.76124999537352522E-006   0.210811844E+002
   0.76249999536592838E-006   0.210424385E+002
   0.76374999535833155E-006   0.209999371E+002
   0.76499999535073471E-006   0.209548969E+002
   0.76624999534313787E-006   0.209077644E+002
   0.76749999533554103E-006   0.208583126E+002
   0.76874999532794419E-006   0.208078651E+002
   0.76999999532034735E-006   0.207621269E+002
   0.77124999531275051E-006   0.207283268E+002
   0.77249999530515367E-006   0.207054653E+002
   0.77374999529755684E-006   0.206795330E+002
   0.77499999528996000E-006   0.206349659E+002
   0.77624999528236316E-006   0.205726795E+002
   0.77749999527476632E-006   0.205117245E+002
   0.77874999526716948E-006   0.204694633E+002
   0.77999999525957264E-006   0.204436035E+002
   0.78124999525197580E-006   0.204178238E+002
   0.78249999524437897E-006   0.203818226E+002
   0.78374999523678213E-006   0.203394051E+002
   0.78499999522918529E-006   0.202976913E+002
   0.78624999522158845E-006   0.202562580E+002
   0.78749999521399161E-006   0.202107925E+002
   0.78874999520639477E-006   0.201625767E+002
   0.78999999519879793E-006   0.201187630E+002
