t              csa.fdtd_Point probe A2_Ez_70_20_0.dat
   0.67499999589770709E-007  -0.310952407E-035
   0.68749999582173871E-007  -0.637331685E-034
   0.69999999574577032E-007  -0.949327401E-033
   0.71249999566980193E-007  -0.121672937E-031
   0.72499999559383355E-007  -0.136820678E-030
   0.73749999551786516E-007  -0.137416841E-029
   0.74999999544189677E-007  -0.124956659E-028
   0.76249999536592838E-007  -0.103957040E-027
   0.77499999528996000E-007  -0.797890531E-027
   0.78749999521399161E-007  -0.568845326E-026
   0.79999999513802322E-007  -0.378873684E-025
   0.81249999506205484E-007  -0.236902991E-024
   0.82499999498608645E-007  -0.139658534E-023
   0.83749999491011806E-007  -0.779120209E-023
   0.84999999483414967E-007  -0.412681980E-022
   0.86249999475818129E-007  -0.208151817E-021
   0.87499999468221290E-007  -0.100241224E-020
   0.88749999460624451E-007  -0.462007756E-020
   0.89999999453027613E-007  -0.204233284E-019
   0.91249999445430774E-007  -0.867621537E-019
   0.92499999437833935E-007  -0.354844534E-018
   0.93749999430237096E-007  -0.139946355E-017
   0.94999999422640258E-007  -0.533032457E-017
   0.96249999415043419E-007  -0.196343031E-016
   0.97499999407446580E-007  -0.700328958E-016
   0.98749999399849742E-007  -0.242173496E-015
   0.99999999392252903E-007  -0.812765118E-015
   0.10124999938465606E-006  -0.265008445E-014
   0.10249999937705923E-006  -0.840276165E-014
   0.10374999936946239E-006  -0.259320001E-013
   0.10499999936186555E-006  -0.779579241E-013
   0.10624999935426871E-006  -0.228470454E-012
   0.10749999934667187E-006  -0.653220316E-012
   0.10874999933907503E-006  -0.182323904E-011
   0.10999999933147819E-006  -0.497116844E-011
   0.11124999932388135E-006  -0.132484258E-010
   0.11249999931628452E-006  -0.345307116E-010
   0.11374999930868768E-006  -0.880668316E-010
   0.11499999930109084E-006  -0.219888052E-009
   0.11624999929349400E-006  -0.537746625E-009
   0.11749999928589716E-006  -0.128864475E-008
   0.11874999927830032E-006  -0.302726244E-008
   0.11999999927070348E-006  -0.697428737E-008
   0.12124999926310664E-006  -0.157631970E-007
   0.12249999925550981E-006  -0.349652183E-007
   0.12374999924791297E-006  -0.761412196E-007
   0.12499999924031613E-006  -0.162828769E-006
   0.12624999923271929E-006  -0.342056893E-006
   0.12749999922512245E-006  -0.706061201E-006
   0.12874999921752561E-006  -0.143244176E-005
   0.12999999920992877E-006  -0.285699525E-005
   0.13124999920233194E-006  -0.560325861E-005
   0.13249999919473510E-006  -0.108084923E-004
   0.13374999918713826E-006  -0.205102806E-004
   0.13499999917954142E-006  -0.382950930E-004
   0.13624999917194458E-006  -0.703651167E-004
   0.13749999916434774E-006  -0.127258492E-003
   0.13874999915675090E-006  -0.226567965E-003
   0.13999999914915406E-006  -0.397150434E-003
   0.14124999914155723E-006  -0.685510458E-003
   0.14249999913396039E-006  -0.116527604E-002
   0.14374999912636355E-006  -0.195095816E-002
   0.14499999911876671E-006  -0.321748178E-002
   0.14624999911116987E-006  -0.522725610E-002
   0.14749999910357303E-006  -0.836676732E-002
   0.14874999909597619E-006  -0.131947454E-001
   0.14999999908837935E-006  -0.205037594E-001
   0.15124999908078252E-006  -0.313965455E-001
   0.15249999907318568E-006  -0.473772883E-001
   0.15374999906558884E-006  -0.704563782E-001
   0.15499999905799200E-006  -0.103264794E+000
   0.15624999905039516E-006  -0.149171233E+000
   0.15749999904279832E-006  -0.212391615E+000
   0.15874999903520148E-006  -0.298076987E+000
   0.15999999902760464E-006  -0.412362814E+000
   0.16124999902000781E-006  -0.562360823E+000
   0.16249999901241097E-006  -0.756074965E+000
   0.16374999900481413E-006  -0.100222695E+001
   0.16499999899721729E-006  -0.130998397E+001
   0.16624999898962045E-006  -0.168859506E+001
   0.16749999898202361E-006  -0.214695549E+001
   0.16874999897442677E-006  -0.269314218E+001
   0.16999999896682993E-006  -0.333397889E+001
   0.17124999895923310E-006  -0.407470608E+001
   0.17249999895163626E-006  -0.491884518E+001
   0.17374999894403942E-006  -0.586833429E+001
   0.17499999893644258E-006  -0.692400455E+001
   0.17624999892884574E-006  -0.808642292E+001
   0.17749999892124890E-006  -0.935707760E+001
   0.17874999891365206E-006  -0.107398186E+002
   0.17999999890605523E-006  -0.122424059E+002
   0.18124999889845839E-006  -0.138779449E+002
   0.18249999889086155E-006  -0.156659765E+002
   0.18374999888326471E-006  -0.176329842E+002
   0.18499999887566787E-006  -0.198121147E+002
   0.18624999886807103E-006  -0.222420502E+002
   0.18749999886047419E-006  -0.249650517E+002
   0.18874999885287735E-006  -0.280243988E+002
   0.18999999884528052E-006  -0.314615784E+002
   0.19124999883768368E-006  -0.353136749E+002
   0.19249999883008684E-006  -0.396114731E+002
   0.19374999882249000E-006  -0.443786964E+002
   0.19499999881489316E-006  -0.496326485E+002
   0.19624999880729632E-006  -0.553862915E+002
   0.19749999879969948E-006  -0.616514626E+002
   0.19874999879210264E-006  -0.684426804E+002
   0.19999999878450581E-006  -0.757807846E+002
   0.20124999877690897E-006  -0.836955872E+002
   0.20249999876931213E-006  -0.922268372E+002
   0.20374999876171529E-006  -0.101423126E+003
   0.20499999875411845E-006  -0.111338715E+003
   0.20624999874652161E-006  -0.122028801E+003
   0.20749999873892477E-006  -0.133544159E+003
   0.20874999873132793E-006  -0.145926132E+003
   0.20999999872373110E-006  -0.159203354E+003
   0.21124999871613426E-006  -0.173390656E+003
   0.21249999870853742E-006  -0.188490768E+003
   0.21374999870094058E-006  -0.204498291E+003
   0.21499999869334374E-006  -0.221404877E+003
   0.21624999868574690E-006  -0.239204468E+003
   0.21749999867815006E-006  -0.257896912E+003
   0.21874999867055323E-006  -0.277489014E+003
   0.21999999866295639E-006  -0.297992401E+003
   0.22124999865535955E-006  -0.319418549E+003
   0.22249999864776271E-006  -0.341772247E+003
   0.22374999864016587E-006  -0.365044922E+003
   0.22499999863256903E-006  -0.389209808E+003
   0.22624999862497219E-006  -0.414220276E+003
   0.22749999861737535E-006  -0.440011536E+003
   0.22874999860977852E-006  -0.466505798E+003
   0.22999999860218168E-006  -0.493619049E+003
   0.23124999859458484E-006  -0.521267578E+003
   0.23249999858698800E-006  -0.549372437E+003
   0.23374999857939116E-006  -0.577860474E+003
   0.23499999857179432E-006  -0.606661377E+003
   0.23624999856419748E-006  -0.635701965E+003
   0.23749999855660064E-006  -0.664899170E+003
   0.23874999854900381E-006  -0.694154236E+003
   0.23999999854140697E-006  -0.723350098E+003
   0.24124999853381013E-006  -0.752352905E+003
   0.24249999852621329E-006  -0.781017700E+003
   0.24374999851861645E-006  -0.809196533E+003
   0.24499999851101961E-006  -0.836746643E+003
   0.24624999850342277E-006  -0.863536682E+003
   0.24749999849582593E-006  -0.889448486E+003
   0.24874999848822910E-006  -0.914375061E+003
   0.24999999848063226E-006  -0.938214783E+003
   0.25124999847303542E-006  -0.960864441E+003
   0.25249999846543858E-006  -0.982213989E+003
   0.25374999845784174E-006  -0.100214490E+004
   0.25499999845024490E-006  -0.102053302E+004
   0.25624999844264806E-006  -0.103725562E+004
   0.25749999843505122E-006  -0.105219995E+004
   0.25874999842745439E-006  -0.106527161E+004
   0.25999999841985755E-006  -0.107639929E+004
   0.26124999841226071E-006  -0.108553479E+004
   0.26249999840466387E-006  -0.109264819E+004
   0.26374999839706703E-006  -0.109772021E+004
   0.26499999838947019E-006  -0.110073499E+004
   0.26624999838187335E-006  -0.110167578E+004
   0.26749999837427652E-006  -0.110052502E+004
   0.26874999836667968E-006  -0.109726941E+004
   0.26999999835908284E-006  -0.109190784E+004
   0.27124999835148600E-006  -0.108445862E+004
   0.27249999834388916E-006  -0.107496472E+004
   0.27374999833629232E-006  -0.106349329E+004
   0.27499999832869548E-006  -0.105013123E+004
   0.27624999832109864E-006  -0.103497644E+004
   0.27749999831350181E-006  -0.101812878E+004
   0.27874999830590497E-006  -0.999684753E+003
   0.27999999829830813E-006  -0.979735840E+003
   0.28124999829071129E-006  -0.958371826E+003
   0.28249999828311445E-006  -0.935687561E+003
   0.28374999827551761E-006  -0.911789307E+003
   0.28499999826792077E-006  -0.886799377E+003
   0.28624999826032393E-006  -0.860855957E+003
   0.28749999825272710E-006  -0.834107849E+003
   0.28874999824513026E-006  -0.806705750E+003
   0.28999999823753342E-006  -0.778792358E+003
   0.29124999822993658E-006  -0.750495239E+003
   0.29249999822233974E-006  -0.721926025E+003
   0.29374999821474290E-006  -0.693185303E+003
   0.29499999820714606E-006  -0.664371216E+003
   0.29624999819954922E-006  -0.635587585E+003
   0.29749999819195239E-006  -0.606946594E+003
   0.29874999818435555E-006  -0.578565674E+003
   0.29999999817675871E-006  -0.550559570E+003
   0.30124999816916187E-006  -0.523032043E+003
   0.30249999816156503E-006  -0.496070282E+003
   0.30374999815396819E-006  -0.469744141E+003
   0.30499999814637135E-006  -0.444108612E+003
   0.30624999813877452E-006  -0.419207458E+003
   0.30749999813117768E-006  -0.395077240E+003
   0.30874999812358084E-006  -0.371751404E+003
   0.30999999811598400E-006  -0.349264679E+003
   0.31124999810838716E-006  -0.327656311E+003
   0.31249999810079032E-006  -0.306968781E+003
   0.31374999809319348E-006  -0.287239990E+003
   0.31499999808559664E-006  -0.268490967E+003
   0.31624999807799981E-006  -0.250716385E+003
   0.31749999807040297E-006  -0.233885727E+003
   0.31874999806280613E-006  -0.217957520E+003
   0.31999999805520929E-006  -0.202899841E+003
   0.32124999804761245E-006  -0.188703613E+003
   0.32249999804001561E-006  -0.175378555E+003
   0.32374999803241877E-006  -0.162933289E+003
   0.32499999802482193E-006  -0.151353699E+003
   0.32624999801722510E-006  -0.140595993E+003
   0.32749999800962826E-006  -0.130600647E+003
   0.32874999800203142E-006  -0.121316345E+003
   0.32999999799443458E-006  -0.112714226E+003
   0.33124999798683774E-006  -0.104779976E+003
   0.33249999797924090E-006  -0.974906387E+002
   0.33374999797164406E-006  -0.907980347E+002
   0.33499999796404722E-006  -0.846371765E+002
   0.33624999795645039E-006  -0.789563293E+002
   0.33749999794885355E-006  -0.737430496E+002
   0.33874999794125671E-006  -0.690185013E+002
   0.33999999793365987E-006  -0.647968979E+002
   0.34124999792606303E-006  -0.610395622E+002
   0.34249999791846619E-006  -0.576454811E+002
   0.34374999791086935E-006  -0.544961319E+002
   0.34499999790327252E-006  -0.515271759E+002
   0.34624999789567568E-006  -0.487698174E+002
   0.34749999788807884E-006  -0.463204193E+002
   0.34874999788048200E-006  -0.442519951E+002
   0.34999999787288516E-006  -0.425335312E+002
   0.35124999786528832E-006  -0.410261307E+002
   0.35249999785769148E-006  -0.395687103E+002
   0.35374999785009464E-006  -0.380915871E+002
   0.35499999784249781E-006  -0.366656418E+002
   0.35624999783490097E-006  -0.354400253E+002
   0.35749999782730413E-006  -0.345113029E+002
   0.35874999781970729E-006  -0.338289833E+002
   0.35999999781211045E-006  -0.332199364E+002
   0.36124999780451361E-006  -0.325193253E+002
   0.36249999779691677E-006  -0.317035236E+002
   0.36374999778931993E-006  -0.309111462E+002
   0.36499999778172310E-006  -0.303263683E+002
   0.36624999777412626E-006  -0.300156479E+002
   0.36749999776652942E-006  -0.298556137E+002
   0.36874999775893258E-006  -0.296207027E+002
   0.36999999775133574E-006  -0.291657391E+002
   0.37124999774373890E-006  -0.285523872E+002
   0.37249999773614206E-006  -0.280071869E+002
   0.37374999772854522E-006  -0.277368946E+002
   0.37499999772094839E-006  -0.277505989E+002
   0.37624999771335155E-006  -0.278399582E+002
   0.37749999770575471E-006  -0.277412224E+002
   0.37874999769815787E-006  -0.273493404E+002
   0.37999999769056103E-006  -0.268060455E+002
   0.38124999768296419E-006  -0.263853493E+002
   0.38249999767536735E-006  -0.262689667E+002
   0.38374999766777051E-006  -0.263980274E+002
   0.38499999766017368E-006  -0.265244865E+002
   0.38624999765257684E-006  -0.264177456E+002
   0.38749999764498000E-006  -0.260518246E+002
   0.38874999763738316E-006  -0.256171989E+002
   0.38999999762978632E-006  -0.253524647E+002
   0.39124999762218948E-006  -0.253434391E+002
   0.39249999761459264E-006  -0.254603157E+002
   0.39374999760699581E-006  -0.254798756E+002
   0.39499999759939897E-006  -0.252800274E+002
   0.39624999759180213E-006  -0.249370098E+002
   0.39749999758420529E-006  -0.246472816E+002
   0.39874999757660845E-006  -0.245509872E+002
   0.39999999756901161E-006  -0.246147404E+002
   0.40124999756141477E-006  -0.246713085E+002
   0.40249999755381793E-006  -0.245719681E+002
   0.40374999754622110E-006  -0.243122063E+002
   0.40499999753862426E-006  -0.240239449E+002
   0.40624999753102742E-006  -0.238515549E+002
   0.40749999752343058E-006  -0.238292446E+002
   0.40874999751583374E-006  -0.238662186E+002
   0.40999999750823690E-006  -0.238407822E+002
   0.41124999750064006E-006  -0.237073307E+002
   0.41249999749304322E-006  -0.235191135E+002
   0.41374999748544639E-006  -0.233584957E+002
   0.41499999747784955E-006  -0.232544537E+002
   0.41624999747025271E-006  -0.231697826E+002
   0.41749999746265587E-006  -0.230613079E+002
   0.41874999745505903E-006  -0.229395790E+002
   0.41999999744746219E-006  -0.228586521E+002
   0.42124999743986535E-006  -0.228454952E+002
   0.42249999743226851E-006  -0.228484230E+002
   0.42374999742467168E-006  -0.227698898E+002
   0.42499999741707484E-006  -0.225622025E+002
   0.42624999740947800E-006  -0.222927971E+002
   0.42749999740188116E-006  -0.221048069E+002
   0.42874999739428432E-006  -0.220959320E+002
   0.42999999738668748E-006  -0.222223415E+002
   0.43124999737909064E-006  -0.223210468E+002
   0.43249999737149381E-006  -0.222408066E+002
   0.43374999736389697E-006  -0.219711113E+002
   0.43499999735630013E-006  -0.216551533E+002
   0.43624999734870329E-006  -0.214724712E+002
   0.43749999734110645E-006  -0.214917507E+002
   0.43874999733350961E-006  -0.216200905E+002
   0.43999999732591277E-006  -0.216886330E+002
   0.44124999731831593E-006  -0.215945396E+002
   0.44249999731071910E-006  -0.213748875E+002
   0.44374999730312226E-006  -0.211564560E+002
   0.44499999729552542E-006  -0.210389519E+002
   0.44624999728792858E-006  -0.210212994E+002
   0.44749999728033174E-006  -0.210277977E+002
   0.44874999727273490E-006  -0.209921837E+002
   0.44999999726513806E-006  -0.209109001E+002
   0.45124999725754122E-006  -0.208218422E+002
   0.45249999724994439E-006  -0.207466946E+002
   0.45374999724234755E-006  -0.206669846E+002
   0.45499999723475071E-006  -0.205577049E+002
   0.45624999722715387E-006  -0.204334526E+002
   0.45749999721955703E-006  -0.203468590E+002
   0.45874999721196019E-006  -0.203334980E+002
   0.45999999720436335E-006  -0.203614235E+002
   0.46124999719676651E-006  -0.203462505E+002
   0.46249999718916968E-006  -0.202274990E+002
   0.46374999718157284E-006  -0.200344791E+002
   0.46499999717397600E-006  -0.198715782E+002
   0.46624999716637916E-006  -0.198275108E+002
   0.46749999715878232E-006  -0.198901863E+002
   0.46874999715118548E-006  -0.199504566E+002
   0.46999999714358864E-006  -0.198973026E+002
   0.47124999713599180E-006  -0.197188187E+002
   0.47249999712839497E-006  -0.195140858E+002
   0.47374999712079813E-006  -0.194033661E+002
   0.47499999711320129E-006  -0.194203644E+002
   0.47624999710560445E-006  -0.194869080E+002
   0.47749999709800761E-006  -0.194904118E+002
   0.47874999709041077E-006  -0.193865509E+002
   0.47999999708281393E-006  -0.192297497E+002
   0.48124999707521710E-006  -0.191095181E+002
   0.48249999706762026E-006  -0.190630112E+002
   0.48374999706002342E-006  -0.190510960E+002
   0.48499999705242658E-006  -0.190138397E+002
   0.48624999704482974E-006  -0.189389954E+002
   0.48749999703723290E-006  -0.188687172E+002
   0.48874999702963606E-006  -0.188407764E+002
   0.48999999702203922E-006  -0.188336468E+002
   0.49124999701444239E-006  -0.187815952E+002
   0.49249999700684555E-006  -0.186492500E+002
   0.49374999699924871E-006  -0.184857006E+002
   0.49499999699165187E-006  -0.183919525E+002
   0.49624999698405503E-006  -0.184234295E+002
   0.49749999697645819E-006  -0.185228386E+002
   0.49874999696886135E-006  -0.185585575E+002
   0.49999999696126451E-006  -0.184425106E+002
   0.50124999695366768E-006  -0.182177410E+002
   0.50249999694607084E-006  -0.180271072E+002
   0.50374999693847400E-006  -0.179863796E+002
   0.50499999693087716E-006  -0.180795059E+002
   0.50624999692328032E-006  -0.181755695E+002
   0.50749999691568348E-006  -0.181507530E+002
   0.50874999690808664E-006  -0.179982262E+002
   0.50999999690048980E-006  -0.178233261E+002
   0.51124999689289297E-006  -0.177353096E+002
   0.51249999688529613E-006  -0.177459831E+002
   0.51374999687769929E-006  -0.177723160E+002
   0.51499999687010245E-006  -0.177319012E+002
   0.51624999686250561E-006  -0.176282139E+002
   0.51749999685490877E-006  -0.175386906E+002
   0.51874999684731193E-006  -0.175228481E+002
   0.51999999683971510E-006  -0.175512123E+002
   0.52124999683211826E-006  -0.175331020E+002
   0.52249999682452142E-006  -0.174161701E+002
   0.52374999681692458E-006  -0.172521801E+002
   0.52499999680932774E-006  -0.171545525E+002
   0.52624999680173090E-006  -0.171846867E+002
   0.52749999679413406E-006  -0.172820435E+002
   0.52874999678653722E-006  -0.173143444E+002
   0.52999999677894039E-006  -0.172041073E+002
   0.53124999677134355E-006  -0.170071106E+002
   0.53249999676374671E-006  -0.168620872E+002
   0.53374999675614987E-006  -0.168582191E+002
   0.53499999674855303E-006  -0.169502220E+002
   0.53624999674095619E-006  -0.170046253E+002
   0.53749999673335935E-006  -0.169307194E+002
   0.53874999672576251E-006  -0.167662582E+002
   0.53999999671816568E-006  -0.166348000E+002
   0.54124999671056884E-006  -0.166203671E+002
   0.54249999670297200E-006  -0.166859894E+002
   0.54374999669537516E-006  -0.167157288E+002
   0.54499999668777832E-006  -0.166345158E+002
   0.54624999668018148E-006  -0.164832554E+002
   0.54749999667258464E-006  -0.163744926E+002
   0.54874999666498780E-006  -0.163760242E+002
   0.54999999665739097E-006  -0.164421482E+002
   0.55124999664979413E-006  -0.164619961E+002
   0.55249999664219729E-006  -0.163739624E+002
   0.55374999663460045E-006  -0.162280045E+002
   0.55499999662700361E-006  -0.161322765E+002
   0.55624999661940677E-006  -0.161404171E+002
   0.55749999661180993E-006  -0.161968536E+002
   0.55874999660421309E-006  -0.161965542E+002
   0.55999999659661626E-006  -0.160962315E+002
   0.56124999658901942E-006  -0.159604645E+002
   0.56249999658142258E-006  -0.158941660E+002
   0.56374999657382574E-006  -0.159314041E+002
   0.56499999656622890E-006  -0.159965458E+002
   0.56624999655863206E-006  -0.159794769E+002
   0.56749999655103522E-006  -0.158490486E+002
   0.56874999654343839E-006  -0.156887465E+002
   0.56999999653584155E-006  -0.156167688E+002
   0.57124999652824471E-006  -0.156694555E+002
   0.57249999652064787E-006  -0.157642002E+002
   0.57374999651305103E-006  -0.157786875E+002
   0.57499999650545419E-006  -0.156677933E+002
   0.57624999649785735E-006  -0.155035143E+002
   0.57749999649026051E-006  -0.154015064E+002
   0.57874999648266368E-006  -0.154102173E+002
   0.57999999647506684E-006  -0.154721441E+002
   0.58124999646747000E-006  -0.154901171E+002
   0.58249999645987316E-006  -0.154253197E+002
   0.58374999645227632E-006  -0.153267469E+002
   0.58499999644467948E-006  -0.152682343E+002
   0.58624999643708264E-006  -0.152660913E+002
   0.58749999642948580E-006  -0.152663012E+002
   0.58874999642188897E-006  -0.152116079E+002
   0.58999999641429213E-006  -0.151119938E+002
   0.59124999640669529E-006  -0.150393381E+002
   0.59249999639909845E-006  -0.150497522E+002
   0.59374999639150161E-006  -0.151162119E+002
   0.59499999638390477E-006  -0.151458273E+002
   0.59624999637630793E-006  -0.150689993E+002
   0.59749999636871109E-006  -0.149120474E+002
   0.59874999636111426E-006  -0.147787275E+002
   0.59999999635351742E-006  -0.147557564E+002
   0.60124999634592058E-006  -0.148328552E+002
   0.60249999633832374E-006  -0.149137239E+002
   0.60374999633072690E-006  -0.149055214E+002
   0.60499999632313006E-006  -0.147997112E+002
   0.60624999631553322E-006  -0.146696711E+002
   0.60749999630793639E-006  -0.145948124E+002
   0.60874999630033955E-006  -0.145903902E+002
   0.60999999629274271E-006  -0.146086464E+002
   0.61124999628514587E-006  -0.145993967E+002
   0.61249999627754903E-006  -0.145600605E+002
   0.61374999626995219E-006  -0.145247135E+002
   0.61499999626235535E-006  -0.145125980E+002
   0.61624999625475851E-006  -0.144995518E+002
   0.61749999624716168E-006  -0.144462500E+002
   0.61874999623956484E-006  -0.143507090E+002
   0.61999999623196800E-006  -0.142633133E+002
   0.62124999622437116E-006  -0.142422781E+002
   0.62249999621677432E-006  -0.142926245E+002
   0.62374999620917748E-006  -0.143525820E+002
   0.62499999620158064E-006  -0.143454161E+002
   0.62624999619398380E-006  -0.142489872E+002
   0.62749999618638697E-006  -0.141166153E+002
   0.62874999617879013E-006  -0.140295277E+002
   0.62999999617119329E-006  -0.140264235E+002
   0.63124999616359645E-006  -0.140752974E+002
   0.63249999615599961E-006  -0.141092701E+002
   0.63374999614840277E-006  -0.140870543E+002
   0.63499999614080593E-006  -0.140203190E+002
   0.63624999613320909E-006  -0.139492064E+002
   0.63749999612561226E-006  -0.138995638E+002
   0.63874999611801542E-006  -0.138671455E+002
   0.63999999611041858E-006  -0.138377514E+002
   0.64124999610282174E-006  -0.138119078E+002
   0.64249999609522490E-006  -0.138025465E+002
   0.64374999608762806E-006  -0.138104744E+002
   0.64499999608003122E-006  -0.138110228E+002
   0.64624999607243439E-006  -0.137729826E+002
   0.64749999606483755E-006  -0.136926594E+002
   0.64874999605724071E-006  -0.136055088E+002
   0.64999999604964387E-006  -0.135589466E+002
   0.65124999604204703E-006  -0.135700960E+002
   0.65249999603445019E-006  -0.136090517E+002
   0.65374999602685335E-006  -0.136241283E+002
   0.65499999601925651E-006  -0.135854359E+002
   0.65624999601165968E-006  -0.135069714E+002
   0.65749999600406284E-006  -0.134298029E+002
   0.65874999599646600E-006  -0.133858528E+002
   0.65999999598886916E-006  -0.133765764E+002
   0.66124999598127232E-006  -0.133814440E+002
   0.66249999597367548E-006  -0.133806782E+002
   0.66374999596607864E-006  -0.133671722E+002
   0.66499999595848180E-006  -0.133407021E+002
   0.66624999595088497E-006  -0.132994156E+002
   0.66749999594328813E-006  -0.132433176E+002
   0.66874999593569129E-006  -0.131845036E+002
   0.66999999592809445E-006  -0.131459999E+002
   0.67124999592049761E-006  -0.131430626E+002
   0.67249999591290077E-006  -0.131642542E+002
   0.67374999590530393E-006  -0.131752491E+002
   0.67499999589770709E-006  -0.131465321E+002
   0.67624999589011026E-006  -0.130798750E+002
   0.67749999588251342E-006  -0.130073509E+002
   0.67874999587491658E-006  -0.129633026E+002
   0.67999999586731974E-006  -0.129561701E+002
   0.68124999585972290E-006  -0.129658689E+002
   0.68249999585212606E-006  -0.129657898E+002
   0.68374999584452922E-006  -0.129451714E+002
   0.68499999583693238E-006  -0.129110613E+002
   0.68624999582933555E-006  -0.128733072E+002
   0.68749999582173871E-006  -0.128334103E+002
   0.68874999581414187E-006  -0.127900658E+002
   0.68999999580654503E-006  -0.127513742E+002
   0.69124999579894819E-006  -0.127337036E+002
   0.69249999579135135E-006  -0.127432184E+002
   0.69374999578375451E-006  -0.127603292E+002
   0.69499999577615768E-006  -0.127498550E+002
   0.69624999576856084E-006  -0.126933126E+002
   0.69749999576096400E-006  -0.126118803E+002
   0.69874999575336716E-006  -0.125525589E+002
   0.69999999574577032E-006  -0.125462637E+002
   0.70124999573817348E-006  -0.125779152E+002
   0.70249999573057664E-006  -0.125995970E+002
   0.70374999572297980E-006  -0.125750999E+002
   0.70499999571538297E-006  -0.125119467E+002
   0.70624999570778613E-006  -0.124499187E+002
   0.70749999570018929E-006  -0.124199820E+002
   0.70874999569259245E-006  -0.124168768E+002
   0.70999999568499561E-006  -0.124118204E+002
   0.71124999567739877E-006  -0.123878222E+002
   0.71249999566980193E-006  -0.123569498E+002
   0.71374999566220509E-006  -0.123410759E+002
   0.71499999565460826E-006  -0.123401480E+002
   0.71624999564701142E-006  -0.123271523E+002
   0.71749999563941458E-006  -0.122789011E+002
   0.71874999563181774E-006  -0.122089701E+002
   0.71999999562422090E-006  -0.121623087E+002
   0.72124999561662406E-006  -0.121710272E+002
   0.72249999560902722E-006  -0.122159929E+002
   0.72374999560143038E-006  -0.122382421E+002
   0.72499999559383355E-006  -0.121941442E+002
   0.72624999558623671E-006  -0.121002045E+002
   0.72749999557863987E-006  -0.120201492E+002
   0.72874999557104303E-006  -0.120047398E+002
   0.72999999556344619E-006  -0.120439758E+002
   0.73124999555584935E-006  -0.120794582E+002
   0.73249999554825251E-006  -0.120630655E+002
   0.73374999554065568E-006  -0.120012903E+002
   0.73499999553305884E-006  -0.119415531E+002
   0.73624999552546200E-006  -0.119187946E+002
   0.73749999551786516E-006  -0.119211998E+002
   0.73874999551026832E-006  -0.119103813E+002
   0.73999999550267148E-006  -0.118704233E+002
   0.74124999549507464E-006  -0.118285379E+002
   0.74249999548747780E-006  -0.118225431E+002
   0.74374999547988097E-006  -0.118514261E+002
   0.74499999547228413E-006  -0.118672085E+002
   0.74624999546468729E-006  -0.118228092E+002
   0.74749999545709045E-006  -0.117272224E+002
   0.74874999544949361E-006  -0.116460276E+002
   0.74999999544189677E-006  -0.116402254E+002
   0.75124999543429993E-006  -0.117032814E+002
   0.75249999542670309E-006  -0.117626486E+002
   0.75374999541910626E-006  -0.117477818E+002
   0.75499999541150942E-006  -0.116575556E+002
   0.75624999540391258E-006  -0.115592852E+002
   0.75749999539631574E-006  -0.115212517E+002
   0.75874999538871890E-006  -0.115482903E+002
