t              pw-in-box.fdtd_before_Ex_3_3_1.dat       incid
   0.19720531874156677E-008  -0.185916579E-003   0.742426753E+000
   0.19874598529423526E-008  -0.178535454E-003   0.673987091E+000
   0.20028665184690375E-008  -0.165942984E-003   0.603606224E+000
   0.20182731839957224E-008  -0.148307809E-003   0.533285797E+000
   0.20336798495224073E-008  -0.126694853E-003   0.464804441E+000
   0.20490865150490922E-008  -0.101741898E-003   0.399654657E+000
   0.20644931805757771E-008  -0.744651479E-004   0.339002997E+000
   0.20798998461024620E-008  -0.463948818E-004   0.283678293E+000
   0.20953065116291469E-008  -0.183917145E-004   0.234181806E+000
   0.21107131771558318E-008   0.813817314E-005   0.190714717E+000
   0.21261198426825167E-008   0.322600390E-004   0.153221250E+000
   0.21415265082092017E-008   0.527266457E-004   0.121439107E+000
   0.21569331737358866E-008   0.689258304E-004   0.949515402E-001
   0.21723398392625715E-008   0.804480078E-004   0.732401162E-001
   0.21877465047892564E-008   0.876808117E-004   0.557315461E-001
   0.22031531703159413E-008   0.909765295E-004   0.418366529E-001
   0.22185598358426262E-008   0.907868598E-004   0.309824776E-001
   0.22339665013693111E-008   0.876427439E-004   0.226350129E-001
   0.22493731668959960E-008   0.822849397E-004   0.163135678E-001
   0.22647798324226809E-008   0.755527944E-004   0.115989950E-001
   0.22801864979493658E-008   0.679995792E-004   0.813574903E-002
   0.22955931634760507E-008   0.601682987E-004   0.562957767E-002
   0.23109998290027356E-008   0.525101132E-004   0.384292332E-002
   0.23264064945294205E-008   0.452702589E-004   0.258792378E-002
   0.23418131600561054E-008   0.385045059E-004   0.171927153E-002
   0.23572198255827903E-008   0.323554996E-004   0.112678274E-002
   0.23726264911094752E-008   0.269806606E-004   0.728521787E-003
   0.23880331566361601E-008   0.223855750E-004   0.464673503E-003
   0.24034398221628450E-008   0.184770379E-004   0.292385434E-003
   0.24188464876895299E-008   0.151582844E-004   0.181497526E-003
   0.24342531532162148E-008   0.123248174E-004   0.111144625E-003
   0.24496598187428997E-008   0.989527507E-005   0.671441812E-004
   0.24650664842695846E-008   0.786000055E-005   0.400162171E-004
   0.24804731497962695E-008   0.620544779E-005   0.235269799E-004
   0.24958798153229544E-008   0.486145109E-005   0.136457738E-004
   0.25112864808496393E-008   0.376479056E-005   0.780797654E-005
   0.25266931463763243E-008   0.288202637E-005   0.440738540E-005
   0.25420998119030092E-008   0.216476155E-005   0.245428532E-005
   0.25575064774296941E-008   0.157337945E-005   0.134827371E-005
   0.25729131429563790E-008   0.111380291E-005   0.730689692E-006
   0.25883198084830639E-008   0.789586181E-006   0.390651081E-006
   0.26037264740097488E-008   0.567541974E-006   0.206041534E-006
   0.26191331395364337E-008   0.409490383E-006   0.107206738E-006
   0.26345398050631186E-008   0.284993092E-006   0.550288100E-007
   0.26499464705898035E-008   0.171162242E-006   0.278656120E-007
   0.26653531361164884E-008   0.774154643E-007   0.139202907E-007
   0.26807598016431733E-008   0.286918294E-007   0.686006674E-008
   0.26961664671698582E-008   0.160795715E-007   0.333518213E-008
   0.27115731326965431E-008   0.119670727E-007   0.159960090E-008
   0.27269797982232280E-008   0.856096349E-008   0.756839258E-009
   0.27423864637499129E-008   0.372860853E-009   0.353270718E-009
   0.27577931292765978E-008  -0.236065407E-007   0.162671751E-009
   0.27731997948032827E-008  -0.487969878E-007   0.738951747E-010
   0.27886064603299676E-008  -0.495530408E-007   0.331156179E-010
   0.28040131258566525E-008  -0.308910373E-007   0.146402907E-010
   0.28194197913833374E-008  -0.143430796E-007   0.638506912E-011
   0.28348264569100223E-008  -0.988714710E-008   0.274723148E-011
   0.28502331224367072E-008  -0.216917044E-007   0.116606963E-011
   0.28656397879633921E-008  -0.430222222E-007   0.488261233E-012
   0.28810464534900770E-008  -0.510752400E-007   0.201694808E-012
   0.28964531190167619E-008  -0.390404438E-007   0.821932922E-013
   0.29118597845434468E-008  -0.244537794E-007   0.330427349E-013
   0.29272664500701318E-008  -0.151879220E-007   0.131048287E-013
   0.29426731155968167E-008  -0.113344285E-007   0.512719038E-014
   0.29580797811235016E-008  -0.241280222E-007   0.197895907E-014
   0.29734864466501865E-008  -0.477167248E-007   0.753537874E-015
   0.29888931121768714E-008  -0.520334034E-007   0.283055435E-015
   0.30042997777035563E-008  -0.328637526E-007   0.104890168E-015
   0.30197064432302412E-008  -0.161529528E-007   0.383456381E-016
   0.30351131087569261E-008  -0.123083481E-007   0.138291264E-016
   0.30505197742836110E-008  -0.185640410E-007   0.492005374E-017
   0.30659264398102959E-008  -0.363397916E-007   0.172688718E-017
   0.30813331053369808E-008  -0.501198016E-007   0.597936605E-018
   0.30967397708636657E-008  -0.408258352E-007   0.204240574E-018
   0.31121464363903506E-008  -0.248123921E-007   0.688243738E-019
   0.31275531019170355E-008  -0.217208367E-007   0.228798238E-019
   0.31429597674437204E-008  -0.190964720E-007   0.750328264E-020
   0.31583664329704053E-008  -0.169514784E-007   0.242756790E-020
   0.31737730984970902E-008  -0.356344216E-007   0.774795907E-021
   0.31891797640237751E-008  -0.557448061E-007   0.243948255E-021
   0.32045864295504600E-008  -0.422716724E-007   0.757758329E-022
   0.32199930950771449E-008  -0.165599729E-007   0.232198336E-022
   0.32353997606038298E-008  -0.142404977E-007   0.701909659E-023
   0.32508064261305147E-008  -0.228976305E-007   0.209327969E-023
   0.32662130916571996E-008  -0.286388797E-007   0.615840191E-024
   0.32816197571838845E-008  -0.419079846E-007   0.178731796E-024
   0.32970264227105694E-008  -0.486755489E-007   0.511753606E-025
   0.33124330882372544E-008  -0.308827559E-007   0.144548654E-025
   0.33278397537639393E-008  -0.159558056E-007   0.402772233E-026
   0.33432464192906242E-008  -0.229267467E-007   0.110721433E-026
   0.33586530848173091E-008  -0.264560622E-007   0.300259821E-027
   0.33740597503439940E-008  -0.250137049E-007   0.803256690E-028
   0.33894664158706789E-008  -0.419605470E-007   0.212001839E-028
   0.34048730813973638E-008  -0.531425748E-007   0.551972613E-029
   0.34202797469240487E-008  -0.291806330E-007   0.141770637E-029
   0.34356864124507336E-008  -0.735779260E-008   0.359239984E-030
   0.34510930779774185E-008  -0.199921093E-007   0.897979060E-031
   0.34664997435041034E-008  -0.355881191E-007   0.221439611E-031
   0.34819064090307883E-008  -0.356068490E-007   0.538724616E-032
   0.34973130745574732E-008  -0.398616216E-007   0.129291366E-032
   0.35127197400841581E-008  -0.408250465E-007   0.306098683E-033
   0.35281264056108430E-008  -0.236359678E-007   0.714967233E-034
   0.35435330711375279E-008  -0.151135957E-007   0.164740812E-034
   0.35589397366642128E-008  -0.275760179E-007   0.374459379E-035
   0.35743464021908977E-008  -0.328109522E-007   0.844646752E-036
   0.35897530677175826E-008  -0.312617559E-007   0.187973046E-036
   0.36051597332442675E-008  -0.429228919E-007   0.405401251E-037
   0.36205663987709524E-008  -0.440675443E-007   0.000000000E+000
   0.36359730642976373E-008  -0.185421101E-007   0.000000000E+000
   0.36513797298243222E-008  -0.811452949E-008   0.000000000E+000
   0.36667863953510071E-008  -0.301234095E-007   0.000000000E+000
   0.36821930608776920E-008  -0.435730811E-007   0.000000000E+000
   0.36975997264043770E-008  -0.363381361E-007   0.000000000E+000
   0.37130063919310619E-008  -0.341257156E-007   0.000000000E+000
   0.37284130574577468E-008  -0.324277032E-007   0.000000000E+000
   0.37438197229844317E-008  -0.203153121E-007   0.000000000E+000
   0.37592263885111166E-008  -0.194455598E-007   0.000000000E+000
   0.37746330540378015E-008  -0.330274901E-007   0.000000000E+000
   0.37900397195644864E-008  -0.360915244E-007   0.000000000E+000
   0.38054463850911713E-008  -0.334254970E-007   0.000000000E+000
   0.38208530506178562E-008  -0.391344130E-007   0.000000000E+000
   0.38362597161445411E-008  -0.331640493E-007   0.000000000E+000
   0.38516663816712260E-008  -0.134354217E-007   0.000000000E+000
   0.38670730471979109E-008  -0.161346296E-007   0.000000000E+000
   0.38824797127245958E-008  -0.395760722E-007   0.000000000E+000
   0.38978863782512807E-008  -0.440740244E-007   0.000000000E+000
   0.39132930437779656E-008  -0.311761497E-007   0.000000000E+000
   0.39286997093046505E-008  -0.277707528E-007   0.000000000E+000
   0.39441063748313354E-008  -0.274013328E-007   0.000000000E+000
   0.39595130403580203E-008  -0.213746389E-007   0.000000000E+000
   0.39749197058847052E-008  -0.250198635E-007   0.000000000E+000
   0.39903263714113901E-008  -0.355974770E-007   0.000000000E+000
   0.40057330369380750E-008  -0.357175338E-007   0.000000000E+000
   0.40211397024647599E-008  -0.326148601E-007   0.000000000E+000
   0.40365463679914448E-008  -0.329708989E-007   0.000000000E+000
   0.40519530335181297E-008  -0.238892088E-007   0.000000000E+000
   0.40673596990448146E-008  -0.146083750E-007   0.000000000E+000
   0.40827663645714996E-008  -0.271663936E-007   0.000000000E+000
   0.40981730300981845E-008  -0.435695640E-007   0.000000000E+000
   0.41135796956248694E-008  -0.371743774E-007   0.000000000E+000
   0.41289863611515543E-008  -0.245736622E-007   0.000000000E+000
   0.41443930266782392E-008  -0.250442973E-007   0.000000000E+000
   0.41597996922049241E-008  -0.259788422E-007   0.000000000E+000
   0.41752063577316090E-008  -0.232921309E-007   0.000000000E+000
   0.41906130232582939E-008  -0.290097564E-007   0.000000000E+000
   0.42060196887849788E-008  -0.359775214E-007   0.000000000E+000
   0.42214263543116637E-008  -0.331708705E-007   0.000000000E+000
   0.42368330198383486E-008  -0.291530657E-007   0.000000000E+000
   0.42522396853650335E-008  -0.264569398E-007   0.000000000E+000
   0.42676463508917184E-008  -0.196553032E-007   0.000000000E+000
   0.42830530164184033E-008  -0.209072528E-007   0.000000000E+000
   0.42984596819450882E-008  -0.353609408E-007   0.000000000E+000
   0.43138663474717731E-008  -0.400234441E-007   0.000000000E+000
   0.43292730129984580E-008  -0.279358794E-007   0.000000000E+000
   0.43446796785251429E-008  -0.217066827E-007   0.000000000E+000
   0.43600863440518278E-008  -0.255273438E-007   0.000000000E+000
   0.43754930095785127E-008  -0.249846703E-007   0.000000000E+000
   0.43908996751051976E-008  -0.249148702E-007   0.000000000E+000
   0.44063063406318825E-008  -0.323739684E-007   0.000000000E+000
   0.44217130061585674E-008  -0.345956721E-007   0.000000000E+000
   0.44371196716852523E-008  -0.281734298E-007   0.000000000E+000
   0.44525263372119372E-008  -0.247820964E-007   0.000000000E+000
   0.44679330027386222E-008  -0.232098589E-007   0.000000000E+000
   0.44833396682653071E-008  -0.207685495E-007   0.000000000E+000
   0.44987463337919920E-008  -0.275392882E-007   0.000000000E+000
   0.45141529993186769E-008  -0.376609677E-007   0.000000000E+000
   0.45295596648453618E-008  -0.326843903E-007   0.000000000E+000
   0.45449663303720467E-008  -0.214085816E-007   0.000000000E+000
   0.45603729958987316E-008  -0.223662742E-007   0.000000000E+000
   0.45757796614254165E-008  -0.264498627E-007   0.000000000E+000
   0.45911863269521014E-008  -0.242651979E-007   0.000000000E+000
   0.46065929924787863E-008  -0.274450684E-007   0.000000000E+000
   0.46219996580054712E-008  -0.344530697E-007   0.000000000E+000
   0.46374063235321561E-008  -0.303738901E-007   0.000000000E+000
   0.46528129890588410E-008  -0.223527223E-007   0.000000000E+000
   0.46682196545855259E-008  -0.229511432E-007   0.000000000E+000
   0.46836263201122108E-008  -0.241956339E-007   0.000000000E+000
   0.46990329856388957E-008  -0.239054998E-007   0.000000000E+000
   0.47144396511655806E-008  -0.311594945E-007   0.000000000E+000
   0.47298463166922655E-008  -0.356251739E-007   0.000000000E+000
   0.47452529822189504E-008  -0.257382311E-007   0.000000000E+000
   0.47606596477456353E-008  -0.184819253E-007   0.000000000E+000
   0.47760663132723202E-008  -0.244937439E-007   0.000000000E+000
   0.47914729787990051E-008  -0.275636083E-007   0.000000000E+000
   0.48068796443256900E-008  -0.250311896E-007   0.000000000E+000
   0.48222863098523749E-008  -0.298128562E-007   0.000000000E+000
   0.48376929753790598E-008  -0.332621148E-007   0.000000000E+000
   0.48530996409057447E-008  -0.246216700E-007   0.000000000E+000
   0.48685063064324297E-008  -0.193192715E-007   0.000000000E+000
   0.48839129719591146E-008  -0.248092356E-007   0.000000000E+000
   0.48993196374857995E-008  -0.268369433E-007   0.000000000E+000
   0.49147263030124844E-008  -0.261876263E-007   0.000000000E+000
   0.49301329685391693E-008  -0.318826068E-007   0.000000000E+000
   0.49455396340658542E-008  -0.317044773E-007   0.000000000E+000
   0.49609462995925391E-008  -0.207131272E-007   0.000000000E+000
   0.49763529651192240E-008  -0.187037639E-007   0.000000000E+000
   0.49917596306459089E-008  -0.277234342E-007   0.000000000E+000
   0.50071662961725938E-008  -0.290846973E-007   0.000000000E+000
   0.50225729616992787E-008  -0.260837663E-007   0.000000000E+000
   0.50379796272259636E-008  -0.301001997E-007   0.000000000E+000
   0.50533862927526485E-008  -0.296016527E-007   0.000000000E+000
   0.50687929582793334E-008  -0.205928021E-007   0.000000000E+000
   0.50841996238060183E-008  -0.205164650E-007   0.000000000E+000
   0.50996062893327032E-008  -0.283999366E-007   0.000000000E+000
   0.51150129548593881E-008  -0.285236084E-007   0.000000000E+000
   0.51304196203860730E-008  -0.269241127E-007   0.000000000E+000
   0.51458262859127579E-008  -0.309346149E-007   0.000000000E+000
   0.51612329514394428E-008  -0.275275767E-007   0.000000000E+000
   0.51766396169661277E-008  -0.182801898E-007   0.000000000E+000
   0.51920462824928126E-008  -0.218387068E-007   0.000000000E+000
   0.52074529480194975E-008  -0.315230615E-007   0.000000000E+000
   0.52228596135461824E-008  -0.297338882E-007   0.000000000E+000
   0.52382662790728673E-008  -0.256866688E-007   0.000000000E+000
   0.52536729445995523E-008  -0.286382118E-007   0.000000000E+000
   0.52690796101262372E-008  -0.264259459E-007   0.000000000E+000
   0.52844862756529221E-008  -0.200580725E-007   0.000000000E+000
   0.52998929411796070E-008  -0.241716123E-007   0.000000000E+000
   0.53152996067062919E-008  -0.311745580E-007   0.000000000E+000
   0.53307062722329768E-008  -0.286662143E-007   0.000000000E+000
   0.53461129377596617E-008  -0.267256066E-007   0.000000000E+000
   0.53615196032863466E-008  -0.291628730E-007   0.000000000E+000
   0.53769262688130315E-008  -0.243228264E-007   0.000000000E+000
   0.53923329343397164E-008  -0.191119476E-007   0.000000000E+000
   0.54077395998664013E-008  -0.268550941E-007   0.000000000E+000
   0.54231462653930862E-008  -0.339432802E-007   0.000000000E+000
   0.54385529309197711E-008  -0.283017378E-007   0.000000000E+000
   0.54539595964464560E-008  -0.243575400E-007   0.000000000E+000
   0.54693662619731409E-008  -0.275186434E-007   0.000000000E+000
   0.54847729274998258E-008  -0.253813095E-007   0.000000000E+000
   0.55001795930265107E-008  -0.220491430E-007   0.000000000E+000
   0.55155862585531956E-008  -0.278598336E-007   0.000000000E+000
   0.55309929240798805E-008  -0.321681561E-007   0.000000000E+000
   0.55463995896065654E-008  -0.278863617E-007   0.000000000E+000
   0.55618062551332503E-008  -0.262165649E-007   0.000000000E+000
   0.55772129206599352E-008  -0.273439671E-007   0.000000000E+000
   0.55926195861866201E-008  -0.231524222E-007   0.000000000E+000
   0.56080262517133050E-008  -0.228125234E-007   0.000000000E+000
   0.56234329172399899E-008  -0.315224220E-007   0.000000000E+000
   0.56388395827666749E-008  -0.333983294E-007   0.000000000E+000
   0.56542462482933598E-008  -0.255362682E-007   0.000000000E+000
   0.56696529138200447E-008  -0.240754563E-007   0.000000000E+000
   0.56850595793467296E-008  -0.279369345E-007   0.000000000E+000
   0.57004662448734145E-008  -0.257798760E-007   0.000000000E+000
   0.57158729104000994E-008  -0.246963641E-007   0.000000000E+000
   0.57312795759267843E-008  -0.305349133E-007   0.000000000E+000
   0.57466862414534692E-008  -0.318004076E-007   0.000000000E+000
   0.57620929069801541E-008  -0.267392775E-007   0.000000000E+000
   0.57774995725068390E-008  -0.257647308E-007   0.000000000E+000
   0.57929062380335239E-008  -0.264340922E-007   0.000000000E+000
   0.58083129035602088E-008  -0.243655194E-007   0.000000000E+000
   0.58237195690868937E-008  -0.275339929E-007   0.000000000E+000
   0.58391262346135786E-008  -0.337208661E-007   0.000000000E+000
   0.58545329001402635E-008  -0.303773682E-007   0.000000000E+000
   0.58699395656669484E-008  -0.236117366E-007   0.000000000E+000
   0.58853462311936333E-008  -0.258410573E-007   0.000000000E+000
   0.59007528967203182E-008  -0.291057862E-007   0.000000000E+000
   0.59161595622470031E-008  -0.262947850E-007   0.000000000E+000
   0.59315662277736880E-008  -0.272064025E-007   0.000000000E+000
   0.59469728933003729E-008  -0.322876446E-007   0.000000000E+000
   0.59623795588270578E-008  -0.305176435E-007   0.000000000E+000
   0.59777862243537427E-008  -0.254886885E-007   0.000000000E+000
   0.59931928898804276E-008  -0.259345647E-007   0.000000000E+000
   0.60085995554071125E-008  -0.271109570E-007   0.000000000E+000
   0.60240062209337975E-008  -0.270457807E-007   0.000000000E+000
   0.60394128864604824E-008  -0.310455555E-007   0.000000000E+000
   0.60548195519871673E-008  -0.330446959E-007   0.000000000E+000
   0.60702262175138522E-008  -0.270330212E-007   0.000000000E+000
   0.60856328830405371E-008  -0.239856082E-007   0.000000000E+000
   0.61010395485672220E-008  -0.287138775E-007   0.000000000E+000
   0.61164462140939069E-008  -0.296730001E-007   0.000000000E+000
   0.61318528796205918E-008  -0.266664824E-007   0.000000000E+000
   0.61472595451472767E-008  -0.297174267E-007   0.000000000E+000
   0.61626662106739616E-008  -0.330907071E-007   0.000000000E+000
   0.61780728762006465E-008  -0.284564496E-007   0.000000000E+000
   0.61934795417273314E-008  -0.246834073E-007   0.000000000E+000
   0.62088862072540163E-008  -0.273659886E-007   0.000000000E+000
   0.62242928727807012E-008  -0.290618640E-007   0.000000000E+000
   0.62396995383073861E-008  -0.295081612E-007   0.000000000E+000
   0.62551062038340710E-008  -0.322552722E-007   0.000000000E+000
   0.62705128693607559E-008  -0.308706340E-007   0.000000000E+000
   0.62859195348874408E-008  -0.253003254E-007   0.000000000E+000
   0.63013262004141257E-008  -0.262728186E-007   0.000000000E+000
   0.63167328659408106E-008  -0.310346948E-007   0.000000000E+000
   0.63321395314674955E-008  -0.293363609E-007   0.000000000E+000
   0.63475461969941804E-008  -0.275228231E-007   0.000000000E+000
   0.63629528625208653E-008  -0.320910125E-007   0.000000000E+000
   0.63783595280475502E-008  -0.325253460E-007   0.000000000E+000
   0.63937661935742351E-008  -0.260983501E-007   0.000000000E+000
   0.64091728591009200E-008  -0.252107384E-007   0.000000000E+000
   0.64245795246276050E-008  -0.300491010E-007   0.000000000E+000
   0.64399861901542899E-008  -0.310344710E-007   0.000000000E+000
   0.64553928556809748E-008  -0.305254879E-007   0.000000000E+000
   0.64707995212076597E-008  -0.316986934E-007   0.000000000E+000
   0.64862061867343446E-008  -0.289975279E-007   0.000000000E+000
   0.65016128522610295E-008  -0.256096566E-007   0.000000000E+000
   0.65170195177877144E-008  -0.290167268E-007   0.000000000E+000
   0.65324261833143993E-008  -0.319964961E-007   0.000000000E+000
   0.65478328488410842E-008  -0.288533073E-007   0.000000000E+000
   0.65632395143677691E-008  -0.291667543E-007   0.000000000E+000
   0.65786461798944540E-008  -0.335594059E-007   0.000000000E+000
   0.65940528454211389E-008  -0.305457704E-007   0.000000000E+000
   0.66094595109478238E-008  -0.245321381E-007   0.000000000E+000
   0.66248661764745087E-008  -0.275628409E-007   0.000000000E+000
   0.66402728420011936E-008  -0.330145085E-007   0.000000000E+000
   0.66556795075278785E-008  -0.317439159E-007   0.000000000E+000
   0.66710861730545634E-008  -0.300778140E-007   0.000000000E+000
   0.66864928385812483E-008  -0.307482111E-007   0.000000000E+000
   0.67018995041079332E-008  -0.283840365E-007   0.000000000E+000
   0.67173061696346181E-008  -0.271244556E-007   0.000000000E+000
   0.67327128351613030E-008  -0.310383079E-007   0.000000000E+000
   0.67481195006879879E-008  -0.319687103E-007   0.000000000E+000
   0.67635261662146728E-008  -0.290075217E-007   0.000000000E+000
