t              WireAirBox.fdtd_Point probe A_Ey_50_50_25.dat       incid
   0.13557865663482715E-008   0.000000000E+000   0.000000000E+000
   0.13865998974016414E-008   0.000000000E+000   0.000000000E+000
   0.14174132284550112E-008   0.000000000E+000   0.000000000E+000
   0.14482265595083810E-008   0.000000000E+000   0.000000000E+000
   0.14790398905617508E-008   0.000000000E+000   0.000000000E+000
   0.15098532216151206E-008   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-008   0.000000000E+000   0.000000000E+000
   0.15714798837218602E-008   0.000000000E+000   0.000000000E+000
   0.16022932147752300E-008   0.000000000E+000   0.000000000E+000
   0.16331065458285998E-008   0.000000000E+000   0.000000000E+000
   0.16639198768819696E-008   0.000000000E+000   0.000000000E+000
   0.16947332079353394E-008   0.000000000E+000   0.000000000E+000
   0.17255465389887092E-008   0.000000000E+000   0.000000000E+000
   0.17563598700420791E-008   0.000000000E+000   0.000000000E+000
   0.17871732010954489E-008   0.000000000E+000   0.000000000E+000
   0.18179865321488187E-008   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-008  -0.541364976E-035   0.000000000E+000
   0.18796131942555583E-008  -0.126117010E-033   0.000000000E+000
   0.19104265253089281E-008  -0.201674129E-032   0.000000000E+000
   0.19412398563622979E-008  -0.256289713E-031   0.000000000E+000
   0.19720531874156677E-008  -0.271055315E-030   0.000000000E+000
   0.20028665184690375E-008  -0.245436656E-029   0.000000000E+000
   0.20336798495224073E-008  -0.194225641E-028   0.000000000E+000
   0.20644931805757771E-008  -0.136452835E-027   0.000000000E+000
   0.20953065116291469E-008  -0.861702272E-027   0.000000000E+000
   0.21261198426825167E-008  -0.494086272E-026   0.000000000E+000
   0.21569331737358866E-008  -0.259385478E-025   0.000000000E+000
   0.21877465047892564E-008  -0.125560476E-024   0.000000000E+000
   0.22185598358426262E-008  -0.563850116E-024   0.000000000E+000
   0.22493731668959960E-008  -0.236148510E-023   0.000000000E+000
   0.22801864979493658E-008  -0.926755842E-023   0.000000000E+000
   0.23109998290027356E-008  -0.342253047E-022   0.000000000E+000
   0.23418131600561054E-008  -0.119402226E-021   0.000000000E+000
   0.23726264911094752E-008  -0.394923813E-021   0.000000000E+000
   0.24034398221628450E-008  -0.124250899E-020   0.000000000E+000
   0.24342531532162148E-008  -0.373024327E-020   0.000000000E+000
   0.24650664842695846E-008  -0.107182203E-019   0.000000000E+000
   0.24958798153229544E-008  -0.295592023E-019   0.000000000E+000
   0.25266931463763243E-008  -0.784565818E-019   0.000000000E+000
   0.25575064774296941E-008  -0.200937797E-018   0.000000000E+000
   0.25883198084830639E-008  -0.497810528E-018   0.000000000E+000
   0.26191331395364337E-008  -0.119578511E-017   0.000000000E+000
   0.26499464705898035E-008  -0.279113838E-017   0.000000000E+000
   0.26807598016431733E-008  -0.634353479E-017   0.000000000E+000
   0.27115731326965431E-008  -0.140639928E-016   0.000000000E+000
   0.27423864637499129E-008  -0.303647680E-016   0.000000000E+000
   0.27731997948032827E-008  -0.641733734E-016   0.000000000E+000
   0.28040131258566525E-008   0.540933487E-011   0.000000000E+000
   0.28348264569100223E-008   0.115230471E-009   0.000000000E+000
   0.28656397879633921E-008   0.225569910E-009   0.000000000E+000
   0.28964531190167619E-008   0.227470404E-009   0.000000000E+000
   0.29272664500701318E-008  -0.480234463E-010   0.000000000E+000
   0.29580797811235016E-008  -0.373452186E-009   0.000000000E+000
   0.29888931121768714E-008   0.185343768E-009   0.000000000E+000
   0.30197064432302412E-008   0.131985967E-008   0.000000000E+000
   0.30505197742836110E-008   0.122929078E-008   0.000000000E+000
   0.30813331053369808E-008  -0.446151449E-009   0.000000000E+000
   0.31121464363903506E-008  -0.151215529E-008   0.000000000E+000
   0.31429597674437204E-008  -0.299432923E-009   0.000000000E+000
   0.31737730984970902E-008   0.178249215E-008   0.000000000E+000
   0.32045864295504600E-008   0.198270333E-008   0.000000000E+000
   0.32353997606038298E-008  -0.367772923E-009   0.000000000E+000
   0.32662130916571996E-008  -0.293477243E-008   0.000000000E+000
   0.32970264227105694E-008  -0.289489988E-008   0.000000000E+000
   0.33278397537639393E-008  -0.181519244E-009   0.000000000E+000
   0.33586530848173091E-008   0.226667463E-008   0.000000000E+000
   0.33894664158706789E-008   0.200457428E-008   0.000000000E+000
   0.34202797469240487E-008  -0.254154475E-010   0.000000000E+000
   0.34510930779774185E-008  -0.989501814E-009   0.000000000E+000
   0.34819064090307883E-008   0.198192573E-009   0.000000000E+000
   0.35127197400841581E-008   0.182537563E-008   0.000000000E+000
   0.35435330711375279E-008   0.139850553E-008   0.000000000E+000
   0.35743464021908977E-008  -0.170384062E-008   0.000000000E+000
   0.36051597332442675E-008  -0.473092676E-008   0.000000000E+000
   0.36359730642976373E-008  -0.333019634E-008   0.000000000E+000
   0.36667863953510071E-008   0.298436453E-008   0.000000000E+000
   0.36975997264043770E-008   0.793017119E-008   0.000000000E+000
   0.37284130574577468E-008   0.510884401E-008   0.000000000E+000
   0.37592263885111166E-008  -0.271192313E-008   0.000000000E+000
   0.37900397195644864E-008  -0.654959553E-008   0.000000000E+000
   0.38208530506178562E-008  -0.353636276E-008   0.000000000E+000
   0.38516663816712260E-008   0.576850123E-009   0.000000000E+000
   0.38824797127245958E-008   0.189333016E-008   0.000000000E+000
   0.39132930437779656E-008   0.262462785E-008   0.000000000E+000
   0.39441063748313354E-008   0.364241348E-008   0.000000000E+000
   0.39749197058847052E-008   0.243845677E-008   0.000000000E+000
   0.40057330369380750E-008  -0.467365258E-009   0.000000000E+000
   0.40365463679914448E-008  -0.257719934E-008   0.000000000E+000
   0.40673596990448146E-008  -0.539432543E-008   0.000000000E+000
   0.40981730300981845E-008  -0.879767104E-008   0.000000000E+000
   0.41289863611515543E-008  -0.625804830E-008   0.000000000E+000
   0.41597996922049241E-008   0.150600155E-008   0.000000000E+000
   0.41906130232582939E-008  -0.245306220E-009   0.000000000E+000
   0.42214263543116637E-008  -0.171518391E-007   0.000000000E+000
   0.42522396853650335E-008  -0.323682414E-007   0.000000000E+000
   0.42830530164184033E-008  -0.356630885E-007   0.000000000E+000
   0.43138663474717731E-008  -0.451067166E-007   0.000000000E+000
   0.43446796785251429E-008  -0.770465363E-007   0.000000000E+000
   0.43754930095785127E-008  -0.118618956E-006   0.000000000E+000
   0.44063063406318825E-008  -0.156426694E-006   0.000000000E+000
   0.44371196716852523E-008  -0.206879832E-006   0.000000000E+000
   0.44679330027386222E-008  -0.288672197E-006   0.000000000E+000
   0.44987463337919920E-008  -0.386814435E-006   0.000000000E+000
   0.45295596648453618E-008  -0.473972904E-006   0.000000000E+000
   0.45603729958987316E-008  -0.551275946E-006   0.000000000E+000
   0.45911863269521014E-008  -0.637335688E-006   0.000000000E+000
   0.46219996580054712E-008  -0.720461287E-006   0.000000000E+000
   0.46528129890588410E-008  -0.749733942E-006   0.000000000E+000
   0.46836263201122108E-008  -0.686731937E-006   0.000000000E+000
   0.47144396511655806E-008  -0.544626346E-006   0.000000000E+000
   0.47452529822189504E-008  -0.345897803E-006   0.000000000E+000
   0.47760663132723202E-008  -0.595747451E-007   0.000000000E+000
   0.48068796443256900E-008   0.362885373E-006   0.000000000E+000
   0.48376929753790598E-008   0.893033416E-006   0.000000000E+000
   0.48685063064324297E-008   0.143936927E-005   0.000000000E+000
   0.48993196374857995E-008   0.195703842E-005   0.000000000E+000
   0.49301329685391693E-008   0.244716102E-005   0.000000000E+000
   0.49609462995925391E-008   0.283055851E-005   0.000000000E+000
   0.49917596306459089E-008   0.293680796E-005   0.000000000E+000
   0.50225729616992787E-008   0.266736242E-005   0.000000000E+000
   0.50533862927526485E-008   0.208951906E-005   0.000000000E+000
   0.50841996238060183E-008   0.135051755E-005   0.000000000E+000
   0.51150129548593881E-008   0.582685345E-006   0.000000000E+000
   0.51458262859127579E-008  -0.120613663E-006   0.000000000E+000
   0.51766396169661277E-008  -0.763063042E-006   0.000000000E+000
   0.52074529480194975E-008  -0.149457571E-005   0.000000000E+000
   0.52382662790728673E-008  -0.246497257E-005   0.000000000E+000
   0.52690796101262372E-008  -0.353889641E-005   0.000000000E+000
   0.52998929411796070E-008  -0.419389835E-005   0.000000000E+000
   0.53307062722329768E-008  -0.380111828E-005   0.000000000E+000
   0.53615196032863466E-008  -0.216410581E-005   0.000000000E+000
   0.53923329343397164E-008   0.565319169E-007   0.000000000E+000
   0.54231462653930862E-008   0.149806158E-005   0.000000000E+000
   0.54539595964464560E-008   0.101391504E-005   0.000000000E+000
   0.54847729274998258E-008  -0.118794435E-005   0.000000000E+000
   0.55155862585531956E-008  -0.325698647E-005   0.000000000E+000
   0.55463995896065654E-008  -0.288441493E-005   0.000000000E+000
   0.55772129206599352E-008   0.669280325E-006   0.000000000E+000
   0.56080262517133050E-008   0.534641413E-005   0.000000000E+000
   0.56388395827666749E-008   0.730837201E-005   0.000000000E+000
   0.56696529138200447E-008   0.400318186E-005   0.000000000E+000
   0.57004662448734145E-008  -0.301872615E-005   0.000000000E+000
   0.57312795759267843E-008  -0.842079316E-005   0.000000000E+000
   0.57620929069801541E-008  -0.713562622E-005   0.000000000E+000
   0.57929062380335239E-008   0.875823389E-006   0.000000000E+000
   0.58237195690868937E-008   0.960554735E-005   0.000000000E+000
   0.58545329001402635E-008   0.113758060E-004   0.000000000E+000
   0.58853462311936333E-008   0.347404966E-005   0.000000000E+000
   0.59161595622470031E-008  -0.857080067E-005   0.000000000E+000
   0.59469728933003729E-008  -0.145498507E-004   0.000000000E+000
   0.59777862243537427E-008  -0.809388166E-005   0.000000000E+000
   0.60085995554071125E-008   0.659180751E-005   0.000000000E+000
   0.60394128864604824E-008   0.167295220E-004   0.000000000E+000
   0.60702262175138522E-008   0.120509321E-004   0.000000000E+000
   0.61010395485672220E-008  -0.435589027E-005   0.000000000E+000
   0.61318528796205918E-008  -0.173714288E-004   0.000000000E+000
   0.61626662106739616E-008  -0.143040234E-004   0.000000000E+000
   0.61934795417273314E-008   0.191602521E-005   0.000000000E+000
   0.62242928727807012E-008   0.157635131E-004   0.000000000E+000
   0.62551062038340710E-008   0.151008362E-004   0.000000000E+000
   0.62859195348874408E-008   0.188333615E-005   0.000000000E+000
   0.63167328659408106E-008  -0.122671572E-004   0.000000000E+000
   0.63475461969941804E-008  -0.166609825E-004   0.000000000E+000
   0.63783595280475502E-008  -0.742793964E-005   0.000000000E+000
   0.64091728591009200E-008   0.100369325E-004   0.000000000E+000
   0.64399861901542899E-008   0.208585916E-004   0.000000000E+000
   0.64707995212076597E-008   0.112536773E-004   0.000000000E+000
   0.65016128522610295E-008  -0.126485675E-004   0.000000000E+000
   0.65324261833143993E-008  -0.243859013E-004   0.000000000E+000
   0.65632395143677691E-008  -0.797148823E-005   0.000000000E+000
   0.65940528454211389E-008   0.172486689E-004   0.000000000E+000
   0.66248661764745087E-008   0.196600740E-004   0.000000000E+000
   0.66556795075278785E-008  -0.639434802E-006   0.000000000E+000
   0.66864928385812483E-008  -0.137089792E-004   0.000000000E+000
   0.67173061696346181E-008  -0.634816115E-005   0.000000000E+000
   0.67481195006879879E-008   0.195580196E-005   0.000000000E+000
   0.67789328317413577E-008  -0.159645833E-005   0.000000000E+000
   0.68097461627947276E-008  -0.943141629E-006   0.000000000E+000
   0.68405594938480974E-008   0.120595296E-004   0.000000000E+000
   0.68713728249014672E-008   0.130755616E-004   0.000000000E+000
   0.69021861559548370E-008  -0.109474367E-004   0.000000000E+000
   0.69329994870082068E-008  -0.259383305E-004   0.000000000E+000
   0.69638128180615766E-008  -0.199088390E-005   0.000000000E+000
   0.69946261491149464E-008   0.278354564E-004   0.000000000E+000
   0.70254394801683162E-008   0.150340675E-004   0.000000000E+000
   0.70562528112216860E-008  -0.202102237E-004   0.000000000E+000
   0.70870661422750558E-008  -0.193374235E-004   0.000000000E+000
   0.71178794733284256E-008   0.132942641E-004   0.000000000E+000
   0.71486928043817954E-008   0.178357041E-004   0.000000000E+000
   0.71795061354351652E-008  -0.127157837E-004   0.000000000E+000
   0.72103194664885351E-008  -0.190522969E-004   0.000000000E+000
   0.72411327975419049E-008   0.139863932E-004   0.000000000E+000
   0.72719461285952747E-008   0.255764644E-004   0.000000000E+000
   0.73027594596486445E-008  -0.986174928E-005   0.000000000E+000
   0.73335727907020143E-008  -0.314008503E-004   0.000000000E+000
   0.73643861217553841E-008   0.126190571E-006   0.000000000E+000
   0.73951994528087539E-008   0.302034896E-004   0.000000000E+000
   0.74260127838621237E-008   0.832775368E-005   0.000000000E+000
   0.74568261149154935E-008  -0.232766015E-004   0.000000000E+000
   0.74876394459688633E-008  -0.101678388E-004   0.000000000E+000
   0.75184527770222331E-008   0.175507412E-004   0.000000000E+000
   0.75492661080756029E-008   0.776077741E-005   0.000000000E+000
   0.75800794391289728E-008  -0.169266968E-004   0.000000000E+000
   0.76108927701823426E-008  -0.751927291E-005   0.000000000E+000
   0.76417061012357124E-008   0.179701037E-004   0.000000000E+000
   0.76725194322890822E-008   0.116611845E-004   0.000000000E+000
   0.77033327633424520E-008  -0.148147519E-004   0.000000000E+000
   0.77341460943958218E-008  -0.156329661E-004   0.000000000E+000
   0.77649594254491916E-008   0.675905540E-005   0.000000000E+000
   0.77957727565025614E-008   0.139913627E-004   0.000000000E+000
   0.78265860875559312E-008   0.854835889E-006   0.000000000E+000
   0.78573994186093010E-008  -0.705530147E-005   0.000000000E+000
   0.78882127496626708E-008  -0.307629261E-005   0.000000000E+000
   0.79190260807160406E-008   0.276686023E-006   0.000000000E+000
   0.79498394117694104E-008   0.814549765E-006   0.000000000E+000
   0.79806527428227803E-008   0.226585485E-005   0.000000000E+000
   0.80114660738761501E-008   0.976782985E-006   0.000000000E+000
   0.80422794049295199E-008  -0.208808547E-005   0.000000000E+000
   0.80730927359828897E-008   0.402377964E-006   0.000000000E+000
   0.81039060670362595E-008   0.343328520E-005   0.000000000E+000
   0.81347193980896293E-008  -0.260065008E-005   0.000000000E+000
   0.81655327291429991E-008  -0.750737718E-005   0.000000000E+000
   0.81963460601963689E-008   0.194349423E-005   0.000000000E+000
   0.82271593912497387E-008   0.111948157E-004   0.000000000E+000
   0.82579727223031085E-008   0.165126130E-005   0.000000000E+000
   0.82887860533564783E-008  -0.112823618E-004   0.000000000E+000
   0.83195993844098481E-008  -0.468981898E-005   0.000000000E+000
   0.83504127154632179E-008   0.847289812E-005   0.000000000E+000
   0.83812260465165878E-008   0.459776811E-005   0.000000000E+000
   0.84120393775699576E-008  -0.620047877E-005   0.000000000E+000
   0.84428527086233274E-008  -0.268285476E-005   0.000000000E+000
   0.84736660396766972E-008   0.620260289E-005   0.000000000E+000
   0.85044793707300670E-008   0.201961484E-005   0.000000000E+000
   0.85352927017834368E-008  -0.667142467E-005   0.000000000E+000
   0.85661060328368066E-008  -0.336906260E-005   0.000000000E+000
   0.85969193638901764E-008   0.508860148E-005   0.000000000E+000
   0.86277326949435462E-008   0.452448376E-005   0.000000000E+000
   0.86585460259969160E-008  -0.162775405E-005   0.000000000E+000
   0.86893593570502858E-008  -0.355013344E-005   0.000000000E+000
   0.87201726881036556E-008  -0.133391131E-005   0.000000000E+000
   0.87509860191570255E-008   0.127290468E-005   0.000000000E+000
   0.87817993502103953E-008   0.255429973E-005   0.000000000E+000
   0.88126126812637651E-008   0.239367409E-006   0.000000000E+000
   0.88434260123171349E-008  -0.333596154E-005   0.000000000E+000
   0.88742393433705047E-008  -0.849742491E-006   0.000000000E+000
   0.89050526744238745E-008   0.504929994E-005   0.000000000E+000
   0.89358660054772443E-008   0.249628238E-005   0.000000000E+000
   0.89666793365306141E-008  -0.633606805E-005   0.000000000E+000
   0.89974926675839839E-008  -0.571066539E-005   0.000000000E+000
   0.90283059986373537E-008   0.455435111E-005   0.000000000E+000
   0.90591193296907235E-008   0.754518169E-005   0.000000000E+000
   0.90899326607440933E-008  -0.145892955E-006   0.000000000E+000
   0.91207459917974631E-008  -0.476709374E-005   0.000000000E+000
   0.91515593228508330E-008  -0.229482544E-005   0.000000000E+000
   0.91823726539042028E-008  -0.106658433E-005   0.000000000E+000
   0.92131859849575726E-008  -0.100745990E-005   0.000000000E+000
   0.92439993160109424E-008   0.368832843E-005   0.000000000E+000
   0.92748126470643122E-008   0.730671036E-005   0.000000000E+000
   0.93056259781176820E-008   0.104837090E-005   0.000000000E+000
   0.93364393091710518E-008  -0.875585738E-005   0.000000000E+000
   0.93672526402244216E-008  -0.899132101E-005   0.000000000E+000
   0.93980659712777914E-008   0.114716477E-005   0.000000000E+000
   0.94288793023311612E-008   0.107484857E-004   0.000000000E+000
   0.94596926333845310E-008   0.983406881E-005   0.000000000E+000
   0.94905059644379008E-008  -0.208230267E-005   0.000000000E+000
   0.95213192954912707E-008  -0.133322510E-004   0.000000000E+000
   0.95521326265446405E-008  -0.998553514E-005   0.000000000E+000
   0.95829459575980103E-008   0.516900855E-005   0.000000000E+000
   0.96137592886513801E-008   0.135995388E-004   0.000000000E+000
   0.96445726197047499E-008   0.651077244E-005   0.000000000E+000
   0.96753859507581197E-008  -0.504659693E-005   0.000000000E+000
   0.97061992818114895E-008  -0.940042810E-005   0.000000000E+000
   0.97370126128648593E-008  -0.654502128E-005   0.000000000E+000
   0.97678259439182291E-008   0.541205281E-006   0.000000000E+000
   0.97986392749715989E-008   0.889456896E-005   0.000000000E+000
   0.98294526060249687E-008   0.102873328E-004   0.000000000E+000
   0.98602659370783385E-008   0.241361704E-007   0.000000000E+000
   0.98910792681317083E-008  -0.114152263E-004   0.000000000E+000
   0.99218925991850782E-008  -0.101325131E-004   0.000000000E+000
   0.99527059302384480E-008   0.195960001E-005   0.000000000E+000
   0.99835192612918178E-008   0.108177164E-004   0.000000000E+000
   0.10014332592345188E-007   0.803477724E-005   0.000000000E+000
   0.10045145923398557E-007  -0.223783536E-005   0.000000000E+000
   0.10075959254451927E-007  -0.929547787E-005   0.000000000E+000
   0.10106772585505297E-007  -0.616409761E-005   0.000000000E+000
   0.10137585916558667E-007   0.277590698E-005   0.000000000E+000
   0.10168399247612037E-007   0.684949646E-005   0.000000000E+000
   0.10199212578665406E-007   0.321101379E-005   0.000000000E+000
   0.10230025909718776E-007  -0.140637530E-005   0.000000000E+000
   0.10260839240772146E-007  -0.295632663E-005   0.000000000E+000
   0.10291652571825516E-007  -0.317042191E-005   0.000000000E+000
   0.10322465902878886E-007  -0.164524567E-005   0.000000000E+000
   0.10353279233932255E-007   0.275582784E-005   0.000000000E+000
   0.10384092564985625E-007   0.510151494E-005   0.000000000E+000
   0.10414905896038995E-007   0.916277713E-006   0.000000000E+000
   0.10445719227092365E-007  -0.455046802E-005   0.000000000E+000
   0.10476532558145735E-007  -0.384285795E-005   0.000000000E+000
   0.10507345889199105E-007   0.127709745E-005   0.000000000E+000
   0.10538159220252474E-007   0.392749371E-005   0.000000000E+000
   0.10568972551305844E-007   0.192673429E-005   0.000000000E+000
   0.10599785882359214E-007  -0.169612849E-005   0.000000000E+000
   0.10630599213412584E-007  -0.316959881E-005   0.000000000E+000
   0.10661412544465954E-007  -0.104592164E-005   0.000000000E+000
   0.10692225875519323E-007   0.207140192E-005   0.000000000E+000
   0.10723039206572693E-007   0.233997980E-005   0.000000000E+000
   0.10753852537626063E-007   0.217838078E-006   0.000000000E+000
   0.10784665868679433E-007  -0.109907455E-005   0.000000000E+000
   0.10815479199732803E-007  -0.142947908E-005   0.000000000E+000
   0.10846292530786172E-007  -0.169062162E-005   0.000000000E+000
   0.10877105861839542E-007  -0.191148501E-007   0.000000000E+000
   0.10907919192892912E-007   0.330775174E-005   0.000000000E+000
   0.10938732523946282E-007   0.308589824E-005   0.000000000E+000
   0.10969545854999652E-007  -0.190869014E-005   0.000000000E+000
   0.11000359186053021E-007  -0.480508197E-005   0.000000000E+000
   0.11031172517106391E-007  -0.134941320E-005   0.000000000E+000
   0.11061985848159761E-007   0.338365408E-005   0.000000000E+000
   0.11092799179213131E-007   0.348165645E-005   0.000000000E+000
   0.11123612510266501E-007  -0.650329639E-007   0.000000000E+000
   0.11154425841319870E-007  -0.280291101E-005   0.000000000E+000
   0.11185239172373240E-007  -0.232889670E-005   0.000000000E+000
   0.11216052503426610E-007   0.388430863E-006   0.000000000E+000
   0.11246865834479980E-007   0.219760068E-005   0.000000000E+000
   0.11277679165533350E-007   0.133324079E-005   0.000000000E+000
   0.11308492496586720E-007  -0.291147899E-006   0.000000000E+000
   0.11339305827640089E-007  -0.806189121E-006   0.000000000E+000
   0.11370119158693459E-007  -0.124946621E-005   0.000000000E+000
   0.11400932489746829E-007  -0.152747543E-005   0.000000000E+000
   0.11431745820800199E-007   0.653189318E-006   0.000000000E+000
   0.11462559151853569E-007   0.358138595E-005   0.000000000E+000
   0.11493372482906938E-007   0.206249433E-005   0.000000000E+000
   0.11524185813960308E-007  -0.305679623E-005   0.000000000E+000
   0.11554999145013678E-007  -0.456798671E-005   0.000000000E+000
   0.11585812476067048E-007  -0.162441665E-006   0.000000000E+000
   0.11616625807120418E-007   0.424370819E-005   0.000000000E+000
   0.11647439138173787E-007   0.355937345E-005   0.000000000E+000
   0.11678252469227157E-007  -0.687814918E-006   0.000000000E+000
   0.11709065800280527E-007  -0.370793373E-005   0.000000000E+000
   0.11739879131333897E-007  -0.261089576E-005   0.000000000E+000
   0.11770692462387267E-007   0.103911339E-005   0.000000000E+000
   0.11801505793440636E-007   0.295159134E-005   0.000000000E+000
   0.11832319124494006E-007   0.163674838E-005   0.000000000E+000
   0.11863132455547376E-007  -0.138415885E-006   0.000000000E+000
   0.11893945786600746E-007  -0.809910546E-006   0.000000000E+000
   0.11924759117654116E-007  -0.173202830E-005   0.000000000E+000
   0.11955572448707485E-007  -0.214566876E-005   0.000000000E+000
   0.11986385779760855E-007   0.405838364E-006   0.000000000E+000
   0.12017199110814225E-007   0.364410198E-005   0.000000000E+000
   0.12048012441867595E-007   0.242361511E-005   0.000000000E+000
   0.12078825772920965E-007  -0.246611762E-005   0.000000000E+000
   0.12109639103974335E-007  -0.471215299E-005   0.000000000E+000
   0.12140452435027704E-007  -0.166283803E-005   0.000000000E+000
   0.12171265766081074E-007   0.264471851E-005   0.000000000E+000
   0.12202079097134444E-007   0.328093984E-005   0.000000000E+000
   0.12232892428187814E-007  -0.896857273E-007   0.000000000E+000
   0.12263705759241184E-007  -0.320171171E-005   0.000000000E+000
   0.12294519090294553E-007  -0.226578027E-005   0.000000000E+000
   0.12325332421347923E-007   0.101412343E-005   0.000000000E+000
   0.12356145752401293E-007   0.213416342E-005   0.000000000E+000
   0.12386959083454663E-007   0.865399898E-006   0.000000000E+000
   0.12417772414508033E-007   0.388475655E-006   0.000000000E+000
   0.12448585745561402E-007   0.610326197E-006   0.000000000E+000
   0.12479399076614772E-007  -0.667231916E-006   0.000000000E+000
   0.12510212407668142E-007  -0.172811144E-005   0.000000000E+000
   0.12541025738721512E-007   0.302640160E-006   0.000000000E+000
   0.12571839069774882E-007   0.298073928E-005   0.000000000E+000
   0.12602652400828251E-007   0.196972951E-005   0.000000000E+000
   0.12633465731881621E-007  -0.157490376E-005   0.000000000E+000
   0.12664279062934991E-007  -0.291663628E-005   0.000000000E+000
   0.12695092393988361E-007  -0.727322913E-006   0.000000000E+000
   0.12725905725041731E-007   0.188131094E-005   0.000000000E+000
   0.12756719056095100E-007   0.179727795E-005   0.000000000E+000
   0.12787532387148470E-007  -0.565152050E-006   0.000000000E+000
   0.12818345718201840E-007  -0.196073756E-005   0.000000000E+000
   0.12849159049255210E-007  -0.714285989E-006   0.000000000E+000
   0.12879972380308580E-007   0.897486643E-006   0.000000000E+000
   0.12910785711361950E-007   0.641617135E-006   0.000000000E+000
   0.12941599042415319E-007  -0.974661702E-007   0.000000000E+000
   0.12972412373468689E-007   0.165608185E-006   0.000000000E+000
   0.13003225704522059E-007  -0.162666112E-007   0.000000000E+000
   0.13034039035575429E-007  -0.113714282E-005   0.000000000E+000
   0.13064852366628799E-007  -0.800887619E-006   0.000000000E+000
   0.13095665697682168E-007   0.128614556E-005   0.000000000E+000
   0.13126479028735538E-007   0.181928317E-005   0.000000000E+000
   0.13157292359788908E-007  -0.317862714E-006   0.000000000E+000
   0.13188105690842278E-007  -0.201921284E-005   0.000000000E+000
   0.13218919021895648E-007  -0.108746667E-005   0.000000000E+000
   0.13249732352949017E-007   0.970127076E-006   0.000000000E+000
   0.13280545684002387E-007   0.175486525E-005   0.000000000E+000
   0.13311359015055757E-007   0.645144837E-006   0.000000000E+000
   0.13342172346109127E-007  -0.107774702E-005   0.000000000E+000
   0.13372985677162497E-007  -0.152208963E-005   0.000000000E+000
   0.13403799008215866E-007  -0.322292408E-006   0.000000000E+000
   0.13434612339269236E-007   0.908832135E-006   0.000000000E+000
   0.13465425670322606E-007   0.103635841E-005   0.000000000E+000
   0.13496239001375976E-007   0.555506801E-006   0.000000000E+000
   0.13527052332429346E-007  -0.187258252E-006   0.000000000E+000
   0.13557865663482715E-007  -0.123360917E-005   0.000000000E+000
   0.13588678994536085E-007  -0.145602701E-005   0.000000000E+000
