t              AirBox.fdtd_Point probe C_Hz_75_50_13.dat       incid
   0.13557865663482715E-008   0.000000000E+000   0.000000000E+000
   0.13865998974016414E-008   0.000000000E+000   0.000000000E+000
   0.14174132284550112E-008   0.000000000E+000   0.000000000E+000
   0.14482265595083810E-008   0.000000000E+000   0.000000000E+000
   0.14790398905617508E-008   0.000000000E+000   0.000000000E+000
   0.15098532216151206E-008   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-008   0.000000000E+000   0.000000000E+000
   0.15714798837218602E-008   0.000000000E+000   0.000000000E+000
   0.16022932147752300E-008   0.000000000E+000   0.000000000E+000
   0.16331065458285998E-008   0.000000000E+000   0.000000000E+000
   0.16639198768819696E-008   0.000000000E+000   0.000000000E+000
   0.16947332079353394E-008   0.000000000E+000   0.000000000E+000
   0.17255465389887092E-008   0.000000000E+000   0.000000000E+000
   0.17563598700420791E-008   0.000000000E+000   0.000000000E+000
   0.17871732010954489E-008   0.000000000E+000   0.000000000E+000
   0.18179865321488187E-008   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-008  -0.173827613E-037   0.000000000E+000
   0.18796131942555583E-008  -0.524862337E-037   0.000000000E+000
   0.19104265253089281E-008  -0.142157492E-036   0.000000000E+000
   0.19412398563622979E-008  -0.453133109E-036   0.000000000E+000
   0.19720531874156677E-008  -0.139797929E-035   0.000000000E+000
   0.20028665184690375E-008  -0.373698221E-035   0.000000000E+000
   0.20336798495224073E-008  -0.852245745E-035   0.000000000E+000
   0.20644931805757771E-008  -0.166825607E-034   0.000000000E+000
   0.20953065116291469E-008  -0.291858860E-034   0.000000000E+000
   0.21261198426825167E-008  -0.495624406E-034   0.000000000E+000
   0.21569331737358866E-008  -0.867043715E-034   0.000000000E+000
   0.21877465047892564E-008  -0.152703868E-033   0.000000000E+000
   0.22185598358426262E-008  -0.266528053E-033   0.000000000E+000
   0.22493731668959960E-008  -0.497624825E-033   0.000000000E+000
   0.22801864979493658E-008  -0.104262712E-032   0.000000000E+000
   0.23109998290027356E-008   0.814119957E-013   0.000000000E+000
   0.23418131600561054E-008   0.159900928E-012   0.000000000E+000
   0.23726264911094752E-008   0.140419753E-012   0.000000000E+000
   0.24034398221628450E-008   0.136547891E-012   0.000000000E+000
   0.24342531532162148E-008   0.380115752E-012   0.000000000E+000
   0.24650664842695846E-008   0.770840314E-012   0.000000000E+000
   0.24958798153229544E-008   0.110052484E-011   0.000000000E+000
   0.25266931463763243E-008   0.102028401E-011   0.000000000E+000
   0.25575064774296941E-008   0.552332702E-013   0.000000000E+000
   0.25883198084830639E-008  -0.178849307E-011   0.000000000E+000
   0.26191331395364337E-008  -0.506901118E-011   0.000000000E+000
   0.26499464705898035E-008  -0.105160169E-010   0.000000000E+000
   0.26807598016431733E-008  -0.180798154E-010   0.000000000E+000
   0.27115731326965431E-008  -0.288756258E-010   0.000000000E+000
   0.27423864637499129E-008  -0.478518336E-010   0.000000000E+000
   0.27731997948032827E-008  -0.825810947E-010   0.000000000E+000
   0.28040131258566525E-008  -0.142232670E-009   0.000000000E+000
   0.28348264569100223E-008  -0.239604669E-009   0.000000000E+000
   0.28656397879633921E-008  -0.394537875E-009   0.000000000E+000
   0.28964531190167619E-008  -0.632068009E-009   0.000000000E+000
   0.29272664500701318E-008  -0.986170257E-009   0.000000000E+000
   0.29580797811235016E-008  -0.151131008E-008   0.000000000E+000
   0.29888931121768714E-008  -0.228794583E-008   0.000000000E+000
   0.30197064432302412E-008  -0.342013617E-008   0.000000000E+000
   0.30505197742836110E-008  -0.503665465E-008   0.000000000E+000
   0.30813331053369808E-008  -0.728803062E-008   0.000000000E+000
   0.31121464363903506E-008  -0.103341495E-007   0.000000000E+000
   0.31429597674437204E-008  -0.143414356E-007   0.000000000E+000
   0.31737730984970902E-008  -0.194932994E-007   0.000000000E+000
   0.32045864295504600E-008  -0.259637041E-007   0.000000000E+000
   0.32353997606038298E-008  -0.338402231E-007   0.000000000E+000
   0.32662130916571996E-008  -0.430676153E-007   0.000000000E+000
   0.32970264227105694E-008  -0.534274065E-007   0.000000000E+000
   0.33278397537639393E-008  -0.644744418E-007   0.000000000E+000
   0.33586530848173091E-008  -0.754395444E-007   0.000000000E+000
   0.33894664158706789E-008  -0.852131379E-007   0.000000000E+000
   0.34202797469240487E-008  -0.923926748E-007   0.000000000E+000
   0.34510930779774185E-008  -0.952708703E-007   0.000000000E+000
   0.34819064090307883E-008  -0.918443277E-007   0.000000000E+000
   0.35127197400841581E-008  -0.800446784E-007   0.000000000E+000
   0.35435330711375279E-008  -0.581178838E-007   0.000000000E+000
   0.35743464021908977E-008  -0.249145877E-007   0.000000000E+000
   0.36051597332442675E-008   0.198714574E-007   0.000000000E+000
   0.36359730642976373E-008   0.753542722E-007   0.000000000E+000
   0.36667863953510071E-008   0.139123841E-006   0.000000000E+000
   0.36975997264043770E-008   0.207144893E-006   0.000000000E+000
   0.37284130574577468E-008   0.273842829E-006   0.000000000E+000
   0.37592263885111166E-008   0.332376857E-006   0.000000000E+000
   0.37900397195644864E-008   0.375320639E-006   0.000000000E+000
   0.38208530506178562E-008   0.395683628E-006   0.000000000E+000
   0.38516663816712260E-008   0.387851856E-006   0.000000000E+000
   0.38824797127245958E-008   0.348406076E-006   0.000000000E+000
   0.39132930437779656E-008   0.277087253E-006   0.000000000E+000
   0.39441063748313354E-008   0.177581768E-006   0.000000000E+000
   0.39749197058847052E-008   0.574248702E-007   0.000000000E+000
   0.40057330369380750E-008  -0.728789189E-007   0.000000000E+000
   0.40365463679914448E-008  -0.200875704E-006   0.000000000E+000
   0.40673596990448146E-008  -0.313402097E-006   0.000000000E+000
   0.40981730300981845E-008  -0.398492148E-006   0.000000000E+000
   0.41289863611515543E-008  -0.447435866E-006   0.000000000E+000
   0.41597996922049241E-008  -0.456009047E-006   0.000000000E+000
   0.41906130232582939E-008  -0.424837793E-006   0.000000000E+000
   0.42214263543116637E-008  -0.359387087E-006   0.000000000E+000
   0.42522396853650335E-008  -0.269387556E-006   0.000000000E+000
   0.42830530164184033E-008  -0.167302389E-006   0.000000000E+000
   0.43138663474717731E-008  -0.662313582E-007   0.000000000E+000
   0.43446796785251429E-008   0.220760654E-007   0.000000000E+000
   0.43754930095785127E-008   0.889249208E-007   0.000000000E+000
   0.44063063406318825E-008   0.129970672E-006   0.000000000E+000
   0.44371196716852523E-008   0.145644009E-006   0.000000000E+000
   0.44679330027386222E-008   0.140463740E-006   0.000000000E+000
   0.44987463337919920E-008   0.121499582E-006   0.000000000E+000
   0.45295596648453618E-008   0.963999867E-007   0.000000000E+000
   0.45603729958987316E-008   0.714821056E-007   0.000000000E+000
   0.45911863269521014E-008   0.505037150E-007   0.000000000E+000
   0.46219996580054712E-008   0.344473854E-007   0.000000000E+000
   0.46528129890588410E-008   0.222509158E-007   0.000000000E+000
   0.46836263201122108E-008   0.122637704E-007   0.000000000E+000
   0.47144396511655806E-008   0.381512066E-008   0.000000000E+000
   0.47452529822189504E-008  -0.218030571E-008   0.000000000E+000
   0.47760663132723202E-008  -0.406136813E-008   0.000000000E+000
   0.48068796443256900E-008  -0.949370360E-009   0.000000000E+000
   0.48376929753790598E-008   0.605825745E-008   0.000000000E+000
   0.48685063064324297E-008   0.136048914E-007   0.000000000E+000
   0.48993196374857995E-008   0.172467747E-007   0.000000000E+000
   0.49301329685391693E-008   0.140407170E-007   0.000000000E+000
   0.49609462995925391E-008   0.475983786E-008   0.000000000E+000
   0.49917596306459089E-008  -0.638481179E-008   0.000000000E+000
   0.50225729616992787E-008  -0.141635406E-007   0.000000000E+000
   0.50533862927526485E-008  -0.146462824E-007   0.000000000E+000
   0.50841996238060183E-008  -0.653385612E-008   0.000000000E+000
   0.51150129548593881E-008   0.771690445E-008   0.000000000E+000
   0.51458262859127579E-008   0.213646416E-007   0.000000000E+000
   0.51766396169661277E-008   0.256084807E-007   0.000000000E+000
   0.52074529480194975E-008   0.152338089E-007   0.000000000E+000
   0.52382662790728673E-008  -0.582328497E-008   0.000000000E+000
   0.52690796101262372E-008  -0.247785454E-007   0.000000000E+000
   0.52998929411796070E-008  -0.283837398E-007   0.000000000E+000
   0.53307062722329768E-008  -0.135871234E-007   0.000000000E+000
   0.53615196032863466E-008   0.958704849E-008   0.000000000E+000
   0.53923329343397164E-008   0.263936286E-007   0.000000000E+000
   0.54231462653930862E-008   0.285544299E-007   0.000000000E+000
   0.54539595964464560E-008   0.173736865E-007   0.000000000E+000
   0.54847729274998258E-008  -0.136412659E-008   0.000000000E+000
   0.55155862585531956E-008  -0.212967173E-007   0.000000000E+000
   0.55463995896065654E-008  -0.337534800E-007   0.000000000E+000
   0.55772129206599352E-008  -0.278432317E-007   0.000000000E+000
   0.56080262517133050E-008   0.181106685E-009   0.000000000E+000
   0.56388395827666749E-008   0.357411132E-007   0.000000000E+000
   0.56696529138200447E-008   0.505168778E-007   0.000000000E+000
   0.57004662448734145E-008   0.271245160E-007   0.000000000E+000
   0.57312795759267843E-008  -0.186521927E-007   0.000000000E+000
   0.57620929069801541E-008  -0.472599666E-007   0.000000000E+000
   0.57929062380335239E-008  -0.339773472E-007   0.000000000E+000
   0.58237195690868937E-008   0.449607640E-008   0.000000000E+000
   0.58545329001402635E-008   0.296076212E-007   0.000000000E+000
   0.58853462311936333E-008   0.256421853E-007   0.000000000E+000
   0.59161595622470031E-008   0.134470151E-007   0.000000000E+000
   0.59469728933003729E-008   0.154718816E-007   0.000000000E+000
   0.59777862243537427E-008   0.206772519E-007   0.000000000E+000
   0.60085995554071125E-008   0.438438619E-009   0.000000000E+000
   0.60394128864604824E-008  -0.428230820E-007   0.000000000E+000
   0.60702262175138522E-008  -0.620076790E-007   0.000000000E+000
   0.61010395485672220E-008  -0.159354840E-007   0.000000000E+000
   0.61318528796205918E-008   0.691071449E-007   0.000000000E+000
   0.61626662106739616E-008   0.107249328E-006   0.000000000E+000
   0.61934795417273314E-008   0.408116563E-007   0.000000000E+000
   0.62242928727807012E-008  -0.822028028E-007   0.000000000E+000
   0.62551062038340710E-008  -0.141815207E-006   0.000000000E+000
   0.62859195348874408E-008  -0.724709608E-007   0.000000000E+000
   0.63167328659408106E-008   0.585271849E-007   0.000000000E+000
   0.63475461969941804E-008   0.119228417E-006   0.000000000E+000
   0.63783595280475502E-008   0.533483657E-007   0.000000000E+000
   0.64091728591009200E-008  -0.660644091E-007   0.000000000E+000
   0.64399861901542899E-008  -0.119540104E-006   0.000000000E+000
   0.64707995212076597E-008  -0.612374436E-007   0.000000000E+000
   0.65016128522610295E-008   0.423224904E-007   0.000000000E+000
   0.65324261833143993E-008   0.828547684E-007   0.000000000E+000
   0.65632395143677691E-008   0.232597657E-007   0.000000000E+000
   0.65940528454211389E-008  -0.586034901E-007   0.000000000E+000
   0.66248661764745087E-008  -0.560076074E-007   0.000000000E+000
   0.66556795075278785E-008   0.350323930E-007   0.000000000E+000
   0.66864928385812483E-008   0.102404009E-006   0.000000000E+000
   0.67173061696346181E-008   0.529490762E-007   0.000000000E+000
   0.67481195006879879E-008  -0.691097171E-007   0.000000000E+000
   0.67789328317413577E-008  -0.126379391E-006   0.000000000E+000
   0.68097461627947276E-008  -0.395914839E-007   0.000000000E+000
   0.68405594938480974E-008   0.119208138E-006   0.000000000E+000
   0.68713728249014672E-008   0.183508519E-006   0.000000000E+000
   0.69021861559548370E-008   0.589767808E-007   0.000000000E+000
   0.69329994870082068E-008  -0.150230974E-006   0.000000000E+000
   0.69638128180615766E-008  -0.219815206E-006   0.000000000E+000
   0.69946261491149464E-008  -0.556406405E-007   0.000000000E+000
   0.70254394801683162E-008   0.173008729E-006   0.000000000E+000
   0.70562528112216860E-008   0.218216798E-006   0.000000000E+000
   0.70870661422750558E-008   0.423454622E-007   0.000000000E+000
   0.71178794733284256E-008  -0.155608049E-006   0.000000000E+000
   0.71486928043817954E-008  -0.183321816E-006   0.000000000E+000
   0.71795061354351652E-008  -0.436962182E-007   0.000000000E+000
   0.72103194664885351E-008   0.112783823E-006   0.000000000E+000
   0.72411327975419049E-008   0.149236769E-006   0.000000000E+000
   0.72719461285952747E-008   0.500970998E-007   0.000000000E+000
   0.73027594596486445E-008  -0.793932600E-007   0.000000000E+000
   0.73335727907020143E-008  -0.115058647E-006   0.000000000E+000
   0.73643861217553841E-008  -0.384828240E-007   0.000000000E+000
   0.73951994528087539E-008   0.537901457E-007   0.000000000E+000
   0.74260127838621237E-008   0.717741955E-007   0.000000000E+000
   0.74568261149154935E-008   0.219235794E-007   0.000000000E+000
   0.74876394459688633E-008  -0.323925811E-007   0.000000000E+000
   0.75184527770222331E-008  -0.452250219E-007   0.000000000E+000
   0.75492661080756029E-008  -0.918504739E-008   0.000000000E+000
   0.75800794391289728E-008   0.424777227E-007   0.000000000E+000
   0.76108927701823426E-008   0.459361829E-007   0.000000000E+000
   0.76417061012357124E-008  -0.229370372E-007   0.000000000E+000
   0.76725194322890822E-008  -0.865814584E-007   0.000000000E+000
   0.77033327633424520E-008  -0.445566108E-007   0.000000000E+000
   0.77341460943958218E-008   0.761900907E-007   0.000000000E+000
   0.77649594254491916E-008   0.127311466E-006   0.000000000E+000
   0.77957727565025614E-008   0.274714154E-007   0.000000000E+000
   0.78265860875559312E-008  -0.118517889E-006   0.000000000E+000
   0.78573994186093010E-008  -0.140629140E-006   0.000000000E+000
   0.78882127496626708E-008  -0.108155120E-007   0.000000000E+000
   0.79190260807160406E-008   0.126687539E-006   0.000000000E+000
   0.79498394117694104E-008   0.129875971E-006   0.000000000E+000
   0.79806527428227803E-008   0.130567841E-007   0.000000000E+000
   0.80114660738761501E-008  -0.961018500E-007   0.000000000E+000
   0.80422794049295199E-008  -0.109945631E-006   0.000000000E+000
   0.80730927359828897E-008  -0.443413626E-007   0.000000000E+000
   0.81039060670362595E-008   0.412654089E-007   0.000000000E+000
   0.81347193980896293E-008   0.991377362E-007   0.000000000E+000
   0.81655327291429991E-008   0.919256848E-007   0.000000000E+000
   0.81963460601963689E-008   0.775604292E-008   0.000000000E+000
   0.82271593912497387E-008  -0.975241221E-007   0.000000000E+000
   0.82579727223031085E-008  -0.124684888E-006   0.000000000E+000
   0.82887860533564783E-008  -0.358583137E-007   0.000000000E+000
   0.83195993844098481E-008   0.882242759E-007   0.000000000E+000
   0.83504127154632179E-008   0.126353541E-006   0.000000000E+000
   0.83812260465165878E-008   0.465217624E-007   0.000000000E+000
   0.84120393775699576E-008  -0.632330028E-007   0.000000000E+000
   0.84428527086233274E-008  -0.971761693E-007   0.000000000E+000
   0.84736660396766972E-008  -0.449193394E-007   0.000000000E+000
   0.85044793707300670E-008   0.190700149E-007   0.000000000E+000
   0.85352927017834368E-008   0.424491446E-007   0.000000000E+000
   0.85661060328368066E-008   0.432179554E-007   0.000000000E+000
   0.85969193638901764E-008   0.433906600E-007   0.000000000E+000
   0.86277326949435462E-008   0.166215592E-007   0.000000000E+000
   0.86585460259969160E-008  -0.524887973E-007   0.000000000E+000
   0.86893593570502858E-008  -0.101791130E-006   0.000000000E+000
   0.87201726881036556E-008  -0.538184359E-007   0.000000000E+000
   0.87509860191570255E-008   0.638722497E-007   0.000000000E+000
   0.87817993502103953E-008   0.126255941E-006   0.000000000E+000
   0.88126126812637651E-008   0.605619590E-007   0.000000000E+000
   0.88434260123171349E-008  -0.588477320E-007   0.000000000E+000
   0.88742393433705047E-008  -0.103657015E-006   0.000000000E+000
   0.89050526744238745E-008  -0.478288307E-007   0.000000000E+000
   0.89358660054772443E-008   0.233343407E-007   0.000000000E+000
   0.89666793365306141E-008   0.450581119E-007   0.000000000E+000
   0.89974926675839839E-008   0.405684162E-007   0.000000000E+000
   0.90283059986373537E-008   0.407147702E-007   0.000000000E+000
   0.90591193296907235E-008   0.158955551E-007   0.000000000E+000
   0.90899326607440933E-008  -0.548373471E-007   0.000000000E+000
   0.91207459917974631E-008  -0.104168024E-006   0.000000000E+000
   0.91515593228508330E-008  -0.487901310E-007   0.000000000E+000
   0.91823726539042028E-008   0.758471117E-007   0.000000000E+000
   0.92131859849575726E-008   0.132822052E-006   0.000000000E+000
   0.92439993160109424E-008   0.524176897E-007   0.000000000E+000
   0.92748126470643122E-008  -0.763112951E-007   0.000000000E+000
   0.93056259781176820E-008  -0.116857009E-006   0.000000000E+000
   0.93364393091710518E-008  -0.461686582E-007   0.000000000E+000
   0.93672526402244216E-008   0.429143654E-007   0.000000000E+000
   0.93980659712777914E-008   0.732314831E-007   0.000000000E+000
   0.94288793023311612E-008   0.528967696E-007   0.000000000E+000
   0.94596926333845310E-008   0.153184274E-007   0.000000000E+000
   0.94905059644379008E-008  -0.347523432E-007   0.000000000E+000
   0.95213192954912707E-008  -0.812361947E-007   0.000000000E+000
   0.95521326265446405E-008  -0.683935042E-007   0.000000000E+000
   0.95829459575980103E-008   0.236427766E-007   0.000000000E+000
   0.96137592886513801E-008   0.111578302E-006   0.000000000E+000
   0.96445726197047499E-008   0.895889940E-007   0.000000000E+000
   0.96753859507581197E-008  -0.293869817E-007   0.000000000E+000
   0.97061992818114895E-008  -0.116138168E-006   0.000000000E+000
   0.97370126128648593E-008  -0.806524625E-007   0.000000000E+000
   0.97678259439182291E-008   0.261466582E-007   0.000000000E+000
   0.97986392749715989E-008   0.890591565E-007   0.000000000E+000
   0.98294526060249687E-008   0.638111004E-007   0.000000000E+000
   0.98602659370783385E-008  -0.152970614E-008   0.000000000E+000
   0.98910792681317083E-008  -0.488027432E-007   0.000000000E+000
   0.99218925991850782E-008  -0.602544574E-007   0.000000000E+000
   0.99527059302384480E-008  -0.358541357E-007   0.000000000E+000
   0.99835192612918178E-008   0.205081285E-007   0.000000000E+000
   0.10014332592345188E-007   0.736285131E-007   0.000000000E+000
   0.10045145923398557E-007   0.648403216E-007   0.000000000E+000
   0.10075959254451927E-007  -0.146983226E-007   0.000000000E+000
   0.10106772585505297E-007  -0.874155504E-007   0.000000000E+000
   0.10137585916558667E-007  -0.697734066E-007   0.000000000E+000
   0.10168399247612037E-007   0.211006181E-007   0.000000000E+000
   0.10199212578665406E-007   0.829388043E-007   0.000000000E+000
   0.10230025909718776E-007   0.531430828E-007   0.000000000E+000
   0.10260839240772146E-007  -0.217926015E-007   0.000000000E+000
   0.10291652571825516E-007  -0.572925565E-007   0.000000000E+000
   0.10322465902878886E-007  -0.333636194E-007   0.000000000E+000
   0.10353279233932255E-007   0.597032113E-008   0.000000000E+000
   0.10384092564985625E-007   0.267343108E-007   0.000000000E+000
   0.10414905896038995E-007   0.307154373E-007   0.000000000E+000
   0.10445719227092365E-007   0.192347756E-007   0.000000000E+000
   0.10476532558145735E-007  -0.140546490E-007   0.000000000E+000
   0.10507345889199105E-007  -0.464280419E-007   0.000000000E+000
   0.10538159220252474E-007  -0.332191163E-007   0.000000000E+000
   0.10568972551305844E-007   0.246420306E-007   0.000000000E+000
   0.10599785882359214E-007   0.608663413E-007   0.000000000E+000
   0.10630599213412584E-007   0.253046082E-007   0.000000000E+000
   0.10661412544465954E-007  -0.422089030E-007   0.000000000E+000
   0.10692225875519323E-007  -0.586100519E-007   0.000000000E+000
   0.10723039206572693E-007  -0.564726577E-008   0.000000000E+000
   0.10753852537626063E-007   0.490948189E-007   0.000000000E+000
   0.10784665868679433E-007   0.427943867E-007   0.000000000E+000
   0.10815479199732803E-007  -0.732073246E-008   0.000000000E+000
   0.10846292530786172E-007  -0.387232113E-007   0.000000000E+000
   0.10877105861839542E-007  -0.267079976E-007   0.000000000E+000
   0.10907919192892912E-007   0.292528668E-009   0.000000000E+000
   0.10938732523946282E-007   0.161451403E-007   0.000000000E+000
   0.10969545854999652E-007   0.249856242E-007   0.000000000E+000
   0.11000359186053021E-007   0.267886620E-007   0.000000000E+000
   0.11031172517106391E-007   0.109611520E-008   0.000000000E+000
   0.11061985848159761E-007  -0.454465621E-007   0.000000000E+000
   0.11092799179213131E-007  -0.555086181E-007   0.000000000E+000
   0.11123612510266501E-007   0.499009545E-008   0.000000000E+000
   0.11154425841319870E-007   0.746948388E-007   0.000000000E+000
   0.11185239172373240E-007   0.615623321E-007   0.000000000E+000
   0.11216052503426610E-007  -0.266944014E-007   0.000000000E+000
   0.11246865834479980E-007  -0.835553777E-007   0.000000000E+000
   0.11277679165533350E-007  -0.454028566E-007   0.000000000E+000
   0.11308492496586720E-007   0.320589564E-007   0.000000000E+000
   0.11339305827640089E-007   0.625920791E-007   0.000000000E+000
   0.11370119158693459E-007   0.348351819E-007   0.000000000E+000
   0.11400932489746829E-007  -0.716197945E-008   0.000000000E+000
   0.11431745820800199E-007  -0.370169566E-007   0.000000000E+000
   0.11462559151853569E-007  -0.500774426E-007   0.000000000E+000
   0.11493372482906938E-007  -0.302805034E-007   0.000000000E+000
   0.11524185813960308E-007   0.279103496E-007   0.000000000E+000
   0.11554999145013678E-007   0.763213421E-007   0.000000000E+000
   0.11585812476067048E-007   0.498850028E-007   0.000000000E+000
   0.11616625807120418E-007  -0.406747134E-007   0.000000000E+000
   0.11647439138173787E-007  -0.989022197E-007   0.000000000E+000
   0.11678252469227157E-007  -0.547210277E-007   0.000000000E+000
   0.11709065800280527E-007   0.437806023E-007   0.000000000E+000
   0.11739879131333897E-007   0.880124489E-007   0.000000000E+000
   0.11770692462387267E-007   0.402666060E-007   0.000000000E+000
   0.11801505793440636E-007  -0.354024365E-007   0.000000000E+000
   0.11832319124494006E-007  -0.657818262E-007   0.000000000E+000
   0.11863132455547376E-007  -0.425498996E-007   0.000000000E+000
   0.11893945786600746E-007   0.295451841E-008   0.000000000E+000
   0.11924759117654116E-007   0.470713069E-007   0.000000000E+000
   0.11955572448707485E-007   0.693374318E-007   0.000000000E+000
   0.11986385779760855E-007   0.432863665E-007   0.000000000E+000
   0.12017199110814225E-007  -0.249030769E-007   0.000000000E+000
   0.12048012441867595E-007  -0.707501258E-007   0.000000000E+000
   0.12078825772920965E-007  -0.327983045E-007   0.000000000E+000
   0.12109639103974335E-007   0.606376886E-007   0.000000000E+000
   0.12140452435027704E-007   0.108187542E-006   0.000000000E+000
   0.12171265766081074E-007   0.540277441E-007   0.000000000E+000
   0.12202079097134444E-007  -0.428073150E-007   0.000000000E+000
   0.12232892428187814E-007  -0.823418063E-007   0.000000000E+000
   0.12263705759241184E-007  -0.419686010E-007   0.000000000E+000
   0.12294519090294553E-007   0.138784486E-007   0.000000000E+000
   0.12325332421347923E-007   0.272700369E-007   0.000000000E+000
   0.12356145752401293E-007   0.381164611E-008   0.000000000E+000
   0.12386959083454663E-007  -0.269363056E-007   0.000000000E+000
   0.12417772414508033E-007  -0.567381235E-007   0.000000000E+000
   0.12448585745561402E-007  -0.770054029E-007   0.000000000E+000
   0.12479399076614772E-007  -0.555027668E-007   0.000000000E+000
   0.12510212407668142E-007   0.163563882E-007   0.000000000E+000
   0.12541025738721512E-007   0.773437137E-007   0.000000000E+000
   0.12571839069774882E-007   0.567288154E-007   0.000000000E+000
   0.12602652400828251E-007  -0.219965273E-007   0.000000000E+000
   0.12633465731881621E-007  -0.566755709E-007   0.000000000E+000
   0.12664279062934991E-007  -0.568473268E-009   0.000000000E+000
   0.12695092393988361E-007   0.740242712E-007   0.000000000E+000
   0.12725905725041731E-007   0.772500002E-007   0.000000000E+000
   0.12756719056095100E-007   0.194752729E-007   0.000000000E+000
   0.12787532387148470E-007  -0.208950865E-007   0.000000000E+000
   0.12818345718201840E-007  -0.152806603E-007   0.000000000E+000
   0.12849159049255210E-007  -0.644614406E-008   0.000000000E+000
   0.12879972380308580E-007  -0.187821421E-007   0.000000000E+000
   0.12910785711361950E-007  -0.178738091E-007   0.000000000E+000
   0.12941599042415319E-007   0.153596886E-007   0.000000000E+000
   0.12972412373468689E-007   0.329857812E-007   0.000000000E+000
   0.13003225704522059E-007  -0.584148907E-008   0.000000000E+000
   0.13034039035575429E-007  -0.538808465E-007   0.000000000E+000
   0.13064852366628799E-007  -0.370009872E-007   0.000000000E+000
   0.13095665697682168E-007   0.277802101E-007   0.000000000E+000
   0.13126479028735538E-007   0.516601659E-007   0.000000000E+000
   0.13157292359788908E-007   0.785194132E-008   0.000000000E+000
   0.13188105690842278E-007  -0.322956666E-007   0.000000000E+000
   0.13218919021895648E-007  -0.148746668E-007   0.000000000E+000
   0.13249732352949017E-007   0.184841209E-007   0.000000000E+000
   0.13280545684002387E-007   0.872390693E-008   0.000000000E+000
   0.13311359015055757E-007  -0.231854624E-007   0.000000000E+000
   0.13342172346109127E-007  -0.170285155E-007   0.000000000E+000
   0.13372985677162497E-007   0.223204317E-007   0.000000000E+000
   0.13403799008215866E-007   0.312654720E-007   0.000000000E+000
   0.13434612339269236E-007  -0.745226458E-008   0.000000000E+000
   0.13465425670322606E-007  -0.352045078E-007   0.000000000E+000
   0.13496239001375976E-007  -0.122200650E-007   0.000000000E+000
   0.13527052332429346E-007   0.201580388E-007   0.000000000E+000
   0.13557865663482715E-007   0.113320970E-007   0.000000000E+000
   0.13588678994536085E-007  -0.157747024E-007   0.000000000E+000
