t              TwoCables.fdtd_Bulk probe_Jx_30_23_25__30_26_34.dat
   0.87819898163428445E-010   0.271058976E-031
   0.89360598131207891E-010   0.767576829E-031
   0.90901298098987338E-010   0.209967483E-030
   0.92441998066766784E-010   0.555893347E-030
   0.93982698034546230E-010   0.142697905E-029
   0.95523398002325677E-010   0.355757253E-029
   0.97064097970105123E-010   0.862727616E-029
   0.98604797937884570E-010   0.203800989E-028
   0.10014549790566402E-009   0.469610633E-028
   0.10168619787344346E-009   0.105685791E-027
   0.10322689784122291E-009   0.232570509E-027
   0.10476759780900236E-009   0.500990664E-027
   0.10630829777678180E-009   0.105752110E-026
   0.10784899774456125E-009   0.218952832E-026
   0.10938969771234069E-009   0.445045240E-026
   0.11093039768012014E-009   0.888823217E-026
   0.11247109764789959E-009   0.174552362E-025
   0.11401179761567903E-009   0.337329311E-025
   0.11555249758345848E-009   0.641948196E-025
   0.11709319755123793E-009   0.120376834E-024
   0.11863389751901737E-009   0.222559109E-024
   0.12017459748679682E-009   0.405931798E-024
   0.12171529745457627E-009   0.730796650E-024
   0.12325599742235571E-009   0.129924898E-023
   0.12479669739013516E-009   0.228214995E-023
   0.12633739735791460E-009   0.396225900E-023
   0.12787809732569405E-009   0.680250536E-023
   0.12941879729347350E-009   0.115529169E-022
   0.13095949726125294E-009   0.194165127E-022
   0.13250019722903239E-009   0.323041759E-022
   0.13404089719681184E-009   0.532226593E-022
   0.13558159716459128E-009   0.868600291E-022
   0.13712229713237073E-009   0.140461367E-021
   0.13866299710015018E-009   0.225127448E-021
   0.14020369706792962E-009   0.357725398E-021
   0.14174439703570907E-009   0.563676988E-021
   0.14328509700348852E-009   0.880996022E-021
   0.14482579697126796E-009   0.136609201E-020
   0.14636649693904741E-009   0.210204931E-020
   0.14790719690682685E-009   0.321035339E-020
   0.14944789687460630E-009   0.486738720E-020
   0.15098859684238575E-009   0.732748333E-020
   0.15252929681016519E-009   0.109548997E-019
   0.15406999677794464E-009   0.162679252E-019
   0.15561069674572409E-009   0.239993142E-019
   0.15715139671350353E-009   0.351785503E-019
   0.15869209668128298E-009   0.512432186E-019
   0.16023279664906243E-009   0.741888533E-019
   0.16177349661684187E-009   0.106769339E-018
   0.16331419658462132E-009   0.152763483E-018
   0.16485489655240076E-009   0.217327773E-018
   0.16639559652018021E-009   0.307460216E-018
   0.16793629648795966E-009   0.432607499E-018
   0.16947699645573910E-009   0.605455108E-018
   0.17101769642351855E-009   0.842950914E-018
   0.17255839639129800E-009   0.116762489E-017
   0.17409909635907744E-009   0.160927916E-017
   0.17563979632685689E-009   0.220714680E-017
   0.17718049629463634E-009   0.301263274E-017
   0.17872119626241578E-009   0.409278090E-017
   0.18026189623019523E-009   0.553462536E-017
   0.18180259619797468E-009   0.745066559E-017
   0.18334329616575412E-009   0.998565818E-017
   0.18488399613353357E-009   0.133250856E-016
   0.18642469610131301E-009   0.177056058E-016
   0.18796539606909246E-009   0.234278973E-016
   0.18950609603687191E-009   0.308724484E-016
   0.19104679600465135E-009   0.405187640E-016
   0.19258749597243080E-009   0.529688182E-016
   0.19412819594021025E-009   0.689753024E-016
   0.19566889590798969E-009   0.894758158E-016
   0.19720959587576914E-009   0.115633788E-015
   0.19875029584354859E-009   0.148887574E-015
   0.20029099581132803E-009   0.191008987E-015
   0.20183169577910748E-009   0.244172335E-015
   0.20337239574688692E-009   0.311036639E-015
   0.20491309571466637E-009   0.394842211E-015
   0.20645379568244582E-009   0.499523546E-015
   0.20799449565022526E-009   0.629842159E-015
   0.20953519561800471E-009   0.791540060E-015
   0.21107589558578416E-009   0.991518980E-015
   0.21261659555356360E-009   0.123804580E-014
   0.21415729552134305E-009   0.154099169E-014
   0.21569799548912250E-009   0.191210297E-014
   0.21723869545690194E-009   0.236531325E-014
   0.21877939542468139E-009   0.291709613E-014
   0.22032009539246084E-009   0.358686816E-014
   0.22186079536024028E-009   0.439743973E-014
   0.22340149532801973E-009   0.537552773E-014
   0.22494219529579917E-009   0.655232120E-014
   0.22648289526357862E-009   0.796412395E-014
   0.22802359523135807E-009   0.965306021E-014
   0.22956429519913751E-009   0.116678568E-013
   0.23110499516691696E-009   0.140647085E-013
   0.23264569513469641E-009   0.169082294E-013
   0.23418639510247585E-009   0.202724935E-013
   0.23572709507025530E-009   0.242421592E-013
   0.23726779503803475E-009   0.289136933E-013
   0.23880849500581419E-009   0.343967171E-013
   0.24034919497359364E-009   0.408153837E-013
   0.24188989494137308E-009   0.483099888E-013
   0.24343059490915253E-009   0.570385007E-013
   0.24497129487693198E-009   0.671783389E-013
   0.24651199484471142E-009   0.789282173E-013
   0.24805269481249087E-009   0.925099908E-013
   0.24959339478027032E-009   0.108170776E-012
   0.25113409474804976E-009   0.126184938E-012
   0.25267479471582921E-009   0.146856363E-012
   0.25421549468360866E-009   0.170520675E-012
   0.25575619465138810E-009   0.197547423E-012
   0.25729689461916755E-009   0.228342790E-012
   0.25883759458694700E-009   0.263351651E-012
   0.26037829455472644E-009   0.303060149E-012
   0.26191899452250589E-009   0.347998431E-012
   0.26345969449028533E-009   0.398743023E-012
   0.26500039445806478E-009   0.455919157E-012
   0.26654109442584423E-009   0.520203726E-012
   0.26808179439362367E-009   0.592327728E-012
   0.26962249436140312E-009   0.673078943E-012
   0.27116319432918257E-009   0.763304350E-012
   0.27270389429696201E-009   0.863913108E-012
   0.27424459426474146E-009   0.975879317E-012
   0.27578529423252091E-009   0.110024435E-011
   0.27732599420030035E-009   0.123812050E-011
   0.27886669416807980E-009   0.139069322E-011
   0.28040739413585924E-009   0.155922475E-011
   0.28194809410363869E-009   0.174505701E-011
   0.28348879407141814E-009   0.194961560E-011
   0.28502949403919758E-009   0.217441278E-011
   0.28657019400697703E-009   0.242105251E-011
   0.28811089397475648E-009   0.269123482E-011
   0.28965159394253592E-009   0.298675754E-011
   0.29119229391031537E-009   0.330952540E-011
   0.29273299387809482E-009   0.366155413E-011
   0.29427369384587426E-009   0.404497442E-011
   0.29581439381365371E-009   0.446204098E-011
   0.29735509378143316E-009   0.491513427E-011
   0.29889579374921260E-009   0.540677572E-011
   0.30043649371699205E-009   0.593962509E-011
   0.30197719368477149E-009   0.651649568E-011
   0.30351789365255094E-009   0.714035775E-011
   0.30505859362033039E-009   0.781434726E-011
   0.30659929358810983E-009   0.854177319E-011
   0.30813999355588928E-009   0.932612321E-011
   0.30968069352366873E-009   0.101710715E-010
   0.31122139349144817E-009   0.110804820E-010
   0.31276209345922762E-009   0.120584194E-010
   0.31430279342700707E-009   0.131091422E-010
   0.31584349339478651E-009   0.142371115E-010
   0.31738419336256596E-009   0.154469892E-010
   0.31892489333034540E-009   0.167436273E-010
   0.32046559329812485E-009   0.181320809E-010
   0.32200629326590430E-009   0.196175732E-010
   0.32354699323368374E-009   0.212055165E-010
   0.32508769320146319E-009   0.229014585E-010
   0.32662839316924264E-009   0.247111064E-010
   0.32816909313702208E-009   0.266402629E-010
   0.32970979310480153E-009   0.286948347E-010
   0.33125049307258098E-009   0.308807806E-010
   0.33279119304036042E-009   0.332040923E-010
   0.33433189300813987E-009   0.356707476E-010
   0.33587259297591932E-009   0.382866863E-010
   0.33741329294369876E-009   0.410577405E-010
   0.33895399291147821E-009   0.439896210E-010
   0.34049469287925765E-009   0.470878579E-010
   0.34203539284703710E-009   0.503577770E-010
   0.34357609281481655E-009   0.538044262E-010
   0.34511679278259599E-009   0.574325344E-010
   0.34665749275037544E-009   0.612465287E-010
   0.34819819271815489E-009   0.652504301E-010
   0.34973889268593433E-009   0.694478849E-010
   0.35127959265371378E-009   0.738421130E-010
   0.35282029262149323E-009   0.784358897E-010
   0.35436099258927267E-009   0.832316160E-010
   0.35590169255705212E-009   0.882312487E-010
   0.35744239252483156E-009   0.934363559E-010
   0.35898309249261101E-009   0.988481658E-010
   0.36052379246039046E-009   0.104467664E-009
   0.36206449242816990E-009   0.110295564E-009
   0.36360519239594935E-009   0.116332464E-009
   0.36514589236372880E-009   0.122578975E-009
   0.36668659233150824E-009   0.129035740E-009
   0.36822729229928769E-009   0.135703643E-009
   0.36976799226706714E-009   0.142583972E-009
   0.37130869223484658E-009   0.149678492E-009
   0.37284939220262603E-009   0.156989699E-009
   0.37439009217040548E-009   0.164520925E-009
   0.37593079213818492E-009   0.172276582E-009
   0.37747149210596437E-009   0.180262222E-009
   0.37901219207374381E-009   0.188484880E-009
   0.38055289204152326E-009   0.196953134E-009
   0.38209359200930271E-009   0.205677309E-009
   0.38363429197708215E-009   0.214669532E-009
   0.38517499194486160E-009   0.223944099E-009
   0.38671569191264105E-009   0.233517317E-009
   0.38825639188042049E-009   0.243407655E-009
   0.38979709184819994E-009   0.253635946E-009
   0.39133779181597939E-009   0.264225392E-009
   0.39287849178375883E-009   0.275201306E-009
   0.39441919175153828E-009   0.286591362E-009
   0.39595989171931772E-009   0.298425590E-009
   0.39750059168709717E-009   0.310735854E-009
   0.39904129165487662E-009   0.323556043E-009
   0.40058199162265606E-009   0.336922018E-009
   0.40212269159043551E-009   0.350871027E-009
   0.40366339155821496E-009   0.365441899E-009
   0.40520409152599440E-009   0.380674409E-009
   0.40674479149377385E-009   0.396609495E-009
   0.40828549146155330E-009   0.413288515E-009
   0.40982619142933274E-009   0.430753266E-009
   0.41136689139711219E-009   0.449045884E-009
   0.41290759136489164E-009   0.468208083E-009
   0.41444829133267108E-009   0.488281471E-009
   0.41598899130045053E-009   0.509307041E-009
   0.41752969126822997E-009   0.531325317E-009
   0.41907039123600942E-009   0.554375656E-009
   0.42061109120378887E-009   0.578496862E-009
   0.42215179117156831E-009   0.603726735E-009
   0.42369249113934776E-009   0.630102137E-009
   0.42523319110712721E-009   0.657659482E-009
   0.42677389107490665E-009   0.686434354E-009
   0.42831459104268610E-009   0.716462112E-009
   0.42985529101046555E-009   0.747777451E-009
   0.43139599097824499E-009   0.780416287E-009
   0.43293669094602444E-009   0.814414036E-009
   0.43447739091380388E-009   0.849807891E-009
   0.43601809088158333E-009   0.886636098E-009
   0.43755879084936278E-009   0.924938903E-009
   0.43909949081714222E-009   0.964758828E-009
   0.44064019078492167E-009   0.100614139E-008
   0.44218089075270112E-009   0.104913556E-008
   0.44372159072048056E-009   0.109379350E-008
   0.44526229068826001E-009   0.114017251E-008
   0.44680299065603946E-009   0.118833410E-008
   0.44834369062381890E-009   0.123834476E-008
   0.44988439059159835E-009   0.129027578E-008
   0.45142509055937780E-009   0.134420519E-008
   0.45296579052715724E-009   0.140021572E-008
   0.45450649049493669E-009   0.145839574E-008
   0.45604719046271613E-009   0.151884016E-008
   0.45758789043049558E-009   0.158164892E-008
   0.45912859039827503E-009   0.164692737E-008
   0.46066929036605447E-009   0.171478753E-008
   0.46220999033383392E-009   0.178534509E-008
   0.46375069030161337E-009   0.185872095E-008
   0.46529139026939281E-009   0.193504102E-008
   0.46683209023717226E-009   0.201443440E-008
   0.46837279020495171E-009   0.209703566E-008
   0.46991349017273115E-009   0.218298135E-008
   0.47145419014051060E-009   0.227241115E-008
   0.47299489010829004E-009   0.236546915E-008
   0.47453559007606949E-009   0.246229970E-008
   0.47607629004384894E-009   0.256305110E-008
   0.47761699001162838E-009   0.266787459E-008
   0.47915768997940783E-009   0.277692203E-008
   0.48069838994718728E-009   0.289034929E-008
   0.48223908991496672E-009   0.300831382E-008
   0.48377978988274617E-009   0.313097592E-008
   0.48532048985052562E-009   0.325849925E-008
   0.48686118981830506E-009   0.339105188E-008
   0.48840188978608451E-009   0.352880547E-008
   0.48994258975386396E-009   0.367193653E-008
   0.49148328972164340E-009   0.382062737E-008
   0.49302398968942285E-009   0.397506605E-008
   0.49456468965720229E-009   0.413544754E-008
   0.49610538962498174E-009   0.430197700E-008
   0.49764608959276119E-009   0.447486492E-008
   0.49918678956054063E-009   0.465433381E-008
   0.50072748952832008E-009   0.484061458E-008
   0.50226818949609953E-009   0.503394837E-008
   0.50380888946387897E-009   0.523459187E-008
   0.50534958943165842E-009   0.544280798E-008
   0.50689028939943787E-009   0.565887781E-008
   0.50843098936721731E-009   0.588309135E-008
   0.50997168933499676E-009   0.611575235E-008
   0.51151238930277620E-009   0.635717923E-008
   0.51305308927055565E-009   0.660770283E-008
   0.51459378923833510E-009   0.686766821E-008
   0.51613448920611454E-009   0.713743509E-008
   0.51767518917389399E-009   0.741737116E-008
   0.51921588914167344E-009   0.770786279E-008
   0.52075658910945288E-009   0.800931055E-008
   0.52229728907723233E-009   0.832212166E-008
   0.52383798904501178E-009   0.864671978E-008
   0.52537868901279122E-009   0.898354013E-008
   0.52691938898057067E-009   0.933303390E-008
   0.52846008894835012E-009   0.969565939E-008
   0.53000078891612956E-009   0.100718891E-007
   0.53154148888390901E-009   0.104622133E-007
   0.53308218885168845E-009   0.108671276E-007
   0.53462288881946790E-009   0.112871481E-007
   0.53616358878724735E-009   0.117227996E-007
   0.53770428875502679E-009   0.121746240E-007
   0.53924498872280624E-009   0.126431789E-007
   0.54078568869058569E-009   0.131290383E-007
   0.54232638865836513E-009   0.136327962E-007
   0.54386708862614458E-009   0.141550585E-007
   0.54540778859392403E-009   0.146964565E-007
   0.54694848856170347E-009   0.152576405E-007
   0.54848918852948292E-009   0.158392801E-007
   0.55002988849726236E-009   0.164420761E-007
   0.55157058846504181E-009   0.170667498E-007
   0.55311128843282126E-009   0.177140436E-007
   0.55465198840060070E-009   0.183847266E-007
   0.55619268836838015E-009   0.190796090E-007
   0.55773338833615960E-009   0.197995149E-007
   0.55927408830393904E-009   0.205453077E-007
   0.56081478827171849E-009   0.213178701E-007
   0.56235548823949794E-009   0.221181367E-007
   0.56389618820727738E-009   0.229470576E-007
   0.56543688817505683E-009   0.238056188E-007
   0.56697758814283628E-009   0.246948382E-007
   0.56851828811061572E-009   0.256157762E-007
   0.57005898807839517E-009   0.265695199E-007
   0.57159968804617461E-009   0.275571921E-007
   0.57314038801395406E-009   0.285799544E-007
   0.57468108798173351E-009   0.296389988E-007
   0.57622178794951295E-009   0.307355634E-007
   0.57776248791729240E-009   0.318709077E-007
   0.57930318788507185E-009   0.330463337E-007
   0.58084388785285129E-009   0.342632021E-007
   0.58238458782063074E-009   0.355228806E-007
   0.58392528778841019E-009   0.368268047E-007
   0.58546598775618963E-009   0.381764309E-007
   0.58700668772396908E-009   0.395732691E-007
   0.58854738769174852E-009   0.410188790E-007
   0.59008808765952797E-009   0.425148521E-007
   0.59162878762730742E-009   0.440628440E-007
   0.59316948759508686E-009   0.456645353E-007
   0.59471018756286631E-009   0.473216843E-007
   0.59625088753064576E-009   0.490361032E-007
   0.59779158749842520E-009   0.508096214E-007
   0.59933228746620465E-009   0.526441823E-007
   0.60087298743398410E-009   0.545417436E-007
   0.60241368740176354E-009   0.565043479E-007
   0.60395438736954299E-009   0.585340842E-007
   0.60549508733732244E-009   0.606331412E-007
   0.60703578730510188E-009   0.628037355E-007
   0.60857648727288133E-009   0.650481837E-007
   0.61011718724066077E-009   0.673688589E-007
   0.61165788720844022E-009   0.697682054E-007
   0.61319858717621967E-009   0.722487528E-007
   0.61473928714399911E-009   0.748131157E-007
   0.61627998711177856E-009   0.774639446E-007
   0.61782068707955801E-009   0.802040319E-007
   0.61936138704733745E-009   0.830362268E-007
   0.62090208701511690E-009   0.859634355E-007
   0.62244278698289635E-009   0.889886564E-007
   0.62398348695067579E-009   0.921150445E-007
   0.62552418691845524E-009   0.953457473E-007
   0.62706488688623468E-009   0.986840689E-007
   0.62860558685401413E-009   0.102133392E-006
   0.63014628682179358E-009   0.105697175E-006
   0.63168698678957302E-009   0.109378981E-006
   0.63322768675735247E-009   0.113182494E-006
   0.63476838672513192E-009   0.117111504E-006
   0.63630908669291136E-009   0.121169862E-006
   0.63784978666069081E-009   0.125361581E-006
   0.63939048662847026E-009   0.129690775E-006
   0.64093118659624970E-009   0.134161652E-006
   0.64247188656402915E-009   0.138778560E-006
   0.64401258653180860E-009   0.143545918E-006
   0.64555328649958804E-009   0.148468388E-006
   0.64709398646736749E-009   0.153550658E-006
   0.64863468643514693E-009   0.158797619E-006
   0.65017538640292638E-009   0.164214200E-006
   0.65171608637070583E-009   0.169805602E-006
   0.65325678633848527E-009   0.175577071E-006
   0.65479748630626472E-009   0.181534077E-006
   0.65633818627404417E-009   0.187682176E-006
   0.65787888624182361E-009   0.194027137E-006
   0.65941958620960306E-009   0.200574860E-006
   0.66096028617738251E-009   0.207331425E-006
   0.66250098614516195E-009   0.214303057E-006
   0.66404168611294140E-009   0.221496222E-006
   0.66558238608072084E-009   0.228917429E-006
   0.66712308604850029E-009   0.236573527E-006
   0.66866378601627974E-009   0.244471437E-006
   0.67020448598405918E-009   0.252618293E-006
   0.67174518595183863E-009   0.261021484E-006
   0.67328588591961808E-009   0.269688485E-006
   0.67482658588739752E-009   0.278627056E-006
   0.67636728585517697E-009   0.287845211E-006
   0.67790798582295642E-009   0.297350965E-006
   0.67944868579073586E-009   0.307152789E-006
   0.68098938575851531E-009   0.317259264E-006
   0.68253008572629476E-009   0.327679231E-006
   0.68407078569407420E-009   0.338421671E-006
   0.68561148566185365E-009   0.349495878E-006
   0.68715218562963309E-009   0.360911457E-006
   0.68869288559741254E-009   0.372678159E-006
   0.69023358556519199E-009   0.384806015E-006
   0.69177428553297143E-009   0.397305314E-006
   0.69331498550075088E-009   0.410186686E-006
   0.69485568546853033E-009   0.423460932E-006
   0.69639638543630977E-009   0.437139192E-006
   0.69793708540408922E-009   0.451232836E-006
   0.69947778537186867E-009   0.465753686E-006
   0.70101848533964811E-009   0.480713709E-006
   0.70255918530742756E-009   0.496125210E-006
   0.70409988527520700E-009   0.512000952E-006
   0.70564058524298645E-009   0.528353723E-006
   0.70718128521076590E-009   0.545197054E-006
   0.70872198517854534E-009   0.562544415E-006
   0.71026268514632479E-009   0.580409790E-006
   0.71180338511410424E-009   0.598807674E-006
   0.71334408508188368E-009   0.617752676E-006
   0.71488478504966313E-009   0.637259859E-006
   0.71642548501744258E-009   0.657344742E-006
   0.71796618498522202E-009   0.678023014E-006
   0.71950688495300147E-009   0.699311101E-006
   0.72104758492078092E-009   0.721225604E-006
   0.72258828488856036E-009   0.743783289E-006
   0.72412898485633981E-009   0.767001666E-006
   0.72566968482411925E-009   0.790898980E-006
   0.72721038479189870E-009   0.815493138E-006
   0.72875108475967815E-009   0.840803068E-006
   0.73029178472745759E-009   0.866847756E-006
   0.73183248469523704E-009   0.893647325E-006
   0.73337318466301649E-009   0.921221556E-006
   0.73491388463079593E-009   0.949591140E-006
   0.73645458459857538E-009   0.978777280E-006
   0.73799528456635483E-009   0.100880129E-005
   0.73953598453413427E-009   0.103968591E-005
   0.74107668450191372E-009   0.107145320E-005
   0.74261738446969316E-009   0.110412668E-005
   0.74415808443747261E-009   0.113773001E-005
   0.74569878440525206E-009   0.117228774E-005
   0.74723948437303150E-009   0.120782431E-005
   0.74878018434081095E-009   0.124436565E-005
   0.75032088430859040E-009   0.128193744E-005
   0.75186158427636984E-009   0.132056641E-005
   0.75340228424414929E-009   0.136028018E-005
   0.75494298421192874E-009   0.140110615E-005
   0.75648368417970818E-009   0.144307307E-005
   0.75802438414748763E-009   0.148621029E-005
   0.75956508411526708E-009   0.153054782E-005
   0.76110578408304652E-009   0.157611589E-005
   0.76264648405082597E-009   0.162294589E-005
   0.76418718401860541E-009   0.167106998E-005
   0.76572788398638486E-009   0.172052023E-005
   0.76726858395416431E-009   0.177133052E-005
   0.76880928392194375E-009   0.182353472E-005
   0.77034998388972320E-009   0.187716796E-005
   0.77189068385750265E-009   0.193226606E-005
   0.77343138382528209E-009   0.198886482E-005
   0.77497208379306154E-009   0.204700223E-005
   0.77651278376084099E-009   0.210671556E-005
   0.77805348372862043E-009   0.216804460E-005
   0.77959418369639988E-009   0.223102825E-005
   0.78113488366417932E-009   0.229570765E-005
   0.78267558363195877E-009   0.236212418E-005
   0.78421628359973822E-009   0.243032014E-005
   0.78575698356751766E-009   0.250033872E-005
   0.78729768353529711E-009   0.257222428E-005
   0.78883838350307656E-009   0.264602204E-005
   0.79037908347085600E-009   0.272177795E-005
   0.79191978343863545E-009   0.279953929E-005
   0.79346048340641490E-009   0.287935381E-005
   0.79500118337419434E-009   0.296127041E-005
   0.79654188334197379E-009   0.304533978E-005
   0.79808258330975324E-009   0.313161263E-005
   0.79962328327753268E-009   0.322014148E-005
   0.80116398324531213E-009   0.331097954E-005
   0.80270468321309157E-009   0.340418092E-005
   0.80424538318087102E-009   0.349980155E-005
   0.80578608314865047E-009   0.359789738E-005
   0.80732678311642991E-009   0.369852728E-005
   0.80886748308420936E-009   0.380174947E-005
   0.81040818305198881E-009   0.390762398E-005
   0.81194888301976825E-009   0.401621219E-005
   0.81348958298754770E-009   0.412757663E-005
   0.81503028295532715E-009   0.424178143E-005
   0.81657098292310659E-009   0.435889069E-005
   0.81811168289088604E-009   0.447897219E-005
   0.81965238285866548E-009   0.460209230E-005
   0.82119308282644493E-009   0.472832062E-005
   0.82273378279422438E-009   0.485772671E-005
   0.82427448276200382E-009   0.499038288E-005
   0.82581518272978327E-009   0.512636234E-005
   0.82735588269756272E-009   0.526573876E-005
   0.82889658266534216E-009   0.540858855E-005
   0.83043728263312161E-009   0.555498946E-005
   0.83197798260090106E-009   0.570501788E-005
   0.83351868256868050E-009   0.585875659E-005
   0.83505938253645995E-009   0.601628653E-005
   0.83660008250423940E-009   0.617769138E-005
   0.83814078247201884E-009   0.634305479E-005
   0.83968148243979829E-009   0.651246319E-005
   0.84122218240757773E-009   0.668600615E-005
   0.84276288237535718E-009   0.686377143E-005
   0.84430358234313663E-009   0.704585091E-005
   0.84584428231091607E-009   0.723233916E-005
   0.84738498227869552E-009   0.742332759E-005
   0.84892568224647497E-009   0.761891397E-005
   0.85046638221425441E-009   0.781919698E-005
   0.85200708218203386E-009   0.802427530E-005
   0.85354778214981331E-009   0.823425034E-005
   0.85508848211759275E-009   0.844922579E-005
   0.85662918208537220E-009   0.866930714E-005
   0.85816988205315164E-009   0.889460171E-005
   0.85971058202093109E-009   0.912521591E-005
   0.86125128198871054E-009   0.936126253E-005
   0.86279198195648998E-009   0.960285251E-005
   0.86433268192426943E-009   0.985010320E-005
   0.86587338189204888E-009   0.101031283E-004
   0.86741408185982832E-009   0.103620459E-004
   0.86895478182760777E-009   0.106269781E-004
   0.87049548179538722E-009   0.108980466E-004
   0.87203618176316666E-009   0.111753734E-004
   0.87357688173094611E-009   0.114590894E-004
   0.87511758169872556E-009   0.117493200E-004
   0.87665828166650500E-009   0.120461964E-004
   0.87819898163428445E-009   0.123498521E-004
   0.87973968160206389E-009   0.126604209E-004
   0.88128038156984334E-009   0.129780401E-004
   0.88282108153762279E-009   0.133028498E-004
   0.88436178150540223E-009   0.136349918E-004
   0.88590248147318168E-009   0.139746071E-004
   0.88744318144096113E-009   0.143218413E-004
   0.88898388140874057E-009   0.146768489E-004
   0.89052458137652002E-009   0.150397736E-004
   0.89206528134429947E-009   0.154107729E-004
   0.89360598131207891E-009   0.157899976E-004
   0.89514668127985836E-009   0.161776097E-004
   0.89668738124763780E-009   0.165737656E-004
   0.89822808121541725E-009   0.169786272E-004
   0.89976878118319670E-009   0.173923636E-004
   0.90130948115097614E-009   0.178151367E-004
   0.90285018111875559E-009   0.182471213E-004
   0.90439088108653504E-009   0.186884863E-004
   0.90593158105431448E-009   0.191394083E-004
   0.90747228102209393E-009   0.196000601E-004
   0.90901298098987338E-009   0.200706254E-004
   0.91055368095765282E-009   0.205512843E-004
   0.91209438092543227E-009   0.210422204E-004
   0.91363508089321172E-009   0.215436285E-004
   0.91517578086099116E-009   0.220556867E-004
   0.91671648082877061E-009   0.225786007E-004
   0.91825718079655005E-009   0.231125541E-004
   0.91979788076432950E-009   0.236577525E-004
   0.92133858073210895E-009   0.242143906E-004
   0.92287928069988839E-009   0.247826774E-004
   0.92441998066766784E-009   0.253628186E-004
   0.92596068063544729E-009   0.259550143E-004
   0.92750138060322673E-009   0.265594881E-004
   0.92904208057100618E-009   0.271764457E-004
   0.93058278053878563E-009   0.278061088E-004
   0.93212348050656507E-009   0.284486941E-004
   0.93366418047434452E-009   0.291044198E-004
   0.93520488044212396E-009   0.297735205E-004
   0.93674558040990341E-009   0.304562200E-004
   0.93828628037768286E-009   0.311527474E-004
   0.93982698034546230E-009   0.318633392E-004
   0.94136768031324175E-009   0.325882320E-004
   0.94290838028102120E-009   0.333276657E-004
   0.94444908024880064E-009   0.340818769E-004
   0.94598978021658009E-009   0.348511203E-004
   0.94753048018435954E-009   0.356356322E-004
   0.94907118015213898E-009   0.364356747E-004
   0.95061188011991843E-009   0.372514951E-004
   0.95215258008769788E-009   0.380833553E-004
   0.95369328005547732E-009   0.389315064E-004
   0.95523398002325677E-009   0.397962140E-004
   0.95677467999103621E-009   0.406777472E-004
   0.95831537995881566E-009   0.415763716E-004
   0.95985607992659511E-009   0.424923601E-004
   0.96139677989437455E-009   0.434259782E-004
   0.96293747986215400E-009   0.443775207E-004
   0.96447817982993345E-009   0.453472494E-004
   0.96601887979771289E-009   0.463354590E-004
   0.96755957976549234E-009   0.473424188E-004
   0.96910027973327179E-009   0.483684416E-004
   0.97064097970105123E-009   0.494137894E-004
   0.97218167966883068E-009   0.504787822E-004
