t              2d_case.fdtd_Point probe_1_Ex_50_0_80.dat       incid
   0.23018163243515577E-008   0.000000000E+000   0.000000000E+000
   0.23395510181933865E-008   0.000000000E+000   0.000000000E+000
   0.23772857120352153E-008   0.000000000E+000   0.000000000E+000
   0.24150204058770441E-008   0.000000000E+000   0.000000000E+000
   0.24527550997188730E-008   0.000000000E+000   0.000000000E+000
   0.24904897935607018E-008   0.000000000E+000   0.000000000E+000
   0.25282244874025306E-008   0.000000000E+000   0.000000000E+000
   0.25659591812443594E-008   0.000000000E+000   0.000000000E+000
   0.26036938750861882E-008   0.000000000E+000   0.000000000E+000
   0.26414285689280170E-008   0.000000000E+000   0.000000000E+000
   0.26791632627698458E-008   0.000000000E+000   0.000000000E+000
   0.27168979566116747E-008   0.000000000E+000   0.000000000E+000
   0.27546326504535035E-008   0.000000000E+000   0.000000000E+000
   0.27923673442953323E-008   0.000000000E+000   0.000000000E+000
   0.28301020381371611E-008   0.000000000E+000   0.000000000E+000
   0.28678367319789899E-008   0.000000000E+000   0.000000000E+000
   0.29055714258208187E-008   0.000000000E+000   0.000000000E+000
   0.29433061196626475E-008   0.000000000E+000   0.000000000E+000
   0.29810408135044764E-008   0.000000000E+000   0.000000000E+000
   0.30187755073463052E-008   0.000000000E+000   0.000000000E+000
   0.30565102011881340E-008   0.000000000E+000   0.000000000E+000
   0.30942448950299628E-008   0.000000000E+000   0.000000000E+000
   0.31319795888717916E-008   0.000000000E+000   0.000000000E+000
   0.31697142827136204E-008   0.522928391E-035   0.000000000E+000
   0.32074489765554492E-008   0.184023411E-033   0.000000000E+000
   0.32451836703972781E-008   0.417557560E-032   0.000000000E+000
   0.32829183642391069E-008   0.758416730E-031   0.000000000E+000
   0.33206530580809357E-008   0.114730703E-029   0.000000000E+000
   0.33583877519227645E-008   0.148702029E-028   0.000000000E+000
   0.33961224457645933E-008   0.168574806E-027   0.000000000E+000
   0.34338571396064221E-008   0.169806470E-026   0.000000000E+000
   0.34715918334482510E-008   0.153888412E-025   0.000000000E+000
   0.35093265272900798E-008   0.126743126E-024   0.000000000E+000
   0.35470612211319086E-008   0.956596005E-024   0.000000000E+000
   0.35847959149737374E-008   0.666288802E-023   0.000000000E+000
   0.36225306088155662E-008   0.430848879E-022   0.000000000E+000
   0.36602653026573950E-008   0.259993585E-021   0.000000000E+000
   0.36979999964992238E-008   0.147075268E-020   0.000000000E+000
   0.37357346903410527E-008   0.783051173E-020   0.000000000E+000
   0.37734693841828815E-008   0.393785211E-019   0.000000000E+000
   0.38112040780247103E-008   0.187644345E-018   0.000000000E+000
   0.38489387718665391E-008   0.849718596E-018   0.000000000E+000
   0.38866734657083679E-008   0.366626713E-017   0.000000000E+000
   0.39244081595501967E-008   0.151089535E-016   0.000000000E+000
   0.39621428533920255E-008   0.596043056E-016   0.000000000E+000
   0.39998775472338544E-008   0.225557224E-015   0.000000000E+000
   0.40376122410756832E-008   0.820380632E-015   0.000000000E+000
   0.40753469349175120E-008   0.287306397E-014   0.000000000E+000
   0.41130816287593408E-008   0.970493590E-014   0.000000000E+000
   0.41508163226011696E-008   0.316711040E-013   0.000000000E+000
   0.41885510164429984E-008   0.100005833E-012   0.000000000E+000
   0.42262857102848272E-008   0.305994162E-012   0.000000000E+000
   0.42640204041266561E-008   0.908506180E-012   0.000000000E+000
   0.43017550979684849E-008   0.262083020E-011   0.000000000E+000
   0.43394897918103137E-008   0.735500549E-011   0.000000000E+000
   0.43772244856521425E-008   0.201031726E-010   0.000000000E+000
   0.44149591794939713E-008   0.535740861E-010   0.000000000E+000
   0.44526938733358001E-008   0.139344591E-009   0.000000000E+000
   0.44904285671776289E-008   0.354056062E-009   0.000000000E+000
   0.45281632610194578E-008   0.879560869E-009   0.000000000E+000
   0.45658979548612866E-008   0.213796314E-008   0.000000000E+000
   0.46036326487031154E-008   0.508822495E-008   0.000000000E+000
   0.46413673425449442E-008   0.118636496E-007   0.000000000E+000
   0.46791020363867730E-008   0.271128187E-007   0.000000000E+000
   0.47168367302286018E-008   0.607602004E-007   0.000000000E+000
   0.47545714240704307E-008   0.133567852E-006   0.000000000E+000
   0.47923061179122595E-008   0.288099386E-006   0.898842174E-007
   0.48300408117540883E-008   0.609864742E-006   0.257564778E-006
   0.48677755055959171E-008   0.126714576E-005   0.712056192E-006
   0.49055101994377459E-008   0.258449154E-005   0.189935463E-005
   0.49432448932795747E-008   0.517516901E-005   0.488878959E-005
   0.49809795871214035E-008   0.101743353E-004   0.121433741E-004
   0.50187142809632324E-008   0.196397650E-004   0.291111101E-004
   0.50564489748050612E-008   0.372236464E-004   0.673592440E-004
   0.50941836686468900E-008   0.692701942E-004   0.150449487E-003
   0.51319183624887188E-008   0.126561412E-003   0.324394321E-003
   0.51696530563305476E-008   0.227016368E-003   0.675267889E-003
   0.52073877501723764E-008   0.399741053E-003   0.135714910E-002
   0.52451224440142052E-008   0.690912013E-003   0.263361493E-002
   0.52828571378560341E-008   0.117202790E-002   0.493481569E-002
   0.53205918316978629E-008   0.195103826E-002   0.892893504E-002
   0.53583265255396917E-008   0.318669342E-002   0.156009160E-001
   0.53960612193815205E-008   0.510609429E-002   0.263225995E-001
   0.54337959132233493E-008   0.802476425E-002   0.428881384E-001
   0.54715306070651781E-008   0.123676080E-001   0.674795136E-001
   0.55092653009070069E-008   0.186878182E-001   0.102524281E+000
   0.55469999947488358E-008   0.276793074E-001   0.150411531E+000
   0.55847346885906646E-008   0.401766635E-001   0.213071853E+000
   0.56224693824324934E-008   0.571355782E-001   0.291428059E+000
   0.56602040762743222E-008   0.795863420E-001   0.384836793E+000
   0.56979387701161510E-008   0.108554065E+000   0.490722567E+000
   0.57356734639579798E-008   0.144942492E+000   0.603744745E+000
   0.57734081577998086E-008   0.189383179E+000   0.716668665E+000
   0.58111428516416375E-008   0.242059499E+000   0.820844889E+000
   0.58488775454834663E-008   0.302523345E+000   0.907224238E+000
   0.58866122393252951E-008   0.369531125E+000   0.967632413E+000
   0.59243469331671239E-008   0.440932393E+000   0.996044457E+000
   0.59620816270089527E-008   0.513646781E+000   0.989574015E+000
   0.59998163208507815E-008   0.583760500E+000   0.948955536E+000
   0.60375510146926104E-008   0.646761894E+000   0.878407121E+000
   0.60752857085344392E-008   0.697916031E+000   0.784910321E+000
   0.61130204023762680E-008   0.732750595E+000   0.677075624E+000
   0.61507550962180968E-008   0.747600377E+000   0.563848734E+000
   0.61884897900599256E-008   0.740132689E+000   0.453323454E+000
   0.62262244839017544E-008   0.709764361E+000   0.351869822E+000
   0.62639591777435832E-008   0.657885313E+000   0.263686687E+000
   0.63016938715854121E-008   0.587825298E+000   0.190777391E+000
   0.63394285654272409E-008   0.504542291E+000   0.133258283E+000
   0.63771632592690697E-008   0.414060563E+000   0.898633152E-001
   0.64148979531108985E-008   0.322738081E+000   0.585032403E-001
   0.64526326469527273E-008   0.236482233E+000   0.367681310E-001
   0.64903673407945561E-008   0.160049886E+000   0.223068763E-001
   0.65281020346363849E-008   0.965538919E-001   0.130635127E-001
   0.65658367284782138E-008   0.472583026E-001   0.738432724E-002
   0.66035714223200426E-008   0.116852038E-001   0.402870029E-002
   0.66413061161618714E-008  -0.120091457E-001   0.212125806E-002
   0.66790408100037002E-008  -0.264856778E-001   0.107786979E-002
   0.67167755038455290E-008  -0.346277580E-001   0.528508390E-003
   0.67545101976873578E-008  -0.390242338E-001   0.250044919E-003
   0.67922448915291866E-008  -0.416228548E-001   0.114138449E-003
   0.68299795853710155E-008  -0.435962453E-001   0.502644252E-004
   0.68677142792128443E-008  -0.454068258E-001   0.213534313E-004
   0.69054489730546731E-008  -0.470112041E-001   0.875048045E-005
   0.69431836668965019E-008  -0.481213629E-001   0.345864510E-005
   0.69809183607383307E-008  -0.484429188E-001   0.131848412E-005
   0.70186530545801595E-008  -0.478347912E-001   0.484721795E-006
   0.70563877484219883E-008  -0.463694520E-001   0.171848654E-006
   0.70941224422638172E-008  -0.443067327E-001   0.587478084E-007
   0.71318571361056460E-008  -0.420157760E-001   0.193650784E-007
   0.71695918299474748E-008  -0.398839004E-001   0.615442186E-008
   0.72073265237893036E-008  -0.382408686E-001   0.188576954E-008
   0.72450612176311324E-008  -0.373115763E-001   0.557037416E-009
   0.72827959114729612E-008  -0.371981151E-001   0.158626029E-009
   0.73205306053147901E-008  -0.378856473E-001   0.435425827E-010
   0.73582652991566189E-008  -0.392626524E-001   0.115214270E-010
   0.73959999929984477E-008  -0.411435440E-001   0.293844159E-011
   0.74337346868402765E-008  -0.432841554E-001   0.722349643E-012
   0.74714693806821053E-008  -0.453911461E-001   0.171144227E-012
   0.75092040745239341E-008  -0.471394546E-001   0.000000000E+000
   0.75469387683657629E-008  -0.482142866E-001   0.000000000E+000
   0.75846734622075918E-008  -0.483769178E-001   0.000000000E+000
   0.76224081560494206E-008  -0.475270338E-001   0.000000000E+000
   0.76601428498912494E-008  -0.457245782E-001   0.000000000E+000
   0.76978775437330782E-008  -0.431553237E-001   0.000000000E+000
   0.77356122375749070E-008  -0.400614105E-001   0.000000000E+000
   0.77733469314167358E-008  -0.366793722E-001   0.000000000E+000
   0.78110816252585646E-008  -0.332163721E-001   0.000000000E+000
   0.78488163191003935E-008  -0.298618451E-001   0.000000000E+000
   0.78865510129422223E-008  -0.268028565E-001   0.000000000E+000
   0.79242857067840511E-008  -0.242098775E-001   0.000000000E+000
   0.79620204006258799E-008  -0.221883580E-001   0.000000000E+000
   0.79997550944677087E-008  -0.207306221E-001   0.000000000E+000
   0.80374897883095375E-008  -0.197165087E-001   0.000000000E+000
   0.80752244821513663E-008  -0.189774148E-001   0.000000000E+000
   0.81129591759931952E-008  -0.183792133E-001   0.000000000E+000
   0.81506938698350240E-008  -0.178565495E-001   0.000000000E+000
   0.81884285636768528E-008  -0.173800290E-001   0.000000000E+000
   0.82261632575186816E-008  -0.169104226E-001   0.000000000E+000
   0.82638979513605104E-008  -0.164011978E-001   0.000000000E+000
   0.83016326452023392E-008  -0.158381946E-001   0.000000000E+000
   0.83393673390441680E-008  -0.152476728E-001   0.000000000E+000
   0.83771020328859969E-008  -0.146431830E-001   0.000000000E+000
   0.84148367267278257E-008  -0.139689622E-001   0.000000000E+000
   0.84525714205696545E-008  -0.131124463E-001   0.000000000E+000
   0.84903061144114833E-008  -0.119785769E-001   0.000000000E+000
   0.85280408082533121E-008  -0.105497157E-001   0.000000000E+000
   0.85657755020951409E-008  -0.888138171E-002   0.000000000E+000
   0.86035101959369698E-008  -0.705942651E-002   0.000000000E+000
   0.86412448897787986E-008  -0.517208735E-002   0.000000000E+000
   0.86789795836206274E-008  -0.331366481E-002   0.000000000E+000
   0.87167142774624562E-008  -0.159462064E-002   0.000000000E+000
   0.87544489713042850E-008  -0.128259417E-003   0.000000000E+000
   0.87921836651461138E-008   0.101055694E-002   0.000000000E+000
   0.88299183589879426E-008   0.182806025E-002   0.000000000E+000
   0.88676530528297715E-008   0.241523748E-002   0.000000000E+000
   0.89053877466716003E-008   0.289740879E-002   0.000000000E+000
   0.89431224405134291E-008   0.336775836E-002   0.000000000E+000
   0.89808571343552579E-008   0.386538194E-002   0.000000000E+000
   0.90185918281970867E-008   0.440967083E-002   0.000000000E+000
   0.90563265220389155E-008   0.503436103E-002   0.000000000E+000
   0.90940612158807443E-008   0.576938037E-002   0.000000000E+000
   0.91317959097225732E-008   0.659714546E-002   0.000000000E+000
   0.91695306035644020E-008   0.745276082E-002   0.000000000E+000
   0.92072652974062308E-008   0.827877689E-002   0.000000000E+000
   0.92449999912480596E-008   0.906755216E-002   0.000000000E+000
   0.92827346850898884E-008   0.984193292E-002   0.000000000E+000
   0.93204693789317172E-008   0.106092533E-001   0.000000000E+000
   0.93582040727735460E-008   0.113501307E-001   0.000000000E+000
   0.93959387666153749E-008   0.120443143E-001   0.000000000E+000
   0.94336734604572037E-008   0.126897860E-001   0.000000000E+000
   0.94714081542990325E-008   0.132956021E-001   0.000000000E+000
   0.95091428481408613E-008   0.138664125E-001   0.000000000E+000
   0.95468775419826901E-008   0.143955061E-001   0.000000000E+000
   0.95846122358245189E-008   0.148695661E-001   0.000000000E+000
   0.96223469296663477E-008   0.152842514E-001   0.000000000E+000
   0.96600816235081766E-008   0.156566389E-001   0.000000000E+000
   0.96978163173500054E-008   0.160110816E-001   0.000000000E+000
   0.97355510111918342E-008   0.163455531E-001   0.000000000E+000
   0.97732857050336630E-008   0.166219734E-001   0.000000000E+000
   0.98110203988754918E-008   0.167981945E-001   0.000000000E+000
   0.98487550927173206E-008   0.168611929E-001   0.000000000E+000
   0.98864897865591495E-008   0.168223642E-001   0.000000000E+000
   0.99242244804009783E-008   0.166921448E-001   0.000000000E+000
   0.99619591742428071E-008   0.164742954E-001   0.000000000E+000
   0.99996938680846359E-008   0.161872488E-001   0.000000000E+000
   0.10037428561926465E-007   0.158853587E-001   0.000000000E+000
   0.10075163255768294E-007   0.156501811E-001   0.000000000E+000
   0.10112897949610122E-007   0.155474907E-001   0.000000000E+000
   0.10150632643451951E-007   0.155859329E-001   0.000000000E+000
   0.10188367337293780E-007   0.157222580E-001   0.000000000E+000
   0.10226102031135609E-007   0.159043204E-001   0.000000000E+000
   0.10263836724977438E-007   0.160947163E-001   0.000000000E+000
   0.10301571418819266E-007   0.162559059E-001   0.000000000E+000
   0.10339306112661095E-007   0.163413659E-001   0.000000000E+000
   0.10377040806502924E-007   0.163197666E-001   0.000000000E+000
   0.10414775500344753E-007   0.162004232E-001   0.000000000E+000
   0.10452510194186582E-007   0.160306972E-001   0.000000000E+000
   0.10490244888028410E-007   0.158747230E-001   0.000000000E+000
   0.10527979581870239E-007   0.157854334E-001   0.000000000E+000
   0.10565714275712068E-007   0.157766491E-001   0.000000000E+000
   0.10603448969553897E-007   0.158197135E-001   0.000000000E+000
   0.10641183663395726E-007   0.158747304E-001   0.000000000E+000
   0.10678918357237555E-007   0.159183554E-001   0.000000000E+000
   0.10716653051079383E-007   0.159369949E-001   0.000000000E+000
   0.10754387744921212E-007   0.159124192E-001   0.000000000E+000
   0.10792122438763041E-007   0.158319157E-001   0.000000000E+000
   0.10829857132604870E-007   0.157066248E-001   0.000000000E+000
   0.10867591826446699E-007   0.155712655E-001   0.000000000E+000
   0.10905326520288527E-007   0.154661303E-001   0.000000000E+000
   0.10943061214130356E-007   0.154119786E-001   0.000000000E+000
   0.10980795907972185E-007   0.153943095E-001   0.000000000E+000
   0.11018530601814014E-007   0.153822051E-001   0.000000000E+000
   0.11056265295655843E-007   0.153695745E-001   0.000000000E+000
   0.11093999989497672E-007   0.153798452E-001   0.000000000E+000
   0.11131734683339500E-007   0.154201705E-001   0.000000000E+000
   0.11169469377181329E-007   0.154542848E-001   0.000000000E+000
   0.11207204071023158E-007   0.154380044E-001   0.000000000E+000
   0.11244938764864987E-007   0.153649990E-001   0.000000000E+000
   0.11282673458706816E-007   0.152623514E-001   0.000000000E+000
   0.11320408152548644E-007   0.151527589E-001   0.000000000E+000
   0.11358142846390473E-007   0.150340851E-001   0.000000000E+000
   0.11395877540232302E-007   0.148918917E-001   0.000000000E+000
   0.11433612234074131E-007   0.147227971E-001   0.000000000E+000
   0.11471346927915960E-007   0.145373074E-001   0.000000000E+000
   0.11509081621757788E-007   0.143359425E-001   0.000000000E+000
   0.11546816315599617E-007   0.140959984E-001   0.000000000E+000
   0.11584551009441446E-007   0.138012618E-001   0.000000000E+000
   0.11622285703283275E-007   0.134804416E-001   0.000000000E+000
   0.11660020397125104E-007   0.131958434E-001   0.000000000E+000
   0.11697755090966933E-007   0.129895238E-001   0.000000000E+000
   0.11735489784808761E-007   0.128474161E-001   0.000000000E+000
   0.11773224478650590E-007   0.127133410E-001   0.000000000E+000
   0.11810959172492419E-007   0.125343539E-001   0.000000000E+000
   0.11848693866334248E-007   0.122992788E-001   0.000000000E+000
   0.11886428560176077E-007   0.120380446E-001   0.000000000E+000
   0.11924163254017905E-007   0.117839128E-001   0.000000000E+000
   0.11961897947859734E-007   0.115431678E-001   0.000000000E+000
   0.11999632641701563E-007   0.113040516E-001   0.000000000E+000
   0.12037367335543392E-007   0.110606654E-001   0.000000000E+000
   0.12075102029385221E-007   0.108170742E-001   0.000000000E+000
   0.12112836723227050E-007   0.105765127E-001   0.000000000E+000
   0.12150571417068878E-007   0.103362370E-001   0.000000000E+000
   0.12188306110910707E-007   0.100914370E-001   0.000000000E+000
   0.12226040804752536E-007   0.984183606E-002   0.000000000E+000
   0.12263775498594365E-007   0.959193520E-002   0.000000000E+000
   0.12301510192436194E-007   0.933953281E-002   0.000000000E+000
   0.12339244886278022E-007   0.906863064E-002   0.000000000E+000
   0.12376979580119851E-007   0.876633637E-002   0.000000000E+000
   0.12414714273961680E-007   0.844531041E-002   0.000000000E+000
   0.12452448967803509E-007   0.813710503E-002   0.000000000E+000
   0.12490183661645338E-007   0.786274858E-002   0.000000000E+000
   0.12527918355487166E-007   0.761615904E-002   0.000000000E+000
   0.12565653049328995E-007   0.737383543E-002   0.000000000E+000
   0.12603387743170824E-007   0.711766025E-002   0.000000000E+000
   0.12641122437012653E-007   0.685026962E-002   0.000000000E+000
   0.12678857130854482E-007   0.658570230E-002   0.000000000E+000
   0.12716591824696311E-007   0.632547634E-002   0.000000000E+000
   0.12754326518538139E-007   0.605692249E-002   0.000000000E+000
   0.12792061212379968E-007   0.577875460E-002   0.000000000E+000
   0.12829795906221797E-007   0.551125593E-002   0.000000000E+000
   0.12867530600063626E-007   0.527231162E-002   0.000000000E+000
   0.12905265293905455E-007   0.505432580E-002   0.000000000E+000
   0.12942999987747283E-007   0.483075529E-002   0.000000000E+000
   0.12980734681589112E-007   0.458186585E-002   0.000000000E+000
   0.13018469375430941E-007   0.431542750E-002   0.000000000E+000
   0.13056204069272770E-007   0.405987678E-002   0.000000000E+000
   0.13093938763114599E-007   0.382893346E-002   0.000000000E+000
   0.13131673456956428E-007   0.360077689E-002   0.000000000E+000
   0.13169408150798256E-007   0.334702060E-002   0.000000000E+000
   0.13207142844640085E-007   0.307255145E-002   0.000000000E+000
   0.13244877538481914E-007   0.280923536E-002   0.000000000E+000
   0.13282612232323743E-007   0.257812394E-002   0.000000000E+000
   0.13320346926165572E-007   0.237045600E-002   0.000000000E+000
   0.13358081620007400E-007   0.215921411E-002   0.000000000E+000
   0.13395816313849229E-007   0.192551338E-002   0.000000000E+000
   0.13433551007691058E-007   0.167908822E-002   0.000000000E+000
   0.13471285701532887E-007   0.144625758E-002   0.000000000E+000
   0.13509020395374716E-007   0.123357098E-002   0.000000000E+000
   0.13546755089216544E-007   0.102051685E-002   0.000000000E+000
   0.13584489783058373E-007   0.793148531E-003   0.000000000E+000
   0.13622224476900202E-007   0.562957488E-003   0.000000000E+000
   0.13659959170742031E-007   0.347577618E-003   0.000000000E+000
   0.13697693864583860E-007   0.151659115E-003   0.000000000E+000
   0.13735428558425689E-007  -0.330032053E-004   0.000000000E+000
   0.13773163252267517E-007  -0.220492948E-003   0.000000000E+000
   0.13810897946109346E-007  -0.417307601E-003   0.000000000E+000
   0.13848632639951175E-007  -0.612850301E-003   0.000000000E+000
   0.13886367333793004E-007  -0.797158224E-003   0.000000000E+000
   0.13924102027634833E-007  -0.981735415E-003   0.000000000E+000
   0.13961836721476661E-007  -0.118283974E-002   0.000000000E+000
   0.13999571415318490E-007  -0.139559549E-002   0.000000000E+000
   0.14037306109160319E-007  -0.160366693E-002   0.000000000E+000
   0.14075040803002148E-007  -0.179976108E-002   0.000000000E+000
   0.14112775496843977E-007  -0.198512292E-002   0.000000000E+000
   0.14150510190685806E-007  -0.216636504E-002   0.000000000E+000
   0.14188244884527634E-007  -0.235330337E-002   0.000000000E+000
   0.14225979578369463E-007  -0.254239375E-002   0.000000000E+000
   0.14263714272211292E-007  -0.271486887E-002   0.000000000E+000
   0.14301448966053121E-007  -0.286740414E-002   0.000000000E+000
   0.14339183659894950E-007  -0.302110566E-002   0.000000000E+000
   0.14376918353736778E-007  -0.318765803E-002   0.000000000E+000
   0.14414653047578607E-007  -0.335509167E-002   0.000000000E+000
   0.14452387741420436E-007  -0.351206260E-002   0.000000000E+000
   0.14490122435262265E-007  -0.365853216E-002   0.000000000E+000
   0.14527857129104094E-007  -0.379779935E-002   0.000000000E+000
   0.14565591822945922E-007  -0.393905118E-002   0.000000000E+000
   0.14603326516787751E-007  -0.409054011E-002   0.000000000E+000
   0.14641061210629580E-007  -0.423918292E-002   0.000000000E+000
   0.14678795904471409E-007  -0.436494919E-002   0.000000000E+000
   0.14716530598313238E-007  -0.447583944E-002   0.000000000E+000
   0.14754265292155067E-007  -0.459487550E-002   0.000000000E+000
   0.14791999985996895E-007  -0.472188042E-002   0.000000000E+000
   0.14829734679838724E-007  -0.484037073E-002   0.000000000E+000
   0.14867469373680553E-007  -0.494515663E-002   0.000000000E+000
   0.14905204067522382E-007  -0.504041696E-002   0.000000000E+000
   0.14942938761364211E-007  -0.513307285E-002   0.000000000E+000
   0.14980673455206039E-007  -0.523507129E-002   0.000000000E+000
   0.15018408149047868E-007  -0.534590008E-002   0.000000000E+000
   0.15056142842889697E-007  -0.544301420E-002   0.000000000E+000
   0.15093877536731526E-007  -0.551654119E-002   0.000000000E+000
   0.15131612230573355E-007  -0.558881229E-002   0.000000000E+000
   0.15169346924415184E-007  -0.567586021E-002   0.000000000E+000
   0.15207081618257012E-007  -0.576240104E-002   0.000000000E+000
   0.15244816312098841E-007  -0.583076896E-002   0.000000000E+000
   0.15282551005940670E-007  -0.588216493E-002   0.000000000E+000
   0.15320285699782499E-007  -0.592666166E-002   0.000000000E+000
   0.15358020393624328E-007  -0.597783783E-002   0.000000000E+000
   0.15395755087466156E-007  -0.604350306E-002   0.000000000E+000
   0.15433489781307985E-007  -0.610597618E-002   0.000000000E+000
   0.15471224475149814E-007  -0.614021672E-002   0.000000000E+000
   0.15508959168991643E-007  -0.615665829E-002   0.000000000E+000
   0.15546693862833472E-007  -0.618811091E-002   0.000000000E+000
   0.15584428556675300E-007  -0.623820629E-002   0.000000000E+000
   0.15622163250517129E-007  -0.628073607E-002   0.000000000E+000
   0.15659897944358958E-007  -0.629897602E-002   0.000000000E+000
   0.15697632638200787E-007  -0.629809825E-002   0.000000000E+000
   0.15735367332042616E-007  -0.629604422E-002   0.000000000E+000
   0.15773102025884445E-007  -0.631257053E-002   0.000000000E+000
   0.15810836719726273E-007  -0.634428253E-002   0.000000000E+000
   0.15848571413568102E-007  -0.635857647E-002   0.000000000E+000
   0.15886306107409931E-007  -0.633871136E-002   0.000000000E+000
   0.15924040801251760E-007  -0.631226413E-002   0.000000000E+000
   0.15961775495093589E-007  -0.630908785E-002   0.000000000E+000
   0.15999510188935417E-007  -0.632047746E-002   0.000000000E+000
   0.16037244882777246E-007  -0.631926116E-002   0.000000000E+000
   0.16074979576619075E-007  -0.629255641E-002   0.000000000E+000
   0.16112714270460904E-007  -0.624839356E-002   0.000000000E+000
   0.16150448964302733E-007  -0.621068990E-002   0.000000000E+000
   0.16188183658144562E-007  -0.619716197E-002   0.000000000E+000
   0.16225918351986390E-007  -0.619027670E-002   0.000000000E+000
   0.16263653045828219E-007  -0.615569530E-002   0.000000000E+000
   0.16301387739670048E-007  -0.609346246E-002   0.000000000E+000
   0.16339122433511877E-007  -0.603679335E-002   0.000000000E+000
   0.16376857127353706E-007  -0.600238284E-002   0.000000000E+000
   0.16414591821195534E-007  -0.597484177E-002   0.000000000E+000
   0.16452326515037363E-007  -0.593277626E-002   0.000000000E+000
   0.16490061208879192E-007  -0.586788077E-002   0.000000000E+000
   0.16527795902721021E-007  -0.579139637E-002   0.000000000E+000
   0.16565530596562850E-007  -0.572840404E-002   0.000000000E+000
   0.16603265290404678E-007  -0.568696484E-002   0.000000000E+000
   0.16640999984246507E-007  -0.564133842E-002   0.000000000E+000
   0.16678734678088336E-007  -0.556816161E-002   0.000000000E+000
   0.16716469371930165E-007  -0.548031414E-002   0.000000000E+000
